"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,183,"PRI","Puerto Rico",1,"Añasco","PR.AN",NA,"","Municipio","Municipality","",""
2,183,"PRI","Puerto Rico",2,"Adjuntas","PR.AJ",NA,"","Municipio","Municipality","",""
3,183,"PRI","Puerto Rico",3,"Aguada","PR.AD",NA,"","Municipio","Municipality","",""
4,183,"PRI","Puerto Rico",4,"Aguadilla","PR.AL",NA,"","Municipio","Municipality","",""
5,183,"PRI","Puerto Rico",5,"Aguas Buenas","PR.AB",NA,"","Municipio","Municipality","",""
6,183,"PRI","Puerto Rico",6,"Aibonito","PR.AI",NA,"","Municipio","Municipality","",""
7,183,"PRI","Puerto Rico",7,"Arecibo","PR.AC",NA,"","Municipio","Municipality","",""
8,183,"PRI","Puerto Rico",8,"Arroyo","PR.AR",NA,"","Municipio","Municipality","",""
9,183,"PRI","Puerto Rico",9,"Barceloneta","PR.BC",NA,"","Municipio","Municipality","",""
10,183,"PRI","Puerto Rico",10,"Barranquitas","PR.BQ",NA,"","Municipio","Municipality","",""
11,183,"PRI","Puerto Rico",11,"Bayamón","PR.BY",NA,"","Municipio","Municipality","",""
12,183,"PRI","Puerto Rico",12,"Cabo Rojo","PR.CR",NA,"","Municipio","Municipality","",""
13,183,"PRI","Puerto Rico",13,"Caguas","PR.CG",NA,"","Municipio","Municipality","",""
14,183,"PRI","Puerto Rico",14,"Camuy","PR.CA",NA,"","Municipio","Municipality","",""
15,183,"PRI","Puerto Rico",15,"Canóvanas","PR.CV",NA,"","Municipio","Municipality","",""
16,183,"PRI","Puerto Rico",16,"Carolina","PR.CN",NA,"","Municipio","Municipality","",""
17,183,"PRI","Puerto Rico",17,"Cataño","PR.CT",NA,"","Municipio","Municipality","",""
18,183,"PRI","Puerto Rico",18,"Cayey","PR.CY",NA,"","Municipio","Municipality","",""
19,183,"PRI","Puerto Rico",19,"Ceiba","PR.CB",NA,"","Municipio","Municipality","",""
20,183,"PRI","Puerto Rico",20,"Ciales","PR.CL",NA,"","Municipio","Municipality","",""
21,183,"PRI","Puerto Rico",21,"Cidra","PR.CD",NA,"","Municipio","Municipality","",""
22,183,"PRI","Puerto Rico",22,"Coamo","PR.CO",NA,"","Municipio","Municipality","",""
23,183,"PRI","Puerto Rico",23,"Comerío","PR.CM",NA,"","Municipio","Municipality","",""
24,183,"PRI","Puerto Rico",24,"Corozal","PR.CZ",NA,"","Municipio","Municipality","",""
25,183,"PRI","Puerto Rico",25,"Culebra","PR.CU",NA,"","Municipio","Municipality","",""
26,183,"PRI","Puerto Rico",26,"Dorado","PR.DO",NA,"","Municipio","Municipality","",""
27,183,"PRI","Puerto Rico",27,"Fajardo","PR.FJ",NA,"","Municipio","Municipality","",""
28,183,"PRI","Puerto Rico",28,"Florida","PR.FL",NA,"","Municipio","Municipality","",""
29,183,"PRI","Puerto Rico",29,"Guánica","PR.GC",NA,"","Municipio","Municipality","",""
30,183,"PRI","Puerto Rico",30,"Guayama","PR.GM",NA,"","Municipio","Municipality","",""
31,183,"PRI","Puerto Rico",31,"Guayanilla","PR.GL",NA,"","Municipio","Municipality","",""
32,183,"PRI","Puerto Rico",32,"Guaynabo","PR.GB",NA,"","Municipio","Municipality","",""
33,183,"PRI","Puerto Rico",33,"Gurabo","PR.GR",NA,"","Municipio","Municipality","",""
34,183,"PRI","Puerto Rico",34,"Hatillo","PR.HA",NA,"","Municipio","Municipality","",""
35,183,"PRI","Puerto Rico",35,"Hormigueros","PR.HO",NA,"","Municipio","Municipality","",""
36,183,"PRI","Puerto Rico",36,"Humacao","PR.HU",NA,"","Municipio","Municipality","",""
37,183,"PRI","Puerto Rico",37,"Isabela","PR.IS",NA,"","Municipio","Municipality","",""
38,183,"PRI","Puerto Rico",38,"Jayuya","PR.JY",NA,"","Municipio","Municipality","",""
39,183,"PRI","Puerto Rico",39,"Juana Díaz","PR.JD",NA,"","Municipio","Municipality","",""
40,183,"PRI","Puerto Rico",40,"Juncos","PR.JC",NA,"","Municipio","Municipality","",""
41,183,"PRI","Puerto Rico",41,"Lajas","PR.LJ",NA,"","Municipio","Municipality","",""
42,183,"PRI","Puerto Rico",42,"Lares","PR.LR",NA,"","Municipio","Municipality","",""
43,183,"PRI","Puerto Rico",43,"Las Marías","PR.LM",NA,"","Municipio","Municipality","",""
44,183,"PRI","Puerto Rico",44,"Las Piedras","PR.LP",NA,"","Municipio","Municipality","",""
45,183,"PRI","Puerto Rico",45,"Loíza","PR.LZ",NA,"","Municipio","Municipality","",""
46,183,"PRI","Puerto Rico",46,"Luquillo","PR.LQ",NA,"","Municipio","Municipality","",""
47,183,"PRI","Puerto Rico",47,"Manatí","PR.MT",NA,"","Municipio","Municipality","",""
