STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20070101,285,4,1,0,4,1,27,4,1,0,4,1,0,4,1,0,4,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.0,4,1,18.0,4,1,36.7,4,1,21.0,4,1,28.9,4,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20070201,271,6,2,0,6,2,21,6,2,0,6,2,0,6,2,0,6,2,1,0,0,1,0,0,0,0,0,13.0,0,0,13.0,0,0,39.0,6,2,22.3,6,2,37.9,6,2,24.5,6,2,31.2,6,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20070301,260,11,4,0,11,4,20,11,4,0,11,4,0,11,4,0,11,4,4,0,0,0,0,0,0,0,0,10.9,0,0,29.0,0,0,40.0,11,4,22.4,11,4,37.8,11,4,24.8,11,4,31.3,11,4
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20070401,278,6,3,0,6,3,21,6,3,0,6,3,0,6,3,0,6,3,4,0,0,3,0,0,3,0,0,35.1,0,0,97.1,0,0,39.5,6,3,21.0,6,3,35.3,6,3,24.4,6,3,29.9,6,3
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20070501,229,7,4,0,7,4,18,5,2,0,5,2,0,7,4,0,7,4,10,0,0,5,0,0,3,0,0,70.1,0,0,208.3,0,0,36.6,5,2,21.4,7,4,32.3,5,2,23.6,7,4,28.2,7,4
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20070601,8,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.1,2,2,21.3,2,2,32.1,2,2,21.3,2,2,26.7,2,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20071001,108,17,4,0,17,4,9,16,4,0,16,4,0,16,4,0,16,4,2,0,0,1,0,0,0,0,0,16.0,0,0,24.1,0,0,34.6,16,4,20.8,16,4,32.2,16,4,22.4,16,4,27.3,17,4
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20071101,178,13,6,0,13,6,17,13,6,0,13,6,0,11,3,0,11,3,2,0,0,1,0,0,0,0,0,19.1,0,0,26.2,0,0,36.5,13,6,21.4,11,3,34.4,13,6,23.2,11,3,28.8,13,6
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20071201,181,12,3,0,12,3,18,11,3,0,11,3,0,12,3,0,12,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,37.5,11,3,18.7,12,3,35.6,11,3,22.3,12,3,29.0,12,3
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20080101,144,15,5,0,15,5,15,15,5,0,15,5,0,15,5,0,15,5,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,37.8,15,5,17.2,15,5,35.9,15,5,19.8,15,5,27.9,15,5
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20080201,196,13,5,0,13,5,16,13,5,0,13,5,0,13,5,0,13,5,2,0,0,2,0,0,1,0,0,32.0,0,0,48.0,0,0,39.6,13,5,20.0,13,5,37.8,13,5,23.4,13,5,30.6,13,5
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20080301,75,24,10,0,24,10,6,24,10,0,24,10,0,24,10,0,24,10,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,38.6,24,10,23.7,24,10,37.1,24,10,24.4,24,10,30.7,24,10
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20080401,137,18,9,0,18,9,10,18,9,0,18,9,0,18,9,0,18,9,3,0,0,1,0,0,0,0,0,14.0,0,0,23.1,0,0,39.0,18,9,21.5,18,9,35.4,18,9,24.1,18,9,29.7,18,9
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20080501,102,21,11,0,21,11,9,21,11,0,21,11,0,21,11,0,21,11,3,0,0,2,0,0,2,0,0,37.1,0,0,81.1,0,0,35.9,21,11,21.0,21,11,33.7,21,11,23.3,21,11,28.5,21,11
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20080601,158,12,4,0,12,4,11,11,4,0,11,4,0,12,4,0,12,4,7,0,0,6,0,0,1,0,0,36.1,0,0,137.1,0,0,33.8,11,4,20.0,12,4,31.6,11,4,22.4,12,4,27.1,12,4
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20080701,194,7,2,0,7,2,3,7,2,0,7,2,0,7,2,0,7,2,3,0,0,2,0,0,0,0,0,22.1,0,0,42.7,0,0,32.5,7,2,20.7,7,2,30.4,7,2,22.4,7,2,26.4,7,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20080801,176,8,1,0,8,1,1,8,1,0,8,1,0,8,1,0,8,1,8,0,0,4,0,0,2,0,0,63.0,0,0,175.5,0,0,32.5,8,1,20.6,8,1,29.8,8,1,22.1,8,1,26.0,8,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20080901,190,8,3,0,8,3,8,8,3,0,8,3,0,8,3,0,8,3,6,0,0,4,0,0,2,0,0,41.9,0,0,133.9,0,0,34.0,8,3,20.7,8,3,31.3,8,3,22.6,8,3,26.9,8,3
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20081001,230,7,2,0,7,2,16,6,2,0,6,2,0,7,2,0,7,2,5,0,0,2,0,0,1,0,0,26.9,0,0,76.1,0,0,35.2,6,2,20.1,7,2,32.9,6,2,22.8,7,2,27.9,7,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20081101,304,3,1,0,3,1,27,3,1,0,3,1,0,3,1,0,3,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,37.8,3,1,20.3,3,1,35.9,3,1,23.3,3,1,29.6,3,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20081201,328,2,1,0,2,1,29,2,1,0,2,1,0,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,37.9,2,1,19.5,2,1,36.0,2,1,23.1,2,1,29.6,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20090101,309,2,1,0,2,1,30,1,1,0,1,1,0,2,1,0,2,1,1,0,0,1,0,0,1,0,0,67.1,0,0,67.1,0,0,37.6,1,1,19.7,2,1,35.6,1,1,22.3,2,1,28.9,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20090201,336,1,1,0,1,1,27,1,1,0,1,1,0,1,1,0,1,1,2,0,0,1,0,0,0,0,0,14.0,0,0,19.1,0,0,39.0,1,1,22.9,1,1,37.2,1,1,24.3,1,1,30.8,1,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20090301,331,5,2,0,5,2,26,5,2,0,5,2,0,4,1,0,4,1,2,0,0,1,0,0,1,0,0,53.1,0,0,62.0,0,0,40.2,5,2,22.5,4,1,37.3,5,2,24.6,4,1,31.0,5,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20090401,287,2,1,0,2,1,24,2,1,0,2,1,0,1,1,0,1,1,6,0,0,3,0,0,1,0,0,35.1,0,0,108.7,0,0,37.0,2,1,20.8,1,1,34.4,2,1,23.5,1,1,28.9,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20090501,280,4,2,0,4,2,23,2,2,0,2,2,0,4,2,0,4,2,6,0,0,3,0,0,0,0,0,20.1,0,0,76.5,0,0,36.8,2,2,21.4,4,2,33.6,2,2,23.6,4,2,28.7,4,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20090601,225,6,2,0,6,2,15,3,1,0,3,1,0,6,2,0,6,2,5,0,0,4,0,0,2,0,0,26.9,0,0,110.7,0,0,34.8,3,1,20.7,6,2,32.2,3,1,23.2,6,2,27.7,6,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20090701,236,2,1,0,2,1,7,1,1,0,1,1,0,2,1,0,2,1,10,0,0,5,0,0,2,0,0,25.9,0,0,136.0,0,0,33.2,1,1,20.3,2,1,30.6,1,1,22.4,2,1,26.4,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20090801,201,4,1,0,4,1,0,3,1,0,3,1,0,4,1,0,4,1,6,0,0,1,0,0,1,0,0,26.9,0,0,60.7,0,0,32.0,3,1,20.9,4,1,29.0,3,1,22.4,4,1,25.7,4,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20090901,226,2,1,0,2,1,3,2,1,0,2,1,0,2,1,0,2,1,6,0,0,3,0,0,2,0,0,31.0,0,0,93.6,0,0,33.4,2,1,20.5,2,1,30.5,2,1,22.3,2,1,26.4,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20091001,268,2,2,0,2,2,19,2,2,0,2,2,0,2,2,0,2,2,2,0,0,1,0,0,0,0,0,14.0,0,0,18.6,0,0,35.3,2,2,21.3,2,2,32.3,2,2,22.7,2,2,27.5,2,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20091101,281,2,1,0,2,1,28,2,1,0,2,1,0,2,1,0,2,1,2,0,0,1,0,0,0,0,0,20.1,0,0,27.2,0,0,36.7,2,1,19.0,2,1,34.5,2,1,22.2,2,1,28.4,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20091201,369,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,38.5,0,0,21.5,0,0,37.2,0,0,23.2,0,0,30.2,0,0
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20100101,332,4,1,0,4,1,28,3,1,0,3,1,0,4,1,0,4,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.9,3,1,20.0,4,1,37.5,3,1,23.7,4,1,30.6,4,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20100201,343,3,1,0,3,1,26,2,1,0,2,1,0,3,1,0,3,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,40.7,2,1,21.4,3,1,39.2,2,1,24.9,3,1,32.0,3,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20100301,386,2,1,0,2,1,30,1,1,0,1,1,0,2,1,0,2,1,1,0,0,1,0,0,1,0,0,71.9,0,0,71.9,0,0,40.6,1,1,22.5,2,1,37.7,1,1,25.5,2,1,31.6,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20100401,348,2,1,0,2,1,28,0,0,0,0,0,0,2,1,0,2,1,3,0,0,2,0,0,1,0,0,25.9,0,0,49.0,0,0,41.0,0,0,21.5,2,1,36.3,0,0,24.9,2,1,30.7,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20100501,316,2,1,0,2,1,24,1,1,0,1,1,0,2,1,0,2,1,7,0,0,1,0,0,1,0,0,79.0,0,0,118.8,0,0,36.2,1,1,21.2,2,1,33.8,1,1,24.4,2,1,29.2,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20100601,292,1,1,0,1,1,20,0,0,0,0,0,0,1,1,0,1,1,3,0,0,1,0,0,1,0,0,36.1,0,0,52.3,0,0,35.0,0,0,21.7,1,1,32.9,0,0,23.9,1,1,28.4,1,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20100701,214,4,2,0,4,2,10,2,2,0,2,2,0,4,2,0,4,2,6,0,0,3,0,0,1,0,0,32.0,0,0,94.7,0,0,34.0,2,2,21.2,4,2,30.8,2,2,22.8,4,2,26.9,4,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20100801,234,2,1,0,2,1,3,1,1,0,1,1,0,2,1,0,2,1,11,0,0,8,0,0,3,0,0,80.0,0,0,272.9,0,0,33.7,1,1,21.0,2,1,30.2,1,1,22.5,2,1,26.4,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20100901,237,2,1,0,2,1,5,1,1,0,1,1,0,1,1,0,1,1,11,0,0,7,0,0,3,0,0,30.0,0,0,198.3,0,0,34.2,1,1,20.7,1,1,31.0,1,1,22.5,1,1,26.8,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20101001,262,2,1,0,2,1,19,2,1,0,2,1,0,1,1,0,1,1,11,0,0,3,0,0,1,0,0,47.0,0,0,151.4,0,0,35.0,2,1,20.5,1,1,32.6,2,1,22.7,1,1,27.7,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20101101,303,1,1,0,1,1,28,1,1,0,1,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,18.0,0,0,49.0,0,0,37.1,1,1,21.3,0,0,34.4,1,1,23.0,0,0,28.7,1,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20101201,325,1,1,0,1,1,30,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,38.1,1,1,18.7,0,0,36.0,1,1,22.3,0,0,29.1,1,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20110101,309,1,1,0,1,1,30,1,1,0,1,1,0,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.0,1,1,17.8,0,0,36.1,1,1,21.2,0,0,28.6,1,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20110201,301,1,1,0,1,1,27,1,1,0,1,1,0,1,1,0,1,1,2,0,0,1,0,0,0,0,0,14.0,0,0,27.9,0,0,38.3,1,1,20.7,1,1,36.4,1,1,23.2,1,1,29.9,1,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20110301,326,4,2,0,4,2,28,3,2,0,3,2,0,3,2,0,3,2,1,0,0,1,0,0,0,0,0,16.0,0,0,16.0,0,0,39.1,3,2,20.7,3,2,36.7,3,2,24.0,3,2,30.4,4,2
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20110401,299,3,1,0,3,1,26,2,1,0,2,1,0,2,1,0,2,1,2,0,0,1,0,0,1,0,0,87.9,0,0,90.9,0,0,38.3,2,1,21.5,2,1,35.8,2,1,23.9,2,1,29.8,3,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20110501,298,3,1,0,3,1,25,1,1,0,1,1,0,2,1,0,2,1,5,0,0,3,0,0,1,0,0,34.0,0,0,79.4,0,0,39.5,1,1,21.7,2,1,34.8,1,1,23.8,2,1,29.3,3,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20110601,246,4,1,0,4,1,18,0,0,0,0,0,0,4,1,0,4,1,5,0,0,4,0,0,3,0,0,71.1,0,0,156.2,0,0,36.1,0,0,20.9,4,1,32.5,0,0,22.9,4,1,27.8,4,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20110701,252,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,26.9,0,0,93.0,0,0,33.5,0,0,20.8,0,0,30.4,0,0,22.5,0,0,26.4,0,0
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20110801,208,4,1,0,4,1,2,1,1,0,1,1,0,3,1,0,3,1,5,0,0,3,0,0,2,0,0,80.0,0,0,139.3,0,0,33.0,1,1,19.9,3,1,29.9,1,1,22.0,3,1,26.0,4,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20110901,263,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,1,0,0,79.0,0,0,172.5,0,0,33.6,0,0,20.6,0,0,31.5,0,0,22.7,0,0,27.1,0,0
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20111001,246,4,1,0,4,1,21,0,0,0,0,0,0,4,1,0,4,1,10,0,0,5,0,0,3,0,0,31.0,0,0,151.9,0,0,34.6,0,0,20.5,4,1,32.5,0,0,22.2,4,1,27.4,4,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20111101,301,2,1,0,2,1,29,1,1,0,1,1,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,37.3,1,1,22.0,1,1,35.1,1,1,23.0,1,1,29.0,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20111201,303,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,37.5,0,0,15.6,0,0,36.3,0,0,19.8,0,0,28.1,0,0
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20120101,304,2,1,0,2,1,30,1,1,0,1,1,0,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.3,1,1,18.1,2,1,36.3,1,1,21.3,2,1,28.8,2,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20120201,344,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9.9,0,0,13.9,0,0,38.5,0,0,21.3,0,0,36.7,0,0,23.6,0,0,30.2,0,0
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20120301,373,1,1,0,1,1,30,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,5.1,0,0,5.1,0,0,39.8,1,1,21.7,1,1,37.6,1,1,24.6,1,1,31.2,1,1
GHCND:BN000065335,SAVE BN,200,8.032,2.467,20120401,313,2,1,0,2,1,29,0,0,0,0,0,0,2,1,0,2,1,6,0,0,1,0,0,0,0,0,14.0,0,0,35.9,0,0,38.0,0,0,20.7,2,1,35.1,0,0,23.8,2,1,29.5,2,1
