STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20070201,180,10,2,0,10,2,15,10,2,0,10,2,0,9,2,0,9,2,1,0,0,0,0,0,0,0,0,3.3,0,0,3.8,0,0,43.1,10,2,10.4,9,2,39.5,10,2,18.2,9,2,28.9,10,2
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20070301,144,16,6,0,16,6,15,16,6,0,16,6,0,16,6,0,16,6,2,0,0,0,0,0,0,0,0,4.1,0,0,8.7,0,0,41.6,16,6,10.8,16,6,38.9,16,6,17.0,16,6,27.9,16,6
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20070401,113,11,2,6,11,2,16,11,2,0,11,2,0,11,2,0,11,2,2,0,0,2,0,0,0,0,0,18.3,0,0,38.0,0,0,36.9,11,2,2.2,11,2,33.9,11,2,14.6,11,2,24.2,11,2
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20070501,23,8,2,77,8,2,6,8,2,0,8,2,0,6,2,6,6,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,33.7,8,2,-4.5,6,2,27.6,8,2,4.5,6,2,16.0,8,2
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20070601,6,11,7,72,11,7,0,11,7,0,11,7,0,7,4,9,7,4,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,28.5,11,7,-4.5,7,4,24.0,11,7,3.2,7,4,14.2,11,7
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20070701,0,8,2,127,8,2,0,8,2,0,8,2,0,5,2,12,5,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,30.1,8,2,-5.1,5,2,24.4,8,2,0.5,5,2,12.2,8,2
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20070801,2,9,3,73,9,3,1,9,3,0,9,3,0,5,2,7,5,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,33.6,9,3,-3.8,5,2,26.1,9,3,1.8,5,2,13.9,9,3
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20070901,71,10,3,0,10,3,14,10,3,0,10,3,0,5,2,0,5,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.1,10,3,4.1,5,2,34.7,10,3,9.2,5,2,22.1,10,3
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20071001,137,11,2,10,11,2,17,11,2,0,11,2,0,11,2,0,11,2,2,0,0,0,0,0,0,0,0,2.8,0,0,6.4,0,0,40.4,11,2,2.5,11,2,34.7,11,2,14.6,11,2,24.6,11,2
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20071101,160,8,2,0,8,2,16,8,2,0,8,2,0,7,2,0,7,2,2,0,0,0,0,0,0,0,0,11.2,0,0,23.2,0,0,42.2,8,2,10.4,7,2,35.9,8,2,15.1,7,2,25.6,8,2
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20071201,233,8,3,0,8,3,23,8,3,0,8,3,0,7,3,0,7,3,0,0,0,0,0,0,0,0,0,2.3,0,0,2.6,0,0,40.8,8,3,12.6,7,3,37.5,8,3,19.1,7,3,28.4,8,3
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20080101,274,6,2,0,6,2,25,6,2,0,6,2,0,6,2,0,6,2,3,0,0,0,0,0,0,0,0,5.1,0,0,14.0,0,0,41.5,6,2,15.5,6,2,37.7,6,2,20.8,6,2,29.3,6,2
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20080201,272,5,1,0,5,1,24,5,1,0,5,1,0,5,1,0,5,1,5,0,0,1,0,0,0,0,0,13.5,0,0,30.8,0,0,41.6,5,1,16.2,5,1,38.5,5,1,20.8,5,1,29.6,5,1
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20080301,202,7,2,0,7,2,23,7,2,0,7,2,0,7,2,0,7,2,1,0,0,0,0,0,0,0,0,3.8,0,0,5.4,0,0,39.3,7,2,14.9,7,2,35.2,7,2,18.2,7,2,26.7,7,2
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20080401,82,5,1,8,5,1,14,5,1,0,5,1,0,4,1,0,4,1,2,0,0,0,0,0,0,0,0,7.6,0,0,16.5,0,0,35.4,5,1,3.0,4,1,31.7,5,1,10.7,4,1,21.3,5,1
GHCND:BC004612080,TWEE RIVIEREN BC,879,-26.467,20.617,20080501,33,9,4,4,9,4,9,9,4,0,9,4,0,14,5,0,14,5,0,0,0,0,0,0,0,0,0,1.0,0,0,2.4,0,0,34.3,9,4,5.9,14,5,30.9,9,4,9.3,14,5,20.1,9,4
