STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20070101,0,6,2,362,6,2,0,0,0,0,0,0,0,6,2,21,6,2,4,0,0,2,0,0,1,0,0,27.7,0,0,-9999,0,0,70.3,0,0,16.2,0,0,-14.8,6,2,9.9,0,0,-4.3,6,2,3.2,6,2
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20070201,0,6,1,225,6,1,0,1,1,0,1,1,0,6,1,9,6,1,6,0,0,0,0,0,0,0,0,10.4,0,0,-9999,0,0,40.7,0,0,19.6,1,1,-7.2,6,1,13.8,1,1,0.4,6,1,7.0,6,1
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20070301,0,8,2,209,8,2,0,2,2,0,2,2,0,8,2,5,8,2,5,0,0,3,0,0,3,0,0,39.9,0,0,-9999,0,0,111.8,0,0,21.6,2,2,-6.5,8,2,15.3,2,2,1.6,8,2,8.8,8,2
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20070401,1,8,2,104,8,2,0,1,1,0,1,1,0,8,2,0,8,2,6,0,0,4,0,0,1,0,0,30.5,0,0,-9999,0,0,108.0,0,0,25.4,1,1,2.0,8,2,20.4,1,1,6.3,8,2,13.6,8,2
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20070501,96,3,1,2,3,1,10,1,1,0,1,1,0,2,1,0,2,1,1,0,0,1,0,0,1,0,0,27.7,0,0,-9999,0,0,31.3,0,0,35.6,1,1,7.6,2,1,30.3,1,1,13.0,2,1,21.7,3,1
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20070601,211,3,1,0,3,1,29,1,1,0,1,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0.3,0,0,-9999,0,0,0.6,0,0,40.0,1,1,11.6,2,1,36.8,1,1,15.6,2,1,26.1,3,1
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20070701,282,6,1,0,6,1,29,2,1,0,2,1,0,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,41.6,2,1,16.6,4,1,39.0,2,1,19.9,4,1,29.6,6,1
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20070801,283,5,1,0,5,1,28,2,1,0,2,1,0,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,41.6,2,1,12.8,4,1,39.4,2,1,19.3,4,1,29.6,5,1
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20070901,153,6,1,0,6,1,25,3,1,0,3,1,0,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,40.2,3,1,9.0,4,1,36.0,3,1,14.5,4,1,24.9,6,1
GHCND:IRM00040782,KHORRAM ABAD IR,1148,33.433,48.283,20071001,54,1,1,6,1,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,32.2,0,0,6.6,1,1,29.3,0,0,10.5,1,1,19.9,1,1
