STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20130101,-9999,0,0,-9999,0,0,0,9,3,0,9,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,30.1,9,3,-9999,0,0,26.0,9,3,-9999,0,0,-9999,0,0
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20130201,-9999,0,0,-9999,0,0,0,3,1,0,3,1,-9999,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,0,0,31.6,3,1,-9999,0,0,28.7,3,1,-9999,0,0,-9999,0,0
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20130301,-9999,0,0,-9999,0,0,10,11,4,0,11,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,36.0,11,4,-9999,0,0,32.5,11,4,-9999,0,0,-9999,0,0
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20130401,-9999,0,0,-9999,0,0,1,21,21,0,21,21,-9999,0,0,-9999,0,0,1,0,0,0,0,0,0,0,0,3.0,0,0,3.0,0,0,34.4,21,21,-9999,0,0,34.4,21,21,-9999,0,0,-9999,0,0
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20130501,79,18,17,0,18,17,10,20,11,0,20,11,0,22,17,0,22,17,1,0,0,0,0,0,0,0,0,7.1,0,0,7.1,0,0,44.8,20,11,21.1,22,17,41.2,20,11,24.5,22,17,34.0,18,17
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20130601,161,9,4,0,9,4,17,13,10,0,13,10,0,13,4,0,13,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,45.9,13,10,23.1,13,4,43.6,13,10,25.9,13,4,34.3,9,4
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20130701,405,8,3,0,8,3,25,6,3,0,6,3,0,8,2,0,8,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,48.8,6,3,25.9,8,2,45.8,6,3,31.1,8,2,38.5,8,3
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20130801,298,12,4,0,12,4,24,7,2,0,7,2,0,14,4,0,14,4,0,0,0,0,0,0,0,0,0,2.3,0,0,3.7,0,0,44.6,7,2,27.6,14,4,43.3,7,2,30.5,14,4,36.9,12,4
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20130901,320,10,5,0,10,5,26,4,2,0,4,2,0,8,5,0,8,5,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,43.7,4,2,20.9,8,5,41.3,4,2,27.2,8,5,34.3,10,5
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20131001,263,9,3,0,9,3,26,5,2,0,5,2,0,9,3,0,9,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,41.3,5,2,18.7,9,3,37.7,5,2,22.8,9,3,30.3,9,3
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20131101,123,9,2,0,9,2,10,3,2,0,3,2,0,8,2,0,8,2,2,0,0,1,0,0,1,0,0,48.3,0,0,56.9,0,0,36.4,3,2,14.8,8,2,30.4,3,2,18.1,8,2,24.5,9,2
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20131201,31,11,7,0,11,7,0,11,5,0,11,5,0,10,7,0,10,7,0,0,0,0,0,0,0,0,0,0.3,0,0,0.6,0,0,31.1,11,5,13.2,10,7,28.7,11,5,15.6,10,7,22.2,11,7
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20140101,9,10,7,4,10,7,0,19,8,0,19,8,0,20,9,0,20,9,0,0,0,0,0,0,0,0,0,0.3,0,0,0.6,0,0,28.4,19,8,8.6,20,9,26.1,19,8,11.3,20,9,19.1,10,7
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20140201,37,6,2,12,6,2,1,5,3,0,5,3,0,9,2,0,9,2,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,32.6,5,3,7.4,9,2,26.6,5,3,12.1,9,2,19.8,6,2
GHCND:MUM00041250,SUNAYNAH MU,257,23.717,55.9,20140301,141,7,2,3,7,2,12,1,1,0,1,1,0,7,2,0,7,2,2,0,0,1,0,0,1,0,0,32.5,0,0,39.9,0,0,36.6,1,1,5.9,7,2,31.4,1,1,16.3,7,2,24.1,7,2
