STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20070101,0,5,2,129,5,2,0,3,1,0,3,1,0,3,2,0,3,2,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,28.4,3,1,1.5,3,2,22.4,3,1,4.5,3,2,13.4,5,2
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20070201,6,5,2,19,5,2,0,2,1,0,2,1,0,3,2,0,3,2,2,0,0,0,0,0,0,0,0,9.4,0,0,-9999,0,0,15.3,0,0,29.5,2,1,8.2,3,2,24.5,2,1,10.3,3,2,17.7,5,2
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20070301,96,5,1,4,5,1,8,1,1,0,1,1,0,4,1,0,4,1,4,0,0,0,0,0,0,0,0,7.9,0,0,-9999,0,0,20.1,0,0,38.5,1,1,10.2,4,1,29.6,1,1,13.9,4,1,21.8,5,1
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20070401,330,5,1,0,5,1,28,2,1,0,2,1,0,4,1,0,4,1,1,0,0,0,0,0,0,0,0,7.1,0,0,-9999,0,0,7.1,0,0,44.5,2,1,13.5,4,1,40.7,2,1,22.0,4,1,31.5,5,1
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20070501,411,3,1,0,3,1,28,3,1,0,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1.0,0,0,-9999,0,0,1.0,0,0,45.0,3,1,22.3,1,1,42.1,3,1,26.0,1,1,34.1,3,1
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20070601,351,7,1,0,7,1,27,3,1,0,3,1,0,6,2,0,6,2,0,0,0,0,0,0,0,0,0,1.0,0,0,-9999,0,0,1.0,0,0,46.7,3,1,21.0,6,2,41.6,3,1,28.4,6,2,35.0,7,1
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20070701,404,5,1,0,5,1,30,1,1,0,1,1,0,4,1,0,4,1,2,0,0,2,0,0,1,0,0,71.9,0,0,-9999,0,0,84.9,0,0,43.2,1,1,21.4,4,1,39.2,1,1,28.3,4,1,33.9,5,1
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20070801,321,8,2,0,8,2,28,3,1,0,3,1,0,7,2,0,7,2,0,0,0,0,0,0,0,0,0,2.0,0,0,-9999,0,0,4.0,0,0,40.0,3,1,26.0,7,2,38.0,3,1,27.7,7,2,32.9,8,2
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20070901,349,3,1,0,3,1,29,0,0,0,0,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,40.0,0,0,21.2,3,1,37.1,0,0,25.3,3,1,31.2,3,1
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20071001,187,4,1,0,4,1,28,3,1,0,3,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,37.6,3,1,13.2,2,1,34.7,3,1,16.3,2,1,25.5,4,1
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20071101,84,3,1,0,3,1,5,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,-9999,0,0,0.8,0,0,34.5,3,1,10.8,0,0,30.1,3,1,12.7,0,0,21.4,3,1
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20071201,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,-9999,0,0,1.0,0,0,26.0,0,0,1.4,0,0,22.6,0,0,6.2,0,0,14.4,0,0
GHCND:PKM00041718,KHANPUR PK,88,28.65,70.683,20080101,0,3,2,181,3,2,0,1,1,0,1,1,0,3,2,0,3,2,1,0,0,0,0,0,0,0,0,4.1,0,0,-9999,0,0,4.1,0,0,23.7,1,1,1.0,3,2,19.4,1,1,3.6,3,2,11.6,3,2
