STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20070901,-9999,0,0,-9999,0,0,0,26,26,0,26,26,-9999,0,0,-9999,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,3.5,0,0,30.6,26,26,-9999,0,0,30.6,26,26,-9999,0,0,-9999,0,0
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20071001,-9999,0,0,-9999,0,0,0,14,4,0,14,4,-9999,0,0,-9999,0,0,10,0,0,3,0,0,2,0,0,60.2,0,0,155.6,0,0,30.9,14,4,-9999,0,0,29.4,14,4,-9999,0,0,-9999,0,0
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20071101,-9999,0,0,-9999,0,0,0,11,5,0,11,5,-9999,0,0,-9999,0,0,6,0,0,1,0,0,1,0,0,31.8,0,0,60.4,0,0,32.0,11,5,-9999,0,0,30.7,11,5,-9999,0,0,-9999,0,0
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20071201,-9999,0,0,-9999,0,0,2,14,4,0,14,4,-9999,0,0,-9999,0,0,3,0,0,1,0,0,1,0,0,46.2,0,0,63.5,0,0,32.9,14,4,-9999,0,0,30.2,14,4,-9999,0,0,-9999,0,0
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20080101,-9999,0,0,-9999,0,0,0,15,3,0,15,3,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,9.9,0,0,23.9,0,0,31.7,15,3,-9999,0,0,30.5,15,3,-9999,0,0,-9999,0,0
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20080201,-9999,0,0,-9999,0,0,0,20,14,0,20,14,-9999,0,0,-9999,0,0,4,0,0,1,0,0,1,0,0,25.7,0,0,43.5,0,0,31.0,20,14,-9999,0,0,30.5,20,14,-9999,0,0,-9999,0,0
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20080301,9,17,17,0,17,17,0,14,5,0,14,5,0,17,17,0,17,17,3,0,0,2,0,0,1,0,0,60.7,0,0,91.3,0,0,31.8,14,5,23.9,17,17,30.7,14,5,23.9,17,17,27.5,17,17
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20080401,-9999,0,0,-9999,0,0,0,13,4,0,13,4,-9999,0,0,-9999,0,0,7,0,0,7,0,0,4,0,0,83.3,0,0,273.7,0,0,31.8,13,4,-9999,0,0,30.8,13,4,-9999,0,0,-9999,0,0
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20080501,-9999,0,0,-9999,0,0,1,20,8,0,20,8,-9999,0,0,-9999,0,0,4,0,0,2,0,0,1,0,0,51.3,0,0,93.5,0,0,32.2,20,8,-9999,0,0,30.9,20,8,-9999,0,0,-9999,0,0
GHCND:CEM00043466,COLOMBO CE,7,6.9,79.867,20080601,-9999,0,0,-9999,0,0,0,19,6,0,19,6,-9999,0,0,-9999,0,0,6,0,0,2,0,0,2,0,0,53.6,0,0,119.9,0,0,31.2,19,6,-9999,0,0,30.0,19,6,-9999,0,0,-9999,0,0
