Id:,4077
Estación:,SAN JUAN BAUTISTA-CAMP
Posición:,19.8738888889N -89.9319444444W
Variable:,Precipitación (mm)
Fecha Inicial:,01/01/1997
Fecha Final:,01/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1997,0.0
01,02,1997,0.0
01,03,1997,0.0
01,04,1997,0.0
01,05,1997,0.0
01,06,1997,0.0
01,07,1997,0.0
01,08,1997,0.0
01,09,1997,0.0
01,10,1997,0.0
01,11,1997,1.0
01,12,1997,0.5
01,13,1997,0.4
01,14,1997,0.0
01,15,1997,0.0
01,16,1997,0.0
01,17,1997,0.0
01,18,1997,0.0
01,19,1997,0.0
01,20,1997,0.0
01,21,1997,0.0
01,22,1997,0.0
01,23,1997,0.0
01,24,1997,0.0
01,25,1997,4.0
01,26,1997,0.0
01,27,1997,0.0
01,28,1997,19.5
01,29,1997,0.0
01,30,1997,0.0
01,31,1997,0.0
02,01,1997,0.0
02,02,1997,0.0
02,03,1997,0.0
02,04,1997,0.0
02,05,1997,2.0
02,06,1997,0.0
02,07,1997,0.0
02,08,1997,0.0
02,09,1997,0.0
02,10,1997,0.0
02,11,1997,0.0
02,12,1997,0.0
02,13,1997,0.0
02,14,1997,13.6
02,15,1997,5.3
02,16,1997,1.3
02,17,1997,0.0
02,18,1997,0.0
02,19,1997,0.0
02,20,1997,0.0
02,21,1997,0.0
02,22,1997,0.5
02,23,1997,0.0
02,24,1997,0.0
02,25,1997,0.0
02,26,1997,0.0
02,27,1997,0.0
02,28,1997,0.0
03,01,1997,0.0
03,02,1997,0.0
03,03,1997,0.0
03,04,1997,0.0
03,05,1997,0.0
03,06,1997,0.0
03,07,1997,0.0
03,08,1997,0.0
03,09,1997,0.0
03,10,1997,0.0
03,11,1997,0.0
03,12,1997,0.0
03,13,1997,0.0
03,14,1997,0.0
03,15,1997,8.0
03,16,1997,0.0
03,17,1997,0.0
03,18,1997,0.0
03,19,1997,0.0
03,20,1997,0.0
03,21,1997,0.0
03,22,1997,0.0
03,23,1997,0.0
03,24,1997,0.0
03,25,1997,0.0
03,26,1997,0.0
03,27,1997,0.0
03,28,1997,0.0
03,29,1997,0.0
03,30,1997,0.0
03,31,1997,0.0
04,01,1997,0.0
04,02,1997,0.0
04,03,1997,0.0
04,04,1997,0.0
04,05,1997,1.0
04,06,1997,0.0
04,07,1997,0.0
04,08,1997,0.0
04,09,1997,12.0
04,10,1997,0.0
04,11,1997,0.0
04,12,1997,0.0
04,13,1997,0.0
04,14,1997,22.0
04,15,1997,7.5
04,16,1997,0.0
04,17,1997,0.0
04,18,1997,0.0
04,19,1997,0.0
04,20,1997,4.6
04,21,1997,1.0
04,22,1997,2.3
04,23,1997,0.0
04,24,1997,0.0
04,25,1997,0.0
04,26,1997,0.0
04,27,1997,0.0
04,28,1997,0.0
04,29,1997,0.0
04,30,1997,0.0
05,01,1997,0.0
05,02,1997,0.0
05,03,1997,0.5
05,04,1997,0.0
05,05,1997,0.0
05,06,1997,0.0
05,07,1997,0.0
05,08,1997,3.5
05,09,1997,0.0
05,10,1997,7.0
05,11,1997,0.0
05,12,1997,0.0
05,13,1997,0.0
05,14,1997,0.0
05,15,1997,0.0
05,16,1997,0.0
05,17,1997,0.0
05,18,1997,0.0
05,19,1997,0.0
05,20,1997,0.0
05,21,1997,0.0
05,22,1997,0.0
05,23,1997,0.0
05,24,1997,0.0
05,25,1997,0.0
05,26,1997,0.0
05,27,1997,0.0
05,28,1997,0.0
05,29,1997,1.0
05,30,1997,89.0
05,31,1997,0.0
06,01,1997,0.0
06,02,1997,0.0
06,03,1997,0.0
06,04,1997,0.0
06,05,1997,0.0
06,06,1997,0.0
06,07,1997,0.0
06,08,1997,0.0
06,09,1997,0.0
06,10,1997,5.7
06,11,1997,22.7
06,12,1997,4.2
06,13,1997,0.0
06,14,1997,0.0
06,15,1997,0.0
06,16,1997,0.0
06,17,1997,0.0
06,18,1997,0.0
06,19,1997,0.0
06,20,1997,0.0
06,21,1997,0.0
06,22,1997,0.0
06,23,1997,0.0
06,24,1997,0.0
06,25,1997,0.0
06,26,1997,37.0
06,27,1997,5.0
06,28,1997,4.8
06,29,1997,22.3
06,30,1997,0.5
07,01,1997,0.0
07,02,1997,0.0
07,03,1997,0.0
07,04,1997,0.0
07,05,1997,0.0
07,06,1997,12.5
07,07,1997,0.0
07,08,1997,0.0
07,09,1997,0.0
07,10,1997,38.0
07,11,1997,0.0
07,12,1997,2.5
07,13,1997,10.0
07,14,1997,10.0
07,15,1997,8.0
07,16,1997,0.0
07,17,1997,0.0
07,18,1997,0.0
07,19,1997,0.0
07,20,1997,0.0
07,21,1997,0.0
07,22,1997,0.0
07,23,1997,16.5
07,24,1997,22.5
07,25,1997,3.5
07,26,1997,1.0
07,27,1997,0.5
07,28,1997,2.0
07,29,1997,0.5
07,30,1997,0.0
07,31,1997,0.0
08,01,1997,16.0
08,02,1997,0.0
08,03,1997,0.5
08,04,1997,1.0
08,05,1997,7.5
08,06,1997,2.5
08,07,1997,8.5
08,08,1997,22.0
08,09,1997,25.0
08,10,1997,1.0
08,11,1997,6.5
08,12,1997,7.5
08,13,1997,0.0
08,14,1997,0.0
08,15,1997,0.5
08,16,1997,11.0
08,17,1997,4.0
08,18,1997,4.0
08,19,1997,0.0
08,20,1997,0.0
08,21,1997,42.5
08,22,1997,0.0
08,23,1997,27.0
08,24,1997,25.5
08,25,1997,41.5
08,26,1997,0.0
08,27,1997,0.0
08,28,1997,52.0
08,29,1997,2.0
08,30,1997,1.5
08,31,1997,0.5
09,01,1997,6.0
09,02,1997,10.0
09,03,1997,84.5
09,04,1997,5.5
09,05,1997,0.0
09,06,1997,0.0
09,07,1997,8.5
09,08,1997,0.0
09,09,1997,26.5
09,10,1997,0.0
09,11,1997,0.0
09,12,1997,4.0
09,13,1997,0.0
09,14,1997,7.5
09,15,1997,3.5
09,16,1997,6.5
09,17,1997,68.5
09,18,1997,24.0
09,19,1997,30.5
09,20,1997,6.5
09,21,1997,0.5
09,22,1997,0.0
09,23,1997,0.0
09,24,1997,0.0
09,25,1997,0.0
09,26,1997,0.0
09,27,1997,0.0
09,28,1997,2.0
09,29,1997,15.0
09,30,1997,8.5
10,01,1997,0.0
