Id:,7193
Estación:,PICHUCALCO (DGE)-CHIS
Posición:,17.5086111111N -93.1186111111W
Variable:,Precipitación (mm)
Fecha Inicial:,10/01/1983
Fecha Final:,10/01/2007
No Dato:,nan
Mes,Día,Anio,Datos
10,01,1983,0.0
10,02,1983,65.0
10,03,1983,0.0
10,04,1983,0.0
10,05,1983,5.0
10,06,1983,25.0
10,07,1983,0.0
10,08,1983,45.0
10,09,1983,38.0
10,10,1983,5.0
10,11,1983,0.0
10,12,1983,0.0
10,13,1983,55.0
10,14,1983,0.0
10,15,1983,0.0
10,16,1983,22.0
10,17,1983,0.0
10,18,1983,0.0
10,19,1983,0.0
10,20,1983,18.0
10,21,1983,15.0
10,22,1983,122.0
10,23,1983,10.0
10,24,1983,44.0
10,25,1983,85.2
10,26,1983,8.0
10,27,1983,10.0
10,28,1983,0.0
10,29,1983,25.0
10,30,1983,0.0
10,31,1983,6.2
11,01,1983,62.0
11,02,1983,8.0
11,03,1983,0.0
11,04,1983,0.0
11,05,1983,0.0
11,06,1983,0.0
11,07,1983,0.0
11,08,1983,0.0
11,09,1983,0.0
11,10,1983,7.3
11,11,1983,20.8
11,12,1983,0.0
11,13,1983,0.0
11,14,1983,0.0
11,15,1983,22.0
11,16,1983,5.0
11,17,1983,0.0
11,18,1983,0.0
11,19,1983,0.0
11,20,1983,0.0
11,21,1983,0.0
11,22,1983,0.0
11,23,1983,0.0
11,24,1983,42.3
11,25,1983,4.6
11,26,1983,0.0
11,27,1983,0.0
11,28,1983,72.0
11,29,1983,0.0
11,30,1983,55.0
12,01,1983,0.0
12,02,1983,0.0
12,03,1983,0.0
12,04,1983,0.0
12,05,1983,0.0
12,06,1983,20.0
12,07,1983,27.0
12,08,1983,0.0
12,09,1983,0.0
12,10,1983,0.0
12,11,1983,24.0
12,12,1983,5.0
12,13,1983,0.0
12,14,1983,0.0
12,15,1983,0.0
12,16,1983,19.8
12,17,1983,0.0
12,18,1983,124.0
12,19,1983,0.0
12,20,1983,0.0
12,21,1983,0.0
12,22,1983,110.0
12,23,1983,0.0
12,24,1983,88.0
12,25,1983,65.0
12,26,1983,88.0
12,27,1983,0.0
12,28,1983,0.0
12,29,1983,144.0
12,30,1983,62.0
12,31,1983,0.0
01,01,1984,0.0
01,02,1984,0.0
01,03,1984,0.0
01,04,1984,0.0
01,05,1984,0.0
01,06,1984,0.0
01,07,1984,0.0
01,08,1984,0.0
01,09,1984,0.0
01,10,1984,0.0
01,11,1984,22.0
01,12,1984,8.0
01,13,1984,0.0
01,14,1984,0.0
01,15,1984,0.0
01,16,1984,0.0
01,17,1984,0.0
01,18,1984,0.0
01,19,1984,5.0
01,20,1984,144.0
01,21,1984,10.0
01,22,1984,70.5
01,23,1984,0.0
01,24,1984,0.0
01,25,1984,0.0
01,26,1984,5.0
01,27,1984,22.0
01,28,1984,12.0
01,29,1984,15.1
01,30,1984,15.0
01,31,1984,0.0
02,01,1984,15.0
02,02,1984,5.0
02,03,1984,7.0
02,04,1984,44.0
02,05,1984,5.0
02,06,1984,5.0
02,07,1984,0.0
02,08,1984,0.0
02,09,1984,0.0
02,10,1984,0.0
02,11,1984,0.0
02,12,1984,0.0
02,13,1984,0.0
02,14,1984,0.0
02,15,1984,0.0
02,16,1984,0.0
02,17,1984,15.0
02,18,1984,0.0
02,19,1984,0.0
02,20,1984,0.0
02,21,1984,15.0
02,22,1984,10.0
02,23,1984,0.0
02,24,1984,0.0
02,25,1984,0.0
02,26,1984,0.0
02,27,1984,0.0
02,28,1984,15.0
02,29,1984,5.0
03,01,1984,0.0
03,02,1984,0.0
03,03,1984,0.0
03,04,1984,0.0
03,05,1984,0.0
03,06,1984,0.0
03,07,1984,22.0
03,08,1984,20.0
03,09,1984,0.0
03,10,1984,0.0
03,11,1984,0.0
03,12,1984,0.0
03,13,1984,0.0
03,14,1984,0.0
03,15,1984,0.0
03,16,1984,0.0
03,17,1984,0.0
03,18,1984,0.0
03,19,1984,0.0
03,20,1984,0.0
03,21,1984,20.0
03,22,1984,0.0
03,23,1984,0.0
03,24,1984,0.0
03,25,1984,0.0
03,26,1984,0.0
03,27,1984,0.0
03,28,1984,0.0
03,29,1984,0.0
03,30,1984,0.0
03,31,1984,0.0
04,01,1984,0.0
04,02,1984,0.0
04,03,1984,0.0
04,04,1984,10.0
04,05,1984,0.0
04,06,1984,0.0
04,07,1984,0.0
04,08,1984,0.0
04,09,1984,0.0
04,10,1984,0.0
04,11,1984,0.0
04,12,1984,0.0
04,13,1984,0.0
04,14,1984,0.0
04,15,1984,0.0
04,16,1984,30.5
04,17,1984,0.0
04,18,1984,0.0
04,19,1984,0.0
04,20,1984,0.0
04,21,1984,0.0
04,22,1984,0.0
04,23,1984,0.0
04,24,1984,0.0
04,25,1984,0.0
04,26,1984,0.0
04,27,1984,0.0
04,28,1984,0.0
04,29,1984,0.0
04,30,1984,0.0
05,01,1984,null
05,02,1984,null
05,03,1984,null
05,04,1984,null
05,05,1984,null
05,06,1984,null
05,07,1984,null
05,08,1984,null
05,09,1984,null
05,10,1984,null
05,11,1984,null
05,12,1984,null
05,13,1984,null
05,14,1984,null
05,15,1984,null
05,16,1984,null
05,17,1984,null
05,18,1984,null
05,19,1984,null
05,20,1984,null
05,21,1984,null
05,22,1984,null
05,23,1984,null
05,24,1984,null
05,25,1984,null
05,26,1984,null
05,27,1984,null
05,28,1984,null
05,29,1984,null
05,30,1984,null
05,31,1984,null
06,01,1984,null
06,02,1984,null
06,03,1984,null
06,04,1984,null
06,05,1984,null
06,06,1984,null
06,07,1984,null
06,08,1984,null
06,09,1984,null
06,10,1984,null
06,11,1984,null
06,12,1984,null
06,13,1984,null
06,14,1984,null
06,15,1984,null
06,16,1984,null
06,17,1984,null
06,18,1984,null
06,19,1984,null
06,20,1984,null
06,21,1984,null
06,22,1984,null
06,23,1984,null
06,24,1984,null
06,25,1984,null
06,26,1984,null
06,27,1984,null
06,28,1984,null
06,29,1984,null
06,30,1984,null
07,01,1984,35.0
07,02,1984,5.0
07,03,1984,0.0
07,04,1984,0.0
07,05,1984,22.0
07,06,1984,10.0
07,07,1984,42.2
07,08,1984,82.5
07,09,1984,45.7
07,10,1984,12.0
07,11,1984,10.0
07,12,1984,5.0
07,13,1984,0.0
07,14,1984,0.0
07,15,1984,0.0
07,16,1984,0.0
07,17,1984,0.0
07,18,1984,10.5
07,19,1984,0.0
07,20,1984,0.0
07,21,1984,0.0
07,22,1984,0.0
07,23,1984,0.0
07,24,1984,112.0
07,25,1984,5.0
07,26,1984,5.0
07,27,1984,22.5
07,28,1984,0.0
07,29,1984,140.0
07,30,1984,15.0
07,31,1984,null
08,01,1984,17.0
08,02,1984,18.0
08,03,1984,98.0
08,04,1984,15.0
08,05,1984,0.0
08,06,1984,22.5
