Id:,6018
Estación:,MANZANILLO (OBS)-COL
Posición:,19.0488888889N -104.288055556W
Variable:,Precipitación (mm)
Fecha Inicial:,06/01/2006
Fecha Final:,10/01/2010
No Dato:,nan
Mes,Día,Anio,Datos
06,01,2006,0.0
06,02,2006,0.0
06,03,2006,0.0
06,04,2006,0.0
06,05,2006,0.0
06,06,2006,0.0
06,07,2006,0.0
06,08,2006,0.0
06,09,2006,0.0
06,10,2006,0.0
06,11,2006,0.0
06,12,2006,2.0
06,13,2006,0.0
06,14,2006,0.0
06,15,2006,0.0
06,16,2006,0.0
06,17,2006,0.0
06,18,2006,0.0
06,19,2006,0.0
06,20,2006,0.0
06,21,2006,0.0
06,22,2006,0.0
06,23,2006,0.0
06,24,2006,0.0
06,25,2006,4.0
06,26,2006,0.0
06,27,2006,0.0
06,28,2006,0.0
06,29,2006,0.0
06,30,2006,0.0
07,01,2006,0.0
07,02,2006,0.0
07,03,2006,0.0
07,04,2006,0.0
07,05,2006,0.0
07,06,2006,0.0
07,07,2006,0.0
07,08,2006,1.0
07,09,2006,0.0
07,10,2006,13.0
07,11,2006,20.0
07,12,2006,25.0
07,13,2006,0.0
07,14,2006,0.0
07,15,2006,0.0
07,16,2006,0.0
07,17,2006,0.0
07,18,2006,19.0
07,19,2006,0.0
07,20,2006,61.0
07,21,2006,0.0
07,22,2006,11.0
07,23,2006,36.0
07,24,2006,40.0
07,25,2006,0.0
07,26,2006,0.0
07,27,2006,0.0
07,28,2006,0.0
07,29,2006,4.0
07,30,2006,0.0
07,31,2006,0.0
08,01,2006,null
08,02,2006,null
08,03,2006,null
08,04,2006,null
08,05,2006,null
08,06,2006,null
08,07,2006,null
08,08,2006,null
08,09,2006,null
08,10,2006,null
08,11,2006,null
08,12,2006,null
08,13,2006,null
08,14,2006,null
08,15,2006,null
08,16,2006,null
08,17,2006,null
08,18,2006,null
08,19,2006,null
08,20,2006,null
08,21,2006,null
08,22,2006,null
08,23,2006,null
08,24,2006,null
08,25,2006,null
08,26,2006,null
08,27,2006,null
08,28,2006,null
08,29,2006,null
08,30,2006,null
08,31,2006,null
09,01,2006,null
09,02,2006,null
09,03,2006,null
09,04,2006,null
09,05,2006,null
09,06,2006,null
09,07,2006,null
09,08,2006,null
09,09,2006,null
09,10,2006,null
09,11,2006,null
09,12,2006,null
09,13,2006,null
09,14,2006,null
09,15,2006,null
09,16,2006,null
09,17,2006,null
09,18,2006,null
09,19,2006,null
09,20,2006,null
09,21,2006,null
09,22,2006,null
09,23,2006,null
09,24,2006,null
09,25,2006,null
09,26,2006,null
09,27,2006,null
09,28,2006,null
09,29,2006,null
09,30,2006,null
10,01,2006,null
10,02,2006,null
10,03,2006,null
10,04,2006,null
10,05,2006,null
10,06,2006,null
10,07,2006,null
10,08,2006,null
10,09,2006,null
10,10,2006,null
10,11,2006,null
10,12,2006,null
10,13,2006,null
10,14,2006,null
10,15,2006,null
10,16,2006,null
10,17,2006,null
10,18,2006,null
10,19,2006,null
10,20,2006,null
10,21,2006,null
10,22,2006,null
10,23,2006,null
10,24,2006,null
10,25,2006,null
10,26,2006,null
10,27,2006,null
10,28,2006,null
10,29,2006,null
10,30,2006,null
10,31,2006,null
11,01,2006,null
11,02,2006,null
11,03,2006,null
11,04,2006,null
11,05,2006,null
11,06,2006,null
11,07,2006,null
11,08,2006,null
11,09,2006,null
11,10,2006,null
11,11,2006,null
11,12,2006,null
11,13,2006,null
11,14,2006,null
11,15,2006,null
11,16,2006,null
11,17,2006,null
11,18,2006,null
11,19,2006,null
11,20,2006,null
11,21,2006,null
11,22,2006,null
11,23,2006,null
11,24,2006,null
11,25,2006,null
11,26,2006,null
11,27,2006,null
