Id:,13145
Estación:,SAN FELIPE ORIZATLAN (DGE)-HGO
Posición:,21.1711111111N -98.61W
Variable:,Precipitación (mm)
Fecha Inicial:,01/01/1984
Fecha Final:,06/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1984,0.0
01,02,1984,2.7
01,03,1984,15.7
01,04,1984,0.0
01,05,1984,0.0
01,06,1984,0.0
01,07,1984,0.0
01,08,1984,1.03
01,09,1984,19.5
01,10,1984,21.5
01,11,1984,3.0
01,12,1984,0.0
01,13,1984,0.0
01,14,1984,0.3
01,15,1984,0.0
01,16,1984,0.0
01,17,1984,0.0
01,18,1984,7.5
01,19,1984,0.2
01,20,1984,4.8
01,21,1984,0.2
01,22,1984,0.0
01,23,1984,0.0
01,24,1984,4.0
01,25,1984,12.5
01,26,1984,0.0
01,27,1984,0.0
01,28,1984,0.0
01,29,1984,0.0
01,30,1984,19.9
01,31,1984,3.0
02,01,1984,0.0
02,02,1984,0.0
02,03,1984,0.0
02,04,1984,6.6
02,05,1984,19.0
02,06,1984,7.5
02,07,1984,0.7
02,08,1984,0.0
02,09,1984,0.0
02,10,1984,0.0
02,11,1984,0.0
02,12,1984,0.0
02,13,1984,0.0
02,14,1984,0.0
02,15,1984,0.0
02,16,1984,0.0
02,17,1984,0.0
02,18,1984,0.0
02,19,1984,2.3
02,20,1984,7.6
02,21,1984,0.0
02,22,1984,0.0
02,23,1984,0.0
02,24,1984,0.0
02,25,1984,0.0
02,26,1984,0.0
02,27,1984,0.0
02,28,1984,0.8
02,29,1984,2.1
03,01,1984,0.0
03,02,1984,0.0
03,03,1984,0.0
03,04,1984,0.0
03,05,1984,5.2
03,06,1984,0.2
03,07,1984,0.0
03,08,1984,0.0
03,09,1984,0.0
03,10,1984,0.0
03,11,1984,0.0
03,12,1984,0.0
03,13,1984,0.0
03,14,1984,0.0
03,15,1984,0.0
03,16,1984,2.0
03,17,1984,0.0
03,18,1984,0.0
03,19,1984,0.0
03,20,1984,0.0
03,21,1984,0.0
03,22,1984,0.0
03,23,1984,0.0
03,24,1984,0.0
03,25,1984,0.0
03,26,1984,0.0
03,27,1984,0.0
03,28,1984,0.0
03,29,1984,0.0
03,30,1984,0.0
03,31,1984,0.0
04,01,1984,0.0
04,02,1984,0.0
04,03,1984,0.0
04,04,1984,3.4
04,05,1984,0.0
04,06,1984,0.0
04,07,1984,0.0
04,08,1984,0.0
04,09,1984,0.0
04,10,1984,0.0
04,11,1984,0.0
04,12,1984,0.0
04,13,1984,0.0
04,14,1984,19.0
04,15,1984,0.0
04,16,1984,0.0
04,17,1984,0.0
04,18,1984,0.0
04,19,1984,0.0
04,20,1984,0.0
04,21,1984,0.0
04,22,1984,0.0
04,23,1984,0.0
04,24,1984,0.0
04,25,1984,0.0
04,26,1984,0.0
04,27,1984,0.0
04,28,1984,0.0
04,29,1984,0.0
04,30,1984,1.0
05,01,1984,0.0
05,02,1984,0.0
05,03,1984,0.0
05,04,1984,0.0
05,05,1984,0.0
05,06,1984,0.0
05,07,1984,4.1
05,08,1984,75.4
05,09,1984,0.0
05,10,1984,0.0
05,11,1984,0.0
05,12,1984,0.0
05,13,1984,1.5
05,14,1984,18.5
05,15,1984,27.5
05,16,1984,0.0
05,17,1984,33.4
05,18,1984,0.4
05,19,1984,11.7
05,20,1984,0.3
05,21,1984,0.0
05,22,1984,0.0
05,23,1984,58.8
05,24,1984,0.0
05,25,1984,0.0
05,26,1984,63.0
05,27,1984,7.0
05,28,1984,22.0
05,29,1984,68.5
05,30,1984,19.1
05,31,1984,0.0
06,01,1984,0.0
06,02,1984,0.0
06,03,1984,0.0
06,04,1984,0.0
06,05,1984,14.2
06,06,1984,0.0
06,07,1984,0.0
06,08,1984,0.0
06,09,1984,0.0
06,10,1984,59.5
06,11,1984,7.5
06,12,1984,27.5
06,13,1984,29.0
06,14,1984,26.5
06,15,1984,0.0
06,16,1984,0.0
06,17,1984,0.0
06,18,1984,13.0
06,19,1984,1.1
06,20,1984,14.8
06,21,1984,0.0
06,22,1984,0.0
06,23,1984,0.0
06,24,1984,0.0
06,25,1984,0.0
06,26,1984,0.0
06,27,1984,0.0
06,28,1984,5.0
06,29,1984,0.0
06,30,1984,4.0
07,01,1984,3.0
07,02,1984,13.0
07,03,1984,20.1
07,04,1984,16.8
07,05,1984,17.3
07,06,1984,1.5
07,07,1984,23.5
07,08,1984,1.7
07,09,1984,49.9
07,10,1984,50.5
07,11,1984,53.3
07,12,1984,130.1
07,13,1984,14.6
07,14,1984,1.1
07,15,1984,7.0
07,16,1984,0.0
07,17,1984,0.0
07,18,1984,0.0
07,19,1984,0.0
07,20,1984,0.0
07,21,1984,0.0
07,22,1984,0.0
07,23,1984,0.0
07,24,1984,3.0
07,25,1984,33.0
07,26,1984,29.1
07,27,1984,0.0
07,28,1984,0.0
07,29,1984,9.9
07,30,1984,0.0
07,31,1984,4.0
08,01,1984,0.0
08,02,1984,0.0
08,03,1984,33.0
08,04,1984,28.3
08,05,1984,2.4
08,06,1984,0.0
08,07,1984,0.0
08,08,1984,7.5
08,09,1984,0.2
08,10,1984,0.0
08,11,1984,0.0
08,12,1984,0.0
08,13,1984,0.0
08,14,1984,0.0
08,15,1984,9.9
08,16,1984,1.5
08,17,1984,0.0
08,18,1984,0.0
08,19,1984,0.0
08,20,1984,0.0
08,21,1984,0.0
08,22,1984,71.5
08,23,1984,9.0
08,24,1984,0.0
08,25,1984,7.5
08,26,1984,0.4
08,27,1984,35.4
08,28,1984,0.0
08,29,1984,0.0
08,30,1984,0.0
08,31,1984,0.0
09,01,1984,0.0
09,02,1984,0.0
09,03,1984,86.6
09,04,1984,323.8
