Id:,15201
Estación:,TROJES-MEX
Posición:,19.4280555556N -99.61W
Variable:,Precipitación (mm)
Fecha Inicial:,06/01/1974
Fecha Final:,10/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1974,null
06,02,1974,null
06,03,1974,null
06,04,1974,null
06,05,1974,null
06,06,1974,null
06,07,1974,null
06,08,1974,null
06,09,1974,null
06,10,1974,null
06,11,1974,null
06,12,1974,null
06,13,1974,15.0
06,14,1974,5.5
06,15,1974,0.2
06,16,1974,9.8
06,17,1974,1.3
06,18,1974,7.4
06,19,1974,54.5
06,20,1974,9.5
06,21,1974,0.5
06,22,1974,15.5
06,23,1974,0.6
06,24,1974,0.0
06,25,1974,0.0
06,26,1974,0.0
06,27,1974,0.0
06,28,1974,2.5
06,29,1974,4.7
06,30,1974,5.2
07,01,1974,0.4
07,02,1974,0.0
07,03,1974,9.5
07,04,1974,22.2
07,05,1974,27.5
07,06,1974,3.2
07,07,1974,0.3
07,08,1974,0.4
07,09,1974,0.5
07,10,1974,5.9
07,11,1974,0.1
07,12,1974,12.0
07,13,1974,0.1
07,14,1974,1.7
07,15,1974,6.3
07,16,1974,8.8
07,17,1974,12.4
07,18,1974,1.8
07,19,1974,6.6
07,20,1974,0.0
07,21,1974,4.5
07,22,1974,0.0
07,23,1974,0.0
07,24,1974,0.0
07,25,1974,5.8
07,26,1974,0.7
07,27,1974,0.0
07,28,1974,0.1
07,29,1974,0.1
07,30,1974,1.7
07,31,1974,0.8
08,01,1974,11.0
08,02,1974,0.7
08,03,1974,0.0
08,04,1974,0.0
08,05,1974,1.5
08,06,1974,1.5
08,07,1974,25.8
08,08,1974,0.3
08,09,1974,0.0
08,10,1974,0.3
08,11,1974,0.3
08,12,1974,10.8
08,13,1974,1.3
08,14,1974,8.6
08,15,1974,9.5
08,16,1974,0.1
08,17,1974,1.0
08,18,1974,4.3
08,19,1974,0.0
08,20,1974,0.1
08,21,1974,0.0
08,22,1974,0.0
08,23,1974,8.5
08,24,1974,0.0
08,25,1974,0.0
08,26,1974,0.0
08,27,1974,14.0
08,28,1974,13.5
08,29,1974,26.3
08,30,1974,0.0
08,31,1974,24.5
09,01,1974,5.3
09,02,1974,0.0
09,03,1974,0.0
09,04,1974,1.5
09,05,1974,3.0
09,06,1974,0.0
09,07,1974,0.1
09,08,1974,0.0
09,09,1974,3.0
09,10,1974,4.2
09,11,1974,2.0
09,12,1974,1.0
09,13,1974,8.0
09,14,1974,1.3
09,15,1974,1.5
09,16,1974,11.0
09,17,1974,0.0
09,18,1974,0.0
09,19,1974,0.0
09,20,1974,32.2
09,21,1974,8.1
09,22,1974,3.0
09,23,1974,14.1
09,24,1974,0.2
09,25,1974,3.5
09,26,1974,16.3
09,27,1974,25.8
09,28,1974,3.1
09,29,1974,2.0
09,30,1974,0.0
10,01,1974,0.0
10,02,1974,0.0
10,03,1974,0.1
10,04,1974,0.1
10,05,1974,0.1
10,06,1974,0.1
10,07,1974,0.0
10,08,1974,0.1
10,09,1974,0.0
10,10,1974,0.0
10,11,1974,0.0
10,12,1974,0.0
10,13,1974,0.0
10,14,1974,0.0
