STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20150101,-9999,0,0,-9999,0,0,4,8,5,0,8,5,-9999,0,0,-9999,0,0,16,0,0,11,0,0,6,0,0,109.2,0,0,-9999,0,0,481.6,0,0,33.9,8,5,-9999,0,0,30.0,8,5,-9999,0,0,-9999,0,0
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20150201,-9999,0,0,-9999,0,0,3,4,2,0,4,2,-9999,0,0,-9999,0,0,1,0,0,1,0,0,1,0,0,58.7,0,0,-9999,0,0,58.7,0,0,34.0,4,2,-9999,0,0,31.5,4,2,-9999,0,0,-9999,0,0
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20150301,-9999,0,0,-9999,0,0,9,14,8,0,14,8,-9999,0,0,-9999,0,0,8,0,0,6,0,0,5,0,0,121.7,0,0,-9999,0,0,319.8,0,0,35.2,14,8,-9999,0,0,31.6,14,8,-9999,0,0,-9999,0,0
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20150401,81,19,10,0,19,10,6,11,4,0,11,4,0,19,10,0,19,10,4,0,0,2,0,0,0,0,0,13.7,0,0,-9999,0,0,35.0,0,0,33.2,11,4,12.7,19,10,31.0,11,4,20.6,19,10,25.7,19,10
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20150501,165,5,1,0,5,1,4,4,1,0,4,1,0,5,1,0,5,1,6,0,0,4,0,0,1,0,0,47.0,0,0,-9999,0,0,110.8,0,0,33.4,4,1,16.4,5,1,29.5,4,1,20.3,5,1,24.9,5,1
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20150601,125,8,2,0,8,2,4,6,2,0,6,2,0,8,2,0,8,2,2,0,0,1,0,0,0,0,0,12.7,0,0,-9999,0,0,19.8,0,0,32.6,6,2,10.5,8,2,29.7,6,2,18.2,8,2,24.3,8,2
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20150701,124,6,2,4,6,2,5,3,1,0,3,1,0,6,2,0,6,2,7,0,0,4,0,0,2,0,0,69.3,0,0,-9999,0,0,173.3,0,0,34.4,3,1,14.0,6,2,27.8,3,1,17.7,6,2,23.1,6,2
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20150801,233,3,1,0,3,1,22,2,1,0,2,1,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,2.3,0,0,-9999,0,0,2.3,0,0,35.0,2,1,17.0,3,1,33.1,2,1,20.0,3,1,26.6,3,1
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20150901,243,3,1,2,3,1,21,2,1,0,2,1,0,2,1,0,2,1,4,0,0,3,0,0,3,0,0,89.4,0,0,-9999,0,0,211.0,0,0,37.2,2,1,13.0,2,1,33.4,2,1,20.9,2,1,27.2,3,1
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20151001,212,6,1,0,6,1,18,6,1,0,6,1,0,5,1,0,5,1,6,0,0,3,0,0,2,0,0,46.2,0,0,-9999,0,0,117.8,0,0,37.4,6,1,14.9,5,1,32.4,6,1,20.9,5,1,26.8,6,1
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20151101,235,3,1,0,3,1,18,2,1,0,2,1,0,3,1,0,3,1,10,0,0,6,0,0,4,0,0,92.7,0,0,-9999,0,0,348.3,0,0,36.0,2,1,18.2,3,1,31.9,2,1,22.2,3,1,27.0,3,1
GHCND:BLM00085153,SAN IGNACIO DE MOXO BL,241,-14.967,-65.633,20151201,232,5,1,0,5,1,18,3,1,0,3,1,0,5,1,0,5,1,6,0,0,4,0,0,3,0,0,98.3,0,0,-9999,0,0,234.4,0,0,35.0,3,1,18.6,5,1,32.4,3,1,23.0,5,1,27.9,5,1
GHCND:BLM00085175,ASCENCION GUARAYOS BL,247,-15.717,-63.1,20150401,-9999,0,0,-9999,0,0,0,19,19,0,19,19,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,31.7,19,19,-9999,0,0,31.7,19,19,-9999,0,0,-9999,0,0
GHCND:BLM00085175,ASCENCION GUARAYOS BL,247,-15.717,-63.1,20150701,-9999,0,0,-9999,0,0,0,20,20,0,20,20,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,20.4,20,20,-9999,0,0,20.4,20,20,-9999,0,0,-9999,0,0
GHCND:BLM00085175,ASCENCION GUARAYOS BL,247,-15.717,-63.1,20150801,-9999,0,0,-9999,0,0,0,17,17,0,17,17,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,28.0,17,17,-9999,0,0,28.0,17,17,-9999,0,0,-9999,0,0
GHCND:BLM00085175,ASCENCION GUARAYOS BL,247,-15.717,-63.1,20151201,-9999,0,0,-9999,0,0,1,14,14,0,14,14,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,34.3,14,14,-9999,0,0,34.3,14,14,-9999,0,0,-9999,0,0
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20150101,183,9,3,0,9,3,9,8,3,0,8,3,0,9,3,0,9,3,12,0,0,7,0,0,4,0,0,74.2,0,0,-9999,0,0,298.0,0,0,34.0,8,3,20.7,9,3,30.7,8,3,22.6,9,3,26.6,9,3
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20150201,86,17,10,0,17,10,6,15,5,0,15,5,0,17,10,0,17,10,3,0,0,1,0,0,0,0,0,15.7,0,0,-9999,0,0,36.0,0,0,34.0,15,5,22.3,17,10,31.3,15,5,23.3,17,10,27.8,17,10
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20150301,141,16,5,0,16,5,12,15,5,0,15,5,0,16,5,0,16,5,4,0,0,2,0,0,2,0,0,49.3,0,0,-9999,0,0,93.0,0,0,34.6,15,5,19.2,16,5,32.0,15,5,22.7,16,5,27.7,16,5
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20150401,132,15,4,0,15,4,9,14,4,0,14,4,0,13,4,0,13,4,6,0,0,3,0,0,2,0,0,30.5,0,0,-9999,0,0,99.2,0,0,34.7,14,4,20.9,13,4,32.0,14,4,22.2,13,4,27.1,15,4
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20150501,155,9,2,0,9,2,2,8,2,0,8,2,0,9,2,0,9,2,7,0,0,2,0,0,2,0,0,39.1,0,0,-9999,0,0,111.8,0,0,32.5,8,2,18.2,9,2,29.4,8,2,21.1,9,2,25.4,9,2
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20150601,150,4,2,0,4,2,7,3,2,0,3,2,0,4,2,0,4,2,4,0,0,4,0,0,3,0,0,125.0,0,0,-9999,0,0,217.1,0,0,33.0,3,2,13.4,4,2,29.6,3,2,19.3,4,2,24.6,4,2
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20150701,130,5,1,2,5,1,4,4,1,0,4,1,0,5,1,0,5,1,5,0,0,1,0,0,1,0,0,37.3,0,0,-9999,0,0,74.1,0,0,34.0,4,1,13.6,5,1,27.7,4,1,18.6,5,1,23.2,5,1
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20150801,243,1,1,0,1,1,22,1,1,0,1,1,0,1,1,0,1,1,5,0,0,1,0,0,0,0,0,23.9,0,0,-9999,0,0,39.2,0,0,36.8,1,1,17.0,1,1,32.7,1,1,20.5,1,1,26.7,1,1
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20150901,260,3,1,0,3,1,23,2,1,0,2,1,0,2,1,0,2,1,4,0,0,0,0,0,0,0,0,8.1,0,0,-9999,0,0,30.5,0,0,37.6,2,1,14.6,2,1,34.2,2,1,21.6,2,1,27.9,3,1
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20151001,240,4,1,0,4,1,19,4,1,0,4,1,0,4,1,0,4,1,5,0,0,2,0,0,1,0,0,28.4,0,0,-9999,0,0,59.9,0,0,37.9,4,1,14.5,4,1,33.0,4,1,21.4,4,1,27.2,4,1
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20151101,215,6,1,0,6,1,16,3,1,0,3,1,0,5,1,0,5,1,8,0,0,6,0,0,3,0,0,55.4,0,0,-9999,0,0,202.4,0,0,37.8,3,1,18.8,5,1,32.7,3,1,22.5,5,1,27.6,6,1
GHCND:BLM00085152,SAN BORJA CAPT GERM BL,194,-14.867,-66.75,20151201,271,4,1,0,4,1,23,2,1,0,2,1,0,4,1,0,4,1,6,0,0,3,0,0,2,0,0,46.0,0,0,-9999,0,0,127.2,0,0,36.4,2,1,19.0,4,1,33.2,2,1,22.9,4,1,28.3,4,1
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20150101,4,2,2,0,2,2,2,5,2,0,5,2,0,2,2,0,2,2,1,0,0,0,0,0,0,0,0,7.6,0,0,-9999,0,0,7.6,0,0,33.0,5,2,17.7,2,2,29.6,5,2,17.7,2,2,22.4,2,2
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20150201,-9999,0,0,-9999,0,0,0,7,2,0,7,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.0,7,2,-9999,0,0,29.2,7,2,-9999,0,0,-9999,0,0
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20150301,-9999,0,0,-9999,0,0,1,4,2,0,4,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.5,4,2,-9999,0,0,29.7,4,2,-9999,0,0,-9999,0,0
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20150401,15,20,17,0,20,17,0,2,1,0,2,1,0,20,17,0,20,17,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,31.0,2,1,21.0,20,17,29.4,2,1,21.7,20,17,25.7,20,17
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20150501,-9999,0,0,-9999,0,0,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,30.1,1,1,-9999,0,0,26.6,1,1,-9999,0,0,-9999,0,0
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20150601,0,18,18,2,18,18,0,1,1,0,1,1,0,18,18,0,18,18,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,31.0,1,1,12.1,18,18,27.4,1,1,12.1,18,18,16.0,18,18
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20150701,-9999,0,0,-9999,0,0,1,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.8,2,1,-9999,0,0,26.0,2,1,-9999,0,0,-9999,0,0
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20150801,-9999,0,0,-9999,0,0,11,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,36.0,1,1,-9999,0,0,31.9,1,1,-9999,0,0,-9999,0,0
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20150901,-9999,0,0,-9999,0,0,22,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,36.0,1,1,-9999,0,0,32.8,1,1,-9999,0,0,-9999,0,0
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20151001,-9999,0,0,-9999,0,0,17,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,37.0,0,0,-9999,0,0,31.9,0,0,-9999,0,0,-9999,0,0
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20151101,-9999,0,0,-9999,0,0,19,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,36.2,1,1,-9999,0,0,31.9,1,1,-9999,0,0,-9999,0,0
GHCND:BLM00085196,CONCEPCION BL,497,-16.25,-62.1,20151201,-9999,0,0,-9999,0,0,20,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,34.4,2,1,-9999,0,0,32.2,2,1,-9999,0,0,-9999,0,0
GHCND:BLM00085293,CAPITAN NICOLAS ROJAS BL,3935.9,-19.543,-65.724,20150101,-9999,0,0,-9999,0,0,0,10,2,0,10,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,22.0,10,2,-9999,0,0,14.9,10,2,-9999,0,0,-9999,0,0
GHCND:BLM00085293,CAPITAN NICOLAS ROJAS BL,3935.9,-19.543,-65.724,20150201,-9999,0,0,-9999,0,0,0,14,4,0,14,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,19.2,14,4,-9999,0,0,16.3,14,4,-9999,0,0,-9999,0,0
GHCND:BLM00085293,CAPITAN NICOLAS ROJAS BL,3935.9,-19.543,-65.724,20150301,-9999,0,0,-9999,0,0,0,13,3,0,13,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,17.8,13,3,-9999,0,0,15.9,13,3,-9999,0,0,-9999,0,0
GHCND:BLM00085293,CAPITAN NICOLAS ROJAS BL,3935.9,-19.543,-65.724,20150401,-9999,0,0,-9999,0,0,0,12,3,0,12,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,19.6,12,3,-9999,0,0,16.2,12,3,-9999,0,0,-9999,0,0
GHCND:BLM00085293,CAPITAN NICOLAS ROJAS BL,3935.9,-19.543,-65.724,20150501,-9999,0,0,-9999,0,0,0,8,2,0,8,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,17.5,8,2,-9999,0,0,15.9,8,2,-9999,0,0,-9999,0,0
