STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:BR001957002,CORUMBA BR,141,-19.083,-57.5,20140101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,5,0,0,1,0,0,37.1,0,0,148.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:BR001957002,CORUMBA BR,141,-19.083,-57.5,20140201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,3,0,0,0,0,0,24.9,0,0,68.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:BR001957002,CORUMBA BR,141,-19.083,-57.5,20140301,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,1,0,0,1,0,0,83.1,0,0,86.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:BR001957002,CORUMBA BR,141,-19.083,-57.5,20140401,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,1,0,0,0,0,0,13.0,0,0,24.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:BR001957002,CORUMBA BR,141,-19.083,-57.5,20140501,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,9,0,0,7,0,0,5,0,0,71.9,0,0,290.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:BR001957002,CORUMBA BR,141,-19.083,-57.5,20140601,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20140101,2,16,16,0,16,16,2,12,4,0,12,4,0,16,16,0,16,16,5,0,0,4,0,0,3,0,0,35.1,0,0,131.6,0,0,32.7,12,4,7.7,16,16,30.7,12,4,8.2,16,16,19.0,16,16
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20140201,0,15,15,2,15,15,0,11,3,0,11,3,0,15,15,0,15,15,3,0,0,2,0,0,1,0,0,34.0,0,0,61.4,0,0,32.1,11,3,8.5,15,15,29.9,11,3,8.9,15,15,17.3,15,15
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20140301,2,13,5,4,13,5,0,12,5,0,12,5,0,10,5,0,10,5,9,0,0,4,0,0,0,0,0,17.0,0,0,96.1,0,0,31.6,12,5,7.5,10,5,28.8,12,5,10.1,10,5,18.1,13,5
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20140401,2,10,2,16,10,2,0,14,4,0,14,4,0,3,1,0,3,1,9,0,0,3,0,0,1,0,0,39.1,0,0,131.0,0,0,29.7,14,4,5.8,3,1,26.3,14,4,8.4,3,1,17.2,10,2
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20140501,0,15,5,17,15,5,0,15,5,0,15,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.9,0,0,11.2,0,0,29.1,15,5,5.9,0,0,25.5,15,5,7.6,0,0,16.5,15,5
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20140601,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,27.9,0,0,35.1,0,0,-9999,0,0,6.6,0,0,-9999,0,0,8.3,0,0,-9999,0,0
