STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:COM00080094,PALONEGRO CO,1187.8,7.127,-73.185,20160101,42,9,3,0,9,3,0,9,3,0,9,3,0,5,1,0,5,1,2,0,0,2,0,0,0,0,0,21.1,0,0,-9999,0,0,43.7,0,0,29.8,9,3,18.4,5,1,28.0,9,3,19.1,5,1,23.5,9,3
GHCND:COM00080094,PALONEGRO CO,1187.8,7.127,-73.185,20160201,18,14,7,0,14,7,0,21,7,0,21,7,0,7,2,0,7,2,1,0,0,0,0,0,0,0,0,3.0,0,0,2.0,25,16,3.5,0,0,29.8,21,7,19.2,7,2,28.9,21,7,19.9,7,2,24.2,14,7
GHCND:COM00080094,PALONEGRO CO,1187.8,7.127,-73.185,20160301,26,12,6,0,12,6,0,23,9,0,23,9,0,10,3,0,10,3,2,0,0,1,0,0,1,0,0,40.9,0,0,1.0,15,9,46.0,0,0,30.8,23,9,18.4,10,3,28.8,23,9,20.1,10,3,24.7,12,6
GHCND:COM00080370,SAN LUIS CO,2976.4,0.862,-77.672,20160101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,5.1,0,0,1.0,28,20,6.9,0,0,-9999,0,0,1.0,2,1,-9999,0,0,6.2,2,1,-9999,0,0
GHCND:COM00080370,SAN LUIS CO,2976.4,0.862,-77.672,20160201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,2,1,0,2,1,1,0,0,1,0,0,1,0,0,64.0,0,0,1.0,23,15,64.8,0,0,-9999,0,0,3.4,2,1,-9999,0,0,7.7,2,1,-9999,0,0
GHCND:COM00080370,SAN LUIS CO,2976.4,0.862,-77.672,20160301,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,6,2,0,6,2,1,0,0,0,0,0,0,0,0,4.1,0,0,-9999,0,0,4.4,0,0,-9999,0,0,5.2,6,2,-9999,0,0,8.2,6,2,-9999,0,0
GHCND:COM00080099,SANTIAGO PEREZ CO,128,7.069,-70.737,20160101,17,13,13,0,13,13,2,13,13,0,13,13,0,6,2,0,6,2,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,33.1,13,13,19.4,6,2,32.7,13,13,21.0,6,2,27.0,13,13
GHCND:COM00080099,SANTIAGO PEREZ CO,128,7.069,-70.737,20160201,33,16,13,0,16,13,4,22,13,0,22,13,0,8,2,0,8,2,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,36.8,22,13,20.3,8,2,35.6,22,13,22.2,8,2,29.3,16,13
GHCND:COM00080099,SANTIAGO PEREZ CO,128,7.069,-70.737,20160301,12,19,19,0,19,19,1,19,19,0,19,19,0,11,3,0,11,3,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,37.1,19,19,22.7,11,3,37.1,19,19,24.1,11,3,30.7,19,19
GHCND:COM00080110,OLAYA HERRERA CO,1505.7,6.22,-75.591,20160101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,7,2,0,7,2,1,0,0,1,0,0,0,0,0,21.1,0,0,1.0,2,1,21.1,0,0,-9999,0,0,16.4,7,2,-9999,0,0,18.4,7,2,-9999,0,0
