STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20080201,-9999,0,0,-9999,0,0,0,3,3,0,3,3,-9999,0,0,-9999,0,0,1,0,0,0,0,0,0,0,0,5.1,0,0,5.1,0,0,26.8,3,3,-9999,0,0,26.8,3,3,-9999,0,0,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20140101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,23,23,0,23,23,4,0,0,3,0,0,2,0,0,38.1,0,0,96.3,0,0,-9999,0,0,14.5,23,23,-9999,0,0,16.2,23,23,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20140201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,4,3,0,4,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,14.0,4,3,-9999,0,0,15.2,4,3,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20140301,-9999,0,0,-9999,0,0,0,5,5,0,5,5,0,11,5,0,11,5,1,0,0,0,0,0,0,0,0,5.1,0,0,5.1,0,0,27.8,5,5,14.2,11,5,27.8,5,5,15.5,11,5,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20140401,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,13,7,0,13,7,2,0,0,0,0,0,0,0,0,10.9,0,0,16.0,0,0,-9999,0,0,14.3,13,7,-9999,0,0,14.8,13,7,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20140701,-9999,0,0,-9999,0,0,0,27,27,0,27,27,0,24,8,0,24,8,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,24.1,27,27,9.6,24,8,24.1,27,27,12.4,24,8,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20140801,1,1,1,0,1,1,0,17,8,0,17,8,0,16,12,0,16,12,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,29.2,17,8,13.5,16,12,26.9,17,8,15.6,16,12,19.1,1,1
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20140901,-9999,0,0,-9999,0,0,0,2,1,0,2,1,0,23,6,0,23,6,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,28.1,2,1,12.7,23,6,27.5,2,1,14.6,23,6,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20141001,-9999,0,0,-9999,0,0,0,22,11,0,22,11,0,13,6,0,13,6,1,0,0,0,0,0,0,0,0,7.1,0,0,7.1,0,0,31.6,22,11,14.6,13,6,31.2,22,11,15.7,13,6,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20141101,-9999,0,0,-9999,0,0,0,11,8,0,11,8,0,21,11,0,21,11,5,0,0,2,0,0,2,0,0,33.0,0,0,80.0,0,0,27.5,11,8,14.0,21,11,26.8,11,8,15.7,21,11,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20141201,-9999,0,0,-9999,0,0,0,11,11,0,11,11,0,25,8,0,25,8,3,0,0,2,0,0,1,0,0,64.0,0,0,97.0,0,0,25.4,11,11,13.2,25,8,25.4,11,11,15.3,25,8,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20150101,-9999,0,0,-9999,0,0,0,12,12,0,12,12,0,23,8,0,23,8,1,0,0,0,0,0,0,0,0,5.1,0,0,6.1,0,0,26.0,12,12,12.5,23,8,26.0,12,12,14.6,23,8,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20150401,3,21,21,0,21,21,0,21,21,0,21,21,0,23,14,0,23,14,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,27.4,21,21,15.7,23,14,27.4,21,21,16.3,23,14,21.6,21,21
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20150501,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,21,11,0,21,11,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,13.4,21,11,-9999,0,0,14.4,21,11,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20150601,-9999,0,0,-9999,0,0,0,27,27,0,27,27,0,25,13,0,25,13,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,26.6,27,27,9.0,25,13,26.6,27,27,11.0,25,13,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20150701,2,5,5,0,5,5,0,22,12,0,22,12,0,18,5,0,18,5,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,28.3,22,12,11.8,18,5,27.6,22,12,13.5,18,5,20.7,5,5
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20150801,-9999,0,0,-9999,0,0,0,0,0,0,0,0,0,23,11,0,23,11,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,26.3,0,0,13.8,23,11,26.3,0,0,16.1,23,11,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20150901,-9999,0,0,-9999,0,0,0,0,0,0,0,0,0,20,7,0,20,7,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,30.0,0,0,12.3,20,7,30.0,0,0,15.7,20,7,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20151001,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,25,16,0,25,16,3,0,0,1,0,0,0,0,0,16.0,0,0,24.2,0,0,-9999,0,0,13.6,25,16,-9999,0,0,15.4,25,16,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20151101,-9999,0,0,-9999,0,0,0,27,27,0,27,27,0,14,12,0,14,12,1,0,0,1,0,0,0,0,0,23.1,0,0,24.1,0,0,32.1,27,27,14.2,14,12,32.1,27,27,14.8,14,12,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20151201,-9999,0,0,-9999,0,0,0,24,24,0,24,24,0,25,12,0,25,12,4,0,0,2,0,0,0,0,0,16.0,0,0,39.1,0,0,26.2,24,24,15.5,25,12,26.2,24,24,15.8,25,12,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20160101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,23,15,0,23,15,3,0,0,1,0,0,0,0,0,24.9,0,0,41.1,0,0,-9999,0,0,12.2,23,15,-9999,0,0,15.5,23,15,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20160201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,15,10,0,15,10,3,0,0,2,0,0,1,0,0,42.9,0,0,61.0,0,0,-9999,0,0,14.7,15,10,-9999,0,0,16.0,15,10,-9999,0,0
GHCND:AO000066390,LUBANGO SA DA BAND AO,1761,-14.933,13.567,20160301,6,29,29,0,29,29,0,29,29,0,29,29,0,27,22,0,27,22,3,0,0,1,0,0,1,0,0,30.0,0,0,43.2,0,0,29.6,29,29,15.3,27,22,29.6,29,29,17.0,27,22,23.8,29,29
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20070101,-9999,0,0,-9999,0,0,0,27,16,0,27,16,0,26,7,0,26,7,4,0,0,1,0,0,0,0,0,22.1,0,0,50.8,0,0,30.2,27,16,22.6,26,7,29.8,27,16,23.6,26,7,-9999,0,0
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20070201,-9999,0,0,-9999,0,0,0,17,17,0,17,17,0,20,11,0,20,11,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,30.2,17,17,22.7,20,11,30.2,17,17,23.4,20,11,-9999,0,0
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20070301,19,11,6,0,11,6,0,24,13,0,24,13,0,10,5,0,10,5,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,31.8,24,13,22.6,10,5,31.2,24,13,23.8,10,5,27.7,11,6
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20070401,20,21,20,0,21,20,2,21,19,0,21,19,0,21,20,0,21,20,1,0,0,0,0,0,0,0,0,3.0,0,0,4.0,0,0,32.3,21,19,23.6,21,20,32.0,21,19,24.0,21,20,28.1,21,20
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20070501,9,3,3,0,3,3,1,26,15,0,26,15,0,16,13,0,16,13,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,34.4,26,15,23.9,16,13,31.4,26,15,24.2,16,13,27.3,3,3
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20070601,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,17,17,0,17,17,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,17.5,17,17,-9999,0,0,17.7,17,17,-9999,0,0
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20070701,3,4,4,0,4,4,0,4,4,0,4,4,0,8,4,0,8,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,25.6,4,4,17.5,8,4,25.6,4,4,18.1,8,4,21.6,4,4
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20070801,5,26,26,0,26,26,0,26,26,0,26,26,0,23,16,0,23,16,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,26.0,26,26,18.3,23,16,26.0,26,26,19.0,23,16,22.8,26,26
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20070901,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,-9999,0,0,18.9,0,0,-9999,0,0,18.9,0,0,-9999,0,0
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20071001,6,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,26.8,3,3,20.8,3,3,26.8,3,3,20.8,3,3,23.8,3,3
GHCND:AO000066160,LUANDA AO,74,-8.85,13.233,20071101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,16,11,0,16,11,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,0,0,-9999,0,0,22.8,16,11,-9999,0,0,23.3,16,11,-9999,0,0
