STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20070101,143,6,1,0,6,1,15,6,2,0,6,2,0,5,3,0,5,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.4,6,2,13.0,5,3,33.2,6,2,16.4,5,3,24.8,6,1
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20070201,157,13,8,0,13,8,17,11,4,0,11,4,0,10,8,0,10,8,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,41.0,11,4,17.0,10,8,38.2,11,4,20.9,10,8,29.5,13,8
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20070301,215,11,5,0,11,5,19,10,5,0,10,5,0,6,2,0,6,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,44.3,10,5,20.3,6,2,40.5,10,5,24.1,6,2,32.7,11,5
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20070401,149,14,5,0,14,5,15,14,5,0,14,5,0,12,4,0,12,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,44.8,14,5,24.7,12,4,40.2,14,5,28.5,12,4,34.8,14,5
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20070501,192,13,3,0,13,3,17,13,3,0,13,3,0,9,3,0,9,3,4,0,0,2,0,0,1,0,0,36.1,0,0,-9999,0,0,58.1,0,0,39.5,13,3,22.5,9,3,36.4,13,3,25.7,9,3,31.1,13,3
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20070601,56,7,3,0,7,3,8,19,5,0,19,5,0,17,7,0,17,7,1,0,0,0,0,0,0,0,0,3.0,0,0,-9999,0,0,4.3,0,0,35.4,19,5,22.5,17,7,33.0,19,5,24.3,17,7,29.4,7,3
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20070701,71,18,6,0,18,6,7,18,6,0,18,6,0,13,3,0,13,3,6,0,0,1,0,0,0,0,0,13.0,0,0,-9999,0,0,36.9,0,0,36.0,18,6,21.2,13,3,32.2,18,6,23.3,13,3,27.1,18,6
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20070801,79,11,3,0,11,3,4,15,4,0,15,4,0,16,3,0,16,3,6,0,0,0,0,0,0,0,0,8.9,0,0,-9999,0,0,39.4,0,0,33.8,15,4,21.6,16,3,31.3,15,4,23.0,16,3,27.1,11,3
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20070901,136,10,2,0,10,2,8,10,3,0,10,3,0,4,1,0,4,1,7,0,0,3,0,0,2,0,0,77.0,0,0,-9999,0,0,179.6,0,0,34.6,10,3,21.0,4,1,31.9,10,3,23.0,4,1,27.4,10,2
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20071001,180,11,3,0,11,3,22,9,3,0,9,3,0,7,2,0,7,2,4,0,0,3,0,0,2,0,0,35.1,0,0,-9999,0,0,94.3,0,0,36.2,9,3,21.1,7,2,34.5,9,3,23.4,7,2,28.9,11,3
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20071101,211,10,4,0,10,4,22,7,4,0,7,4,0,6,4,0,6,4,1,0,0,1,0,0,0,0,0,20.1,0,0,-9999,0,0,20.1,0,0,39.4,7,4,18.3,6,4,37.3,7,4,22.3,6,4,30.0,10,4
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20071201,124,14,3,0,14,3,23,8,2,0,8,2,0,14,3,0,14,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.4,8,2,14.0,14,3,36.5,8,2,17.5,14,3,27.1,14,3
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20080101,110,10,5,0,10,5,12,9,2,0,9,2,0,11,5,0,11,5,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,38.2,9,2,12.0,11,5,32.6,9,2,17.4,11,5,25.2,10,5
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20080201,109,9,5,0,9,5,19,8,2,0,8,2,0,10,5,0,10,5,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,41.4,8,2,17.3,10,5,35.8,8,2,19.1,10,5,27.4,9,5
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20080301,185,9,2,0,9,2,22,9,2,0,9,2,0,13,3,0,13,3,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,43.5,9,2,23.1,13,3,41.9,9,2,25.6,13,3,33.7,9,2
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20080401,105,10,6,0,10,6,20,8,3,0,8,3,0,19,7,0,19,7,2,0,0,1,0,0,0,0,0,13.0,0,0,-9999,0,0,16.0,0,0,42.5,8,3,23.2,19,7,38.8,8,3,26.6,19,7,33.2,10,6
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20080501,60,18,14,0,18,14,12,18,10,0,18,10,0,22,14,0,22,14,2,0,0,1,0,0,1,0,0,26.9,0,0,-9999,0,0,37.8,0,0,39.7,18,10,23.5,22,14,36.9,18,10,25.7,22,14,30.4,18,14
GHCND:CMM00064860,GAROUA CM,242,9.336,13.37,20080601,84,6,2,0,6,2,12,10,2,0,10,2,0,10,2,0,10,2,1,0,0,0,0,0,0,0,0,4.1,0,0,-9999,0,0,6.6,0,0,38.8,10,2,22.3,10,2,33.4,10,2,24.1,10,2,30.2,6,2
