STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20091001,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,26,26,0,26,26,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,13.0,26,26,-9999,0,0,13.0,26,26,-9999,0,0
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20091101,-9999,0,0,-9999,0,0,0,27,27,0,27,27,0,23,23,0,23,23,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,20.3,27,27,8.4,23,23,20.3,27,27,8.4,23,23,-9999,0,0
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20091201,0,7,7,2,7,7,0,19,9,0,19,9,0,24,11,0,24,11,1,0,0,1,0,0,1,0,0,130.0,0,0,130.0,0,0,23.5,19,9,7.7,24,11,21.1,19,9,9.6,24,11,16.8,7,7
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20100101,-9999,0,0,-9999,0,0,0,19,7,0,19,7,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,22.0,19,7,-9999,0,0,19.6,19,7,-9999,0,0,-9999,0,0
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20100201,1,17,9,4,17,9,0,17,6,0,17,6,0,23,9,0,23,9,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,25.8,17,6,9.5,23,9,19.8,17,6,11.7,23,9,17.4,17,9
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20100301,10,9,4,6,9,4,2,19,7,0,19,7,0,13,4,0,13,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,35.8,19,7,9.6,13,4,27.1,19,7,14.6,13,4,19.2,9,4
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20100401,39,13,7,0,13,7,4,21,7,0,21,7,0,19,4,0,19,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,35.2,21,7,15.0,19,4,31.4,21,7,18.8,19,4,26.1,13,7
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20100501,88,12,5,0,12,5,9,22,6,0,22,6,0,19,5,0,19,5,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,42.2,22,6,19.5,19,5,39.5,22,6,24.3,19,5,33.0,12,5
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20100601,21,7,7,0,7,7,2,10,7,0,10,7,0,16,4,0,16,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,47.5,10,7,26.8,16,4,47.1,10,7,29.4,16,4,39.2,7,7
GHCND:IZ000040665,KUT AL HAI IZ,15,32.17,46.05,20100701,19,3,3,0,3,3,1,3,3,0,3,3,0,14,4,0,14,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,46.4,3,3,27.7,14,4,46.4,3,3,30.8,14,4,37.4,3,3
