STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20070101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,12,2,0,12,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8.5,12,2,-9999,0,0,13.8,12,2,-9999,0,0
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20070201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,7,2,0,7,2,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,0,0,-9999,0,0,8.5,7,2,-9999,0,0,13.1,7,2,-9999,0,0
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20070301,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,13,5,0,13,5,1,0,0,1,0,0,0,0,0,14.0,0,0,14.0,0,0,-9999,0,0,15.5,13,5,-9999,0,0,19.3,13,5,-9999,0,0
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20070401,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,15,4,0,15,4,6,0,0,1,0,0,1,0,0,37.1,0,0,59.1,0,0,-9999,0,0,18.5,15,4,-9999,0,0,21.8,15,4,-9999,0,0
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20070501,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,21,11,0,21,11,6,0,0,4,0,0,1,0,0,27.9,0,0,97.4,0,0,-9999,0,0,22.4,21,11,-9999,0,0,23.5,21,11,-9999,0,0
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20070601,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,18,8,0,18,8,3,0,0,2,0,0,1,0,0,57.9,0,0,83.8,0,0,-9999,0,0,23.2,18,8,-9999,0,0,24.9,18,8,-9999,0,0
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20070701,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,17,4,0,17,4,3,0,0,1,0,0,1,0,0,34.0,0,0,50.0,0,0,-9999,0,0,21.4,17,4,-9999,0,0,24.3,17,4,-9999,0,0
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20070801,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,16,8,0,16,8,7,0,0,1,0,0,1,0,0,38.1,0,0,78.1,0,0,-9999,0,0,23.0,16,8,-9999,0,0,24.3,16,8,-9999,0,0
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20070901,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,5,2,0,5,2,11,0,0,6,0,0,2,0,0,39.1,0,0,186.5,0,0,-9999,0,0,19.0,5,2,-9999,0,0,23.3,5,2,-9999,0,0
GHCND:LAM00048938,SAYABOURY LA,326,19.233,101.733,20071001,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,3,1,0,3,1,10,0,0,7,0,0,5,0,0,71.9,0,0,273.8,0,0,-9999,0,0,19.2,3,1,-9999,0,0,22.0,3,1,-9999,0,0
