STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20070101,11,6,2,72,6,2,0,4,2,0,4,2,0,3,1,0,3,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,30.0,4,2,3.0,3,1,22.9,4,2,8.6,3,1,15.9,6,2
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20070201,93,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,36.0,0,0,11.0,0,0,29.0,0,0,14.2,0,0,21.6,0,0
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20070301,200,2,1,0,2,1,20,1,1,0,1,1,0,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,40.0,1,1,11.0,2,1,33.3,1,1,17.1,2,1,25.2,2,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20070401,329,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,42.0,0,0,15.0,0,0,37.5,0,0,21.0,0,0,29.3,0,0
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20070501,468,1,1,0,1,1,31,0,0,0,0,0,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,45.0,0,0,24.0,1,1,41.5,0,0,26.2,1,1,33.9,1,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20070601,529,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,45.0,0,0,24.0,0,0,43.8,0,0,28.0,0,0,35.9,0,0
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20070701,510,2,1,0,2,1,31,0,0,0,0,0,0,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,46.0,0,0,25.0,2,1,44.1,0,0,27.7,2,1,35.9,2,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20070801,533,1,1,0,1,1,30,1,1,0,1,1,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,47.0,1,1,24.0,1,1,44.3,1,1,27.8,1,1,36.1,1,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20070901,422,2,1,0,2,1,29,1,1,0,1,1,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,46.0,1,1,21.0,1,1,41.7,1,1,24.9,1,1,33.4,2,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20071001,236,3,1,0,3,1,29,1,1,0,1,1,0,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.0,1,1,14.0,2,1,35.8,1,1,17.6,2,1,26.7,3,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20071101,114,2,1,0,2,1,5,1,1,0,1,1,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,33.0,1,1,12.0,1,1,30.8,1,1,14.0,1,1,22.4,2,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20071201,32,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,30.0,0,0,7.0,0,0,26.5,0,0,10.3,0,0,18.4,0,0
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20080101,24,3,1,65,3,1,0,1,1,0,1,1,0,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.0,1,1,4.0,2,1,23.4,1,1,9.6,2,1,16.8,3,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20080201,49,0,0,57,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,35.0,0,0,2.0,0,0,26.7,0,0,9.3,0,0,18.0,0,0
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20080301,168,1,1,0,1,1,19,0,0,0,0,0,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.0,0,0,10.0,1,1,33.6,0,0,14.2,1,1,23.9,1,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20080401,255,4,1,0,4,1,26,3,1,0,3,1,0,4,1,0,4,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,41.0,3,1,18.0,4,1,37.7,3,1,20.9,4,1,29.4,4,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20080501,463,2,1,0,2,1,31,0,0,0,0,0,0,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,43.0,0,0,22.0,2,1,41.6,0,0,26.9,2,1,34.3,2,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20080601,467,1,1,0,1,1,30,0,0,0,0,0,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,45.0,0,0,24.0,1,1,42.7,0,0,26.1,1,1,34.4,1,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20080701,513,2,1,0,2,1,31,0,0,0,0,0,0,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,46.0,0,0,25.0,2,1,44.6,0,0,28.5,2,1,36.6,2,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20080801,507,3,1,0,3,1,31,0,0,0,0,0,0,3,1,0,3,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,46.0,0,0,25.0,3,1,44.1,0,0,28.7,3,1,36.4,3,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20080901,422,2,1,0,2,1,29,1,1,0,1,1,0,2,1,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,45.0,1,1,21.0,2,1,41.9,1,1,24.8,2,1,33.4,2,1
GHCND:SAM00041061,WADI AL DAWASIR SA,628.5,20.504,45.2,20081001,279,1,1,0,1,1,29,0,0,0,0,0,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,39.0,0,0,16.0,1,1,35.4,0,0,19.6,1,1,27.6,1,1
