STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20070101,138,7,2,0,7,2,1,4,1,0,4,1,0,7,2,0,7,2,16,0,0,8,0,0,4,0,0,143.8,0,0,450.6,0,0,32.7,4,1,23.1,7,2,30.0,4,1,24.1,7,2,26.9,7,2
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20070201,154,10,2,0,10,2,7,5,1,0,5,1,0,8,2,0,8,2,2,0,0,1,0,0,1,0,0,51.3,0,0,54.1,0,0,33.3,5,1,23.3,8,2,31.7,5,1,24.3,8,2,27.9,10,2
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20070301,186,11,3,0,11,3,8,7,1,0,7,1,0,6,3,0,6,3,12,0,0,8,0,0,5,0,0,68.8,0,0,294.6,0,0,33.5,7,1,22.5,6,3,31.7,7,1,24.3,6,3,28.1,11,3
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20070401,125,11,3,0,11,3,9,12,3,0,12,3,0,9,3,0,9,3,9,0,0,5,0,0,3,0,0,102.4,0,0,244.1,0,0,33.6,12,3,22.2,9,3,32.2,12,3,25.1,9,3,28.7,11,3
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20070501,189,11,2,0,11,2,15,5,2,0,5,2,0,8,2,0,8,2,12,0,0,6,0,0,0,0,0,22.6,0,0,149.6,0,0,33.4,5,2,22.7,8,2,31.8,5,2,24.7,8,2,28.3,11,2
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20070601,84,14,4,0,14,4,9,15,4,0,15,4,0,10,2,0,10,2,6,0,0,3,0,0,3,0,0,38.1,0,0,139.2,0,0,34.0,15,4,21.8,10,2,32.1,15,4,24.9,10,2,28.9,14,4
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20070701,121,10,2,0,10,2,5,10,2,0,10,2,0,10,2,0,10,2,11,0,0,4,0,0,0,0,0,23.1,0,0,141.4,0,0,33.0,10,2,22.6,10,2,30.7,10,2,24.9,10,2,27.6,10,2
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20070801,112,15,3,0,15,3,3,9,3,0,9,3,0,11,3,0,11,3,10,0,0,5,0,0,1,0,0,30.7,0,0,129.4,0,0,32.5,9,3,22.9,11,3,30.7,9,3,24.6,11,3,27.6,15,3
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20070901,138,12,2,0,12,2,7,9,2,0,9,2,0,10,2,0,10,2,8,0,0,4,0,0,2,0,0,52.1,0,0,148.9,0,0,32.6,9,2,23.0,10,2,31.1,9,2,24.5,10,2,28.2,12,2
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20071001,109,9,2,0,9,2,8,11,4,0,11,4,0,13,3,0,13,3,10,0,0,6,0,0,4,0,0,51.8,0,0,247.2,0,0,33.7,11,4,22.6,13,3,31.6,11,4,24.6,13,3,28.2,9,2
GHCND:SNM00048698,SINGAPORE CHANGI INTERNATIONAL SN,6.7,1.35,103.994,20071101,142,11,2,0,11,2,7,5,2,0,5,2,0,9,2,0,9,2,16,0,0,9,0,0,5,0,0,60.2,0,0,310.4,0,0,33.5,5,2,22.1,9,2,30.9,5,2,23.6,9,2,27.1,11,2
