STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20070101,-9999,0,0,-9999,0,0,0,22,13,1,22,13,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,3.0,18,17,-9999,0,0,4.2,22,13,-9999,0,0,1.4,22,13,-9999,0,0,-9999,0,0
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20070201,-9999,0,0,-9999,0,0,0,9,4,0,9,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,9.8,9,4,-9999,0,0,7.4,9,4,-9999,0,0,-9999,0,0
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20070301,-9999,0,0,-9999,0,0,0,13,13,0,13,13,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,8.2,13,13,-9999,0,0,7.7,13,13,-9999,0,0,-9999,0,0
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20070401,0,2,2,13,2,2,0,13,3,0,13,3,0,2,2,1,2,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,25.2,13,3,-0.2,2,2,20.2,13,3,-0.2,2,2,5.4,2,2
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20070501,-9999,0,0,-9999,0,0,0,19,11,0,19,11,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,19.8,19,11,-9999,0,0,19.7,19,11,-9999,0,0,-9999,0,0
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20070601,-9999,0,0,-9999,0,0,0,24,12,0,24,12,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,31.7,24,12,-9999,0,0,27.1,24,12,-9999,0,0,-9999,0,0
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20070701,-9999,0,0,-9999,0,0,0,17,6,0,17,6,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.0,17,6,-9999,0,0,25.8,17,6,-9999,0,0,-9999,0,0
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20070801,-9999,0,0,-9999,0,0,0,8,3,0,8,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,29.9,8,3,-9999,0,0,27.2,8,3,-9999,0,0,-9999,0,0
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20070901,-9999,0,0,-9999,0,0,0,6,1,0,6,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,30.6,6,1,-9999,0,0,25.1,6,1,-9999,0,0,-9999,0,0
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20071001,-9999,0,0,-9999,0,0,0,6,2,0,6,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,21.0,6,2,-9999,0,0,15.9,6,2,-9999,0,0,-9999,0,0
GHCND:TI000038725,MADRUSKAT TI,2236,39.4,69.7,20071101,-9999,0,0,-9999,0,0,0,7,2,0,7,2,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,19.7,7,2,-9999,0,0,13.4,7,2,-9999,0,0,-9999,0,0
