Id:,7037
Estación:,FINCA CUXTEPEQUES-CHIS
Posición:,15.7286111111N -92.9827777778W
Variable:,Precipitación (mm)
Fecha Inicial:,05/01/1951
Fecha Final:,06/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
05,01,1951,null
05,02,1951,null
05,03,1951,null
05,04,1951,null
05,05,1951,null
05,06,1951,null
05,07,1951,null
05,08,1951,null
05,09,1951,null
05,10,1951,null
05,11,1951,null
05,12,1951,null
05,13,1951,null
05,14,1951,null
05,15,1951,null
05,16,1951,18.0
05,17,1951,3.0
05,18,1951,0.0
05,19,1951,0.0
05,20,1951,0.0
05,21,1951,0.0
05,22,1951,0.0
05,23,1951,0.0
05,24,1951,0.0
05,25,1951,0.0
05,26,1951,0.0
05,27,1951,17.0
05,28,1951,19.5
05,29,1951,18.5
05,30,1951,46.0
05,31,1951,43.0
06,01,1951,49.0
06,02,1951,9.0
06,03,1951,6.0
06,04,1951,16.0
06,05,1951,6.0
06,06,1951,3.0
06,07,1951,2.0
06,08,1951,3.5
06,09,1951,3.0
06,10,1951,4.5
06,11,1951,1.0
06,12,1951,0.0
06,13,1951,1.0
06,14,1951,0.5
06,15,1951,2.0
06,16,1951,0.0
06,17,1951,1.0
06,18,1951,3.0
06,19,1951,45.0
06,20,1951,8.0
06,21,1951,12.0
06,22,1951,20.0
06,23,1951,0.0
06,24,1951,43.0
06,25,1951,44.0
06,26,1951,25.0
06,27,1951,60.0
06,28,1951,54.0
06,29,1951,32.0
06,30,1951,24.0
07,01,1951,36.0
07,02,1951,27.0
07,03,1951,21.0
07,04,1951,25.0
07,05,1951,7.0
07,06,1951,1.5
07,07,1951,23.0
07,08,1951,12.0
07,09,1951,20.0
07,10,1951,5.0
07,11,1951,13.0
07,12,1951,8.0
07,13,1951,2.0
07,14,1951,0.0
07,15,1951,20.0
07,16,1951,15.0
07,17,1951,5.0
07,18,1951,7.0
07,19,1951,27.0
07,20,1951,6.0
07,21,1951,2.0
07,22,1951,4.0
07,23,1951,2.0
07,24,1951,24.0
07,25,1951,20.0
07,26,1951,2.0
07,27,1951,1.0
07,28,1951,14.0
07,29,1951,0.0
07,30,1951,9.0
07,31,1951,1.6
08,01,1951,40.0
08,02,1951,15.0
08,03,1951,20.0
08,04,1951,2.0
08,05,1951,41.0
08,06,1951,10.0
08,07,1951,5.0
08,08,1951,1.0
08,09,1951,3.0
08,10,1951,2.0
08,11,1951,2.0
08,12,1951,1.0
08,13,1951,1.0
08,14,1951,43.0
08,15,1951,122.0
08,16,1951,62.0
08,17,1951,0.0
08,18,1951,43.0
08,19,1951,0.0
08,20,1951,1.0
08,21,1951,0.0
08,22,1951,8.0
08,23,1951,7.0
08,24,1951,0.0
08,25,1951,0.0
08,26,1951,4.0
08,27,1951,1.0
08,28,1951,0.0
08,29,1951,0.0
08,30,1951,18.0
08,31,1951,2.0
09,01,1951,4.0
09,02,1951,38.0
09,03,1951,0.0
09,04,1951,69.0
09,05,1951,40.0
09,06,1951,48.0
09,07,1951,21.0
09,08,1951,23.0
