Id:,7157
Estación:,SANTO DOMINGO-CHIS
Posición:,15.0275N -92.1016666667W
Variable:,Precipitación (mm)
Fecha Inicial:,05/01/1944
Fecha Final:,07/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
05,01,1944,null
05,02,1944,null
05,03,1944,null
05,04,1944,null
05,05,1944,null
05,06,1944,null
05,07,1944,null
05,08,1944,null
05,09,1944,null
05,10,1944,null
05,11,1944,null
05,12,1944,null
05,13,1944,0.0
05,14,1944,3.1
05,15,1944,0.0
05,16,1944,0.0
05,17,1944,0.0
05,18,1944,2.1
05,19,1944,1.0
05,20,1944,0.5
05,21,1944,0.0
05,22,1944,0.4
05,23,1944,0.0
05,24,1944,0.0
05,25,1944,0.8
05,26,1944,0.6
05,27,1944,0.0
05,28,1944,63.1
05,29,1944,11.0
05,30,1944,1.7
05,31,1944,0.0
06,01,1944,0.4
06,02,1944,10.0
06,03,1944,3.3
06,04,1944,34.0
06,05,1944,49.0
06,06,1944,12.0
06,07,1944,72.0
06,08,1944,50.0
06,09,1944,19.0
06,10,1944,7.0
06,11,1944,0.0
06,12,1944,1.4
06,13,1944,0.0
06,14,1944,0.0
06,15,1944,0.5
06,16,1944,0.5
06,17,1944,0.7
06,18,1944,0.6
06,19,1944,42.0
06,20,1944,21.0
06,21,1944,39.0
06,22,1944,3.0
06,23,1944,6.1
06,24,1944,8.0
06,25,1944,3.2
06,26,1944,58.0
06,27,1944,34.0
06,28,1944,45.0
06,29,1944,55.0
06,30,1944,32.0
07,01,1944,10.0
07,02,1944,0.0
07,03,1944,8.0
07,04,1944,0.0
07,05,1944,10.0
07,06,1944,0.0
07,07,1944,12.0
07,08,1944,0.0
07,09,1944,20.0
07,10,1944,0.0
07,11,1944,0.0
07,12,1944,10.5
07,13,1944,0.0
07,14,1944,15.0
07,15,1944,0.0
07,16,1944,0.0
07,17,1944,5.0
07,18,1944,0.0
07,19,1944,0.0
07,20,1944,14.5
07,21,1944,0.0
07,22,1944,10.0
07,23,1944,0.0
07,24,1944,14.0
07,25,1944,15.0
07,26,1944,0.0
07,27,1944,12.0
07,28,1944,0.0
07,29,1944,13.0
07,30,1944,0.0
07,31,1944,0.0
08,01,1944,19.0
08,02,1944,3.0
08,03,1944,15.0
08,04,1944,3.0
08,05,1944,14.5
08,06,1944,32.5
08,07,1944,35.0
08,08,1944,15.0
08,09,1944,19.5
08,10,1944,15.5
08,11,1944,19.5
08,12,1944,19.0
08,13,1944,38.0
08,14,1944,18.5
08,15,1944,38.5
08,16,1944,20.5
08,17,1944,0.0
08,18,1944,12.0
08,19,1944,0.0
08,20,1944,0.0
08,21,1944,16.0
08,22,1944,42.5
08,23,1944,74.5
08,24,1944,31.5
08,25,1944,20.0
08,26,1944,19.5
08,27,1944,0.0
08,28,1944,16.5
08,29,1944,0.0
08,30,1944,12.0
08,31,1944,30.0
09,01,1944,19.5
09,02,1944,12.0
09,03,1944,19.5
09,04,1944,37.0
09,05,1944,37.5
09,06,1944,39.0
09,07,1944,39.0
09,08,1944,58.5
09,09,1944,38.0
09,10,1944,19.0
09,11,1944,38.0
09,12,1944,27.0
09,13,1944,38.0
09,14,1944,47.0
09,15,1944,19.0
09,16,1944,67.0
09,17,1944,19.0
09,18,1944,19.0
09,19,1944,11.5
09,20,1944,40.0
09,21,1944,60.0
09,22,1944,170.0
09,23,1944,160.0
09,24,1944,0.0
09,25,1944,6.5
09,26,1944,20.0
09,27,1944,10.0
09,28,1944,15.0
09,29,1944,15.0
09,30,1944,13.0
10,01,1944,10.0
10,02,1944,15.0
10,03,1944,0.0
10,04,1944,7.5
10,05,1944,0.0
10,06,1944,0.0
10,07,1944,0.0
10,08,1944,28.0
10,09,1944,57.0
10,10,1944,34.5
10,11,1944,74.0
10,12,1944,12.0
10,13,1944,15.0
10,14,1944,20.0
10,15,1944,10.0
10,16,1944,13.0
10,17,1944,0.0
10,18,1944,0.0
10,19,1944,7.0
10,20,1944,49.0
10,21,1944,6.0
10,22,1944,0.0
