Id:,6040
Estación:,COLIMA (DGE)-COL
Posición:,19.2166666667N -103.711666667W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1950
Fecha Final:,07/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1950,26.7
01,02,1950,25.7
01,03,1950,24.9
01,04,1950,23.25
01,05,1950,25.1
01,06,1950,24.8
01,07,1950,25.75
01,08,1950,24.1
01,09,1950,25.3
01,10,1950,24.0
01,11,1950,24.45
01,12,1950,24.6
01,13,1950,25.0
01,14,1950,23.55
01,15,1950,24.4
01,16,1950,23.6
01,17,1950,25.65
01,18,1950,24.75
01,19,1950,25.4
01,20,1950,25.5
01,21,1950,25.55
01,22,1950,24.3
01,23,1950,23.5
01,24,1950,23.85
01,25,1950,24.95
01,26,1950,24.3
01,27,1950,24.3
01,28,1950,24.2
01,29,1950,24.35
01,30,1950,24.8
01,31,1950,25.2
02,01,1950,null
02,02,1950,null
02,03,1950,null
02,04,1950,null
02,05,1950,null
02,06,1950,null
02,07,1950,null
02,08,1950,null
02,09,1950,null
02,10,1950,null
02,11,1950,null
02,12,1950,null
02,13,1950,null
02,14,1950,null
02,15,1950,null
02,16,1950,null
02,17,1950,null
02,18,1950,null
02,19,1950,null
02,20,1950,null
02,21,1950,null
02,22,1950,null
02,23,1950,null
02,24,1950,null
02,25,1950,null
02,26,1950,null
02,27,1950,null
02,28,1950,null
03,01,1950,26.5
03,02,1950,25.1
03,03,1950,25.1
03,04,1950,24.2
03,05,1950,23.45
03,06,1950,24.2
03,07,1950,24.0
03,08,1950,25.15
03,09,1950,25.15
03,10,1950,24.7
03,11,1950,25.4
03,12,1950,26.1
03,13,1950,26.0
03,14,1950,26.3
03,15,1950,26.55
03,16,1950,25.25
03,17,1950,25.35
03,18,1950,24.2
03,19,1950,22.7
03,20,1950,23.55
03,21,1950,23.25
03,22,1950,24.35
03,23,1950,25.45
03,24,1950,25.0
03,25,1950,26.85
03,26,1950,25.25
03,27,1950,25.2
03,28,1950,24.4
03,29,1950,26.35
03,30,1950,26.7
03,31,1950,26.85
04,01,1950,25.85
04,02,1950,25.95
04,03,1950,24.65
04,04,1950,24.75
04,05,1950,24.8
04,06,1950,27.4
04,07,1950,27.65
04,08,1950,26.8
04,09,1950,26.1
04,10,1950,26.35
04,11,1950,26.75
04,12,1950,26.45
04,13,1950,28.1
04,14,1950,28.15
04,15,1950,26.8
04,16,1950,26.4
04,17,1950,26.25
04,18,1950,27.0
04,19,1950,26.15
04,20,1950,27.85
04,21,1950,27.75
04,22,1950,27.05
04,23,1950,26.61
04,24,1950,27.95
04,25,1950,26.05
04,26,1950,27.0
04,27,1950,26.9
04,28,1950,26.65
04,29,1950,25.9
04,30,1950,null
05,01,1950,26.2
05,02,1950,26.05
05,03,1950,26.75
05,04,1950,26.45
05,05,1950,26.95
05,06,1950,27.0
05,07,1950,26.65
05,08,1950,26.75
05,09,1950,26.65
05,10,1950,26.65
05,11,1950,26.0
