Id:,11038
Estación:,MOGOTES-GTO
Posición:,20.42N -101.288055556W
Variable:,Temp Promedio (oC)
Fecha Inicial:,12/01/2011
Fecha Final:,04/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
12,01,2011,13.0
12,02,2011,13.75
12,03,2011,13.75
12,04,2011,13.5
12,05,2011,14.5
12,06,2011,14.75
12,07,2011,14.75
12,08,2011,16.75
12,09,2011,16.25
12,10,2011,16.5
12,11,2011,15.5
12,12,2011,15.25
12,13,2011,15.25
12,14,2011,14.75
12,15,2011,15.75
12,16,2011,16.25
12,17,2011,15.5
12,18,2011,16.5
12,19,2011,16.5
12,20,2011,16.25
12,21,2011,16.75
12,22,2011,15.75
12,23,2011,15.75
12,24,2011,15.75
12,25,2011,14.75
12,26,2011,14.0
12,27,2011,14.5
12,28,2011,15.25
12,29,2011,16.25
12,30,2011,16.25
12,31,2011,16.25
01,01,2012,17.5
01,02,2012,16.75
01,03,2012,12.75
01,04,2012,12.75
01,05,2012,13.0
01,06,2012,14.0
01,07,2012,12.75
01,08,2012,14.25
01,09,2012,13.75
01,10,2012,14.25
01,11,2012,15.25
01,12,2012,14.75
01,13,2012,15.5
01,14,2012,15.5
01,15,2012,15.5
01,16,2012,16.5
01,17,2012,16.0
01,18,2012,16.0
01,19,2012,17.25
01,20,2012,17.5
01,21,2012,16.0
01,22,2012,17.0
01,23,2012,17.25
01,24,2012,16.5
01,25,2012,15.0
01,26,2012,15.25
01,27,2012,13.5
01,28,2012,13.75
01,29,2012,14.75
01,30,2012,15.25
01,31,2012,14.0
02,01,2012,14.75
02,02,2012,15.0
02,03,2012,15.5
02,04,2012,15.0
02,05,2012,16.0
02,06,2012,16.5
02,07,2012,16.25
02,08,2012,12.0
02,09,2012,13.0
02,10,2012,13.25
02,11,2012,12.75
02,12,2012,13.25
02,13,2012,13.5
02,14,2012,15.5
02,15,2012,17.0
02,16,2012,15.5
02,17,2012,17.25
02,18,2012,17.25
02,19,2012,17.5
02,20,2012,17.75
02,21,2012,16.0
02,22,2012,16.25
02,23,2012,20.0
02,24,2012,18.25
02,25,2012,17.5
02,26,2012,19.25
02,27,2012,19.0
