Id:,14112
Estación:,PRESA TROJES-JAL
Posición:,18.9672222222N -103.389722222W
Variable:,Temp Promedio (oC)
Fecha Inicial:,10/01/2007
Fecha Final:,05/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
10,01,2007,29.0
10,02,2007,27.5
10,03,2007,27.25
10,04,2007,25.0
10,05,2007,26.5
10,06,2007,26.5
10,07,2007,26.75
10,08,2007,27.5
10,09,2007,28.5
10,10,2007,27.5
10,11,2007,28.75
10,12,2007,29.0
10,13,2007,28.25
10,14,2007,29.0
10,15,2007,29.5
10,16,2007,28.5
10,17,2007,29.0
10,18,2007,28.0
10,19,2007,24.25
10,20,2007,26.5
10,21,2007,26.25
10,22,2007,27.0
10,23,2007,25.25
10,24,2007,21.75
10,25,2007,24.5
10,26,2007,24.75
10,27,2007,25.35
10,28,2007,25.6
10,29,2007,25.25
10,30,2007,25.75
10,31,2007,25.75
11,01,2007,25.5
11,02,2007,26.25
11,03,2007,27.5
11,04,2007,28.25
11,05,2007,29.5
11,06,2007,26.75
11,07,2007,25.5
11,08,2007,26.0
11,09,2007,25.75
11,10,2007,26.0
11,11,2007,25.75
11,12,2007,26.25
11,13,2007,26.25
11,14,2007,26.75
11,15,2007,26.0
11,16,2007,27.0
11,17,2007,26.0
11,18,2007,27.25
11,19,2007,24.5
11,20,2007,25.25
11,21,2007,27.0
11,22,2007,26.25
11,23,2007,26.0
11,24,2007,25.75
11,25,2007,25.75
11,26,2007,24.0
11,27,2007,25.75
11,28,2007,26.75
11,29,2007,25.0
11,30,2007,26.5
12,01,2007,27.25
12,02,2007,26.75
12,03,2007,26.5
12,04,2007,26.5
12,05,2007,24.25
12,06,2007,24.0
12,07,2007,24.5
12,08,2007,25.0
12,09,2007,25.0
12,10,2007,25.75
12,11,2007,23.5
12,12,2007,23.5
12,13,2007,24.5
12,14,2007,24.25
12,15,2007,24.25
12,16,2007,24.0
12,17,2007,25.0
12,18,2007,25.5
12,19,2007,25.0
12,20,2007,24.75
12,21,2007,26.25
12,22,2007,26.25
12,23,2007,24.0
12,24,2007,26.0
12,25,2007,22.25
12,26,2007,24.25
12,27,2007,24.0
12,28,2007,24.5
12,29,2007,23.75
12,30,2007,25.25
12,31,2007,25.5
01,01,2008,26.5
01,02,2008,24.5
01,03,2008,24.0
01,04,2008,21.25
01,05,2008,22.5
01,06,2008,24.0
01,07,2008,23.75
01,08,2008,23.5
01,09,2008,22.75
01,10,2008,22.25
01,11,2008,22.25
01,12,2008,21.25
01,13,2008,20.9
01,14,2008,22.0
01,15,2008,22.75
01,16,2008,22.5
01,17,2008,21.25
01,18,2008,22.5
01,19,2008,24.0
01,20,2008,23.0
01,21,2008,23.75
01,22,2008,24.5
01,23,2008,24.5
01,24,2008,24.0
01,25,2008,25.0
01,26,2008,26.0
01,27,2008,25.0
01,28,2008,24.25
01,29,2008,25.25
01,30,2008,24.75
01,31,2008,24.5
02,01,2008,24.0
02,02,2008,25.25
02,03,2008,23.0
02,04,2008,24.25
02,05,2008,23.75
02,06,2008,23.5
02,07,2008,23.5
02,08,2008,23.75
02,09,2008,24.0
02,10,2008,24.75
02,11,2008,25.25
02,12,2008,24.0
02,13,2008,24.25
02,14,2008,23.0
02,15,2008,23.5
02,16,2008,21.25
02,17,2008,22.25
02,18,2008,21.5
02,19,2008,22.5
02,20,2008,22.0
02,21,2008,23.5
02,22,2008,21.0
02,23,2008,23.25
02,24,2008,24.0
02,25,2008,24.5
02,26,2008,23.5
02,27,2008,22.25
02,28,2008,23.5
02,29,2008,24.25
03,01,2008,25.25
03,02,2008,23.0
03,03,2008,24.0
03,04,2008,22.25
03,05,2008,23.0
03,06,2008,23.5
03,07,2008,22.65
03,08,2008,21.0
03,09,2008,21.75
03,10,2008,24.0
03,11,2008,25.75
03,12,2008,25.25
03,13,2008,24.75
03,14,2008,23.5
03,15,2008,23.0
03,16,2008,23.5
03,17,2008,23.5
03,18,2008,23.0
03,19,2008,24.0
03,20,2008,24.25
03,21,2008,26.0
03,22,2008,27.0
03,23,2008,27.0
03,24,2008,25.25
03,25,2008,25.25
03,26,2008,27.0
03,27,2008,26.5
03,28,2008,26.5
03,29,2008,25.5
03,30,2008,25.5
03,31,2008,25.0
04,01,2008,24.25
04,02,2008,24.25
04,03,2008,26.0
04,04,2008,26.0
04,05,2008,26.5
04,06,2008,28.0
04,07,2008,26.75
04,08,2008,26.25
04,09,2008,27.0
04,10,2008,25.75
04,11,2008,26.5
04,12,2008,25.75
04,13,2008,26.75
04,14,2008,29.5
04,15,2008,28.75
04,16,2008,29.5
04,17,2008,25.5
04,18,2008,25.5
04,19,2008,25.75
04,20,2008,27.25
04,21,2008,27.5
04,22,2008,27.0
04,23,2008,28.0
04,24,2008,28.5
04,25,2008,27.5
04,26,2008,26.5
04,27,2008,26.75
04,28,2008,28.0
04,29,2008,25.5
04,30,2008,28.0
05,01,2008,26.0
05,02,2008,25.75
05,03,2008,25.5
05,04,2008,25.5
05,05,2008,27.5
05,06,2008,28.75
05,07,2008,29.25
05,08,2008,29.25
05,09,2008,28.75
05,10,2008,28.25
05,11,2008,28.75
05,12,2008,27.5
05,13,2008,28.5
05,14,2008,28.0
05,15,2008,28.5
05,16,2008,29.5
05,17,2008,28.25
05,18,2008,28.75
05,19,2008,28.25
05,20,2008,28.25
05,21,2008,28.0
05,22,2008,26.0
05,23,2008,26.5
05,24,2008,26.5
05,25,2008,26.5
05,26,2008,27.5
05,27,2008,27.5
05,28,2008,28.75
05,29,2008,30.0
05,30,2008,29.0
05,31,2008,27.0
06,01,2008,28.75
06,02,2008,28.0
06,03,2008,26.75
06,04,2008,27.5
06,05,2008,28.75
06,06,2008,28.5
06,07,2008,29.0
06,08,2008,29.5
06,09,2008,28.0
06,10,2008,23.5
06,11,2008,26.5
06,12,2008,27.0
06,13,2008,27.25
06,14,2008,29.0
06,15,2008,29.0
06,16,2008,28.75
06,17,2008,28.5
06,18,2008,29.0
06,19,2008,29.0
06,20,2008,29.0
06,21,2008,30.0
06,22,2008,28.25
06,23,2008,28.5
06,24,2008,29.5
06,25,2008,28.5
06,26,2008,28.75
06,27,2008,28.0
06,28,2008,28.5
06,29,2008,26.5
06,30,2008,28.0
07,01,2008,25.5
07,02,2008,27.0
07,03,2008,27.25
07,04,2008,29.0
07,05,2008,29.5
07,06,2008,26.0
07,07,2008,25.5
07,08,2008,25.25
07,09,2008,25.0
07,10,2008,26.25
07,11,2008,25.0
07,12,2008,27.75
07,13,2008,27.25
07,14,2008,28.0
07,15,2008,27.5
07,16,2008,28.0
07,17,2008,28.0
07,18,2008,26.5
07,19,2008,27.0
07,20,2008,27.5
07,21,2008,27.25
07,22,2008,28.5
07,23,2008,28.25
07,24,2008,27.75
07,25,2008,25.5
07,26,2008,26.25
07,27,2008,26.5
07,28,2008,26.75
07,29,2008,27.0
07,30,2008,25.5
07,31,2008,27.0
08,01,2008,26.5
08,02,2008,27.0
08,03,2008,28.0
08,04,2008,28.0
08,05,2008,28.0
08,06,2008,28.5
08,07,2008,25.5
08,08,2008,26.0
08,09,2008,27.5
08,10,2008,27.5
08,11,2008,25.5
08,12,2008,26.0
08,13,2008,26.75
08,14,2008,27.5
08,15,2008,27.0
08,16,2008,26.5
08,17,2008,28.0
08,18,2008,28.0
08,19,2008,28.5
08,20,2008,26.5
08,21,2008,27.25
08,22,2008,26.0
08,23,2008,27.0
08,24,2008,27.5
08,25,2008,27.5
08,26,2008,26.5
08,27,2008,28.0
08,28,2008,26.6
08,29,2008,26.75
08,30,2008,29.75
08,31,2008,28.75
09,01,2008,28.0
09,02,2008,27.5
09,03,2008,26.5
09,04,2008,28.75
09,05,2008,27.5
09,06,2008,28.5
09,07,2008,27.5
09,08,2008,26.5
09,09,2008,26.5
09,10,2008,26.0
09,11,2008,27.0
09,12,2008,27.0
09,13,2008,28.25
09,14,2008,26.0
09,15,2008,24.5
09,16,2008,25.5
09,17,2008,27.0
09,18,2008,27.25
09,19,2008,26.75
09,20,2008,27.25
09,21,2008,27.75
09,22,2008,27.0
09,23,2008,28.0
09,24,2008,27.0
09,25,2008,27.5
09,26,2008,28.0
09,27,2008,27.75
09,28,2008,26.75
09,29,2008,27.0
09,30,2008,27.75
10,01,2008,27.75
10,02,2008,27.0
10,03,2008,26.75
10,04,2008,28.0
10,05,2008,27.5
10,06,2008,27.0
10,07,2008,27.5
10,08,2008,27.5
10,09,2008,27.0
10,10,2008,26.0
10,11,2008,23.75
10,12,2008,26.0
10,13,2008,27.0
10,14,2008,26.25
10,15,2008,26.25
10,16,2008,27.0
10,17,2008,28.0
10,18,2008,28.5
10,19,2008,29.25
10,20,2008,28.25
10,21,2008,28.0
10,22,2008,27.5
10,23,2008,25.5
10,24,2008,26.5
10,25,2008,26.25
10,26,2008,26.25
10,27,2008,25.5
10,28,2008,25.75
10,29,2008,23.0
10,30,2008,25.5
10,31,2008,27.5
11,01,2008,27.0
11,02,2008,26.5
11,03,2008,26.25
11,04,2008,26.5
11,05,2008,26.5
11,06,2008,26.75
11,07,2008,26.75
11,08,2008,26.5
11,09,2008,26.25
11,10,2008,25.5
11,11,2008,25.0
11,12,2008,24.5
11,13,2008,24.5
11,14,2008,24.0
11,15,2008,24.0
11,16,2008,25.5
11,17,2008,25.75
11,18,2008,24.5
11,19,2008,23.25
11,20,2008,24.5
11,21,2008,24.25
11,22,2008,24.75
11,23,2008,25.5
11,24,2008,25.75
11,25,2008,26.5
11,26,2008,25.5
11,27,2008,25.25
11,28,2008,25.25
11,29,2008,26.0
11,30,2008,24.25
12,01,2008,23.0
12,02,2008,23.0
12,03,2008,23.5
12,04,2008,22.5
12,05,2008,23.5
12,06,2008,23.5
12,07,2008,23.0
12,08,2008,22.75
