Id:,15126
Estación:,TOLUCA (OBS)-MEX
Posición:,19.2911111111N -99.7116666667W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1968
Fecha Final:,01/01/2010
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1968,9.95
01,02,1968,11.25
01,03,1968,11.85
01,04,1968,10.6
01,05,1968,9.85
01,06,1968,10.75
01,07,1968,10.0
01,08,1968,8.75
01,09,1968,7.9
01,10,1968,8.65
01,11,1968,9.1
01,12,1968,9.75
01,13,1968,8.75
01,14,1968,8.6
01,15,1968,8.75
01,16,1968,8.0
01,17,1968,7.1
01,18,1968,7.75
01,19,1968,8.0
01,20,1968,9.1
01,21,1968,8.25
01,22,1968,9.0
01,23,1968,7.5
01,24,1968,8.5
01,25,1968,8.25
01,26,1968,8.85
01,27,1968,9.1
01,28,1968,10.75
01,29,1968,11.25
01,30,1968,11.55
01,31,1968,11.6
02,01,1968,11.35
02,02,1968,8.75
02,03,1968,9.4
02,04,1968,8.95
02,05,1968,8.25
02,06,1968,6.6
02,07,1968,4.75
02,08,1968,6.5
02,09,1968,6.5
02,10,1968,9.0
02,11,1968,9.15
02,12,1968,9.0
02,13,1968,8.85
02,14,1968,9.4
02,15,1968,9.0
02,16,1968,10.0
02,17,1968,8.9
02,18,1968,7.0
02,19,1968,8.1
02,20,1968,9.75
02,21,1968,8.75
02,22,1968,9.5
02,23,1968,10.35
02,24,1968,10.4
02,25,1968,12.2
02,26,1968,12.0
02,27,1968,11.8
02,28,1968,12.55
02,29,1968,10.9
03,01,1968,10.25
03,02,1968,9.5
03,03,1968,9.25
03,04,1968,10.5
03,05,1968,8.25
03,06,1968,9.9
03,07,1968,9.25
03,08,1968,10.05
03,09,1968,12.2
03,10,1968,11.4
03,11,1968,9.5
03,12,1968,11.0
03,13,1968,7.75
03,14,1968,10.9
03,15,1968,12.5
03,16,1968,12.6
03,17,1968,12.7
03,18,1968,12.25
03,19,1968,12.75
03,20,1968,11.9
03,21,1968,11.8
03,22,1968,12.0
03,23,1968,11.25
03,24,1968,12.25
03,25,1968,12.45
03,26,1968,13.45
03,27,1968,13.4
03,28,1968,13.75
03,29,1968,14.25
03,30,1968,13.75
03,31,1968,13.5
04,01,1968,13.55
04,02,1968,13.45
04,03,1968,12.65
04,04,1968,13.35
04,05,1968,14.0
04,06,1968,13.0
04,07,1968,11.35
04,08,1968,11.75
04,09,1968,11.85
04,10,1968,11.85
04,11,1968,12.25
04,12,1968,12.85
04,13,1968,12.4
04,14,1968,15.25
04,15,1968,14.5
04,16,1968,15.25
04,17,1968,15.35
04,18,1968,15.25
04,19,1968,14.5
04,20,1968,15.0
04,21,1968,15.0
04,22,1968,14.75
04,23,1968,14.25
04,24,1968,13.9
04,25,1968,12.9
04,26,1968,13.55
04,27,1968,13.1
04,28,1968,14.15
04,29,1968,13.85
04,30,1968,12.9
05,01,1968,12.0
05,02,1968,13.5
05,03,1968,14.1
05,04,1968,15.5
05,05,1968,15.85
05,06,1968,15.9
05,07,1968,15.75
05,08,1968,13.75
05,09,1968,17.25
05,10,1968,12.75
05,11,1968,13.35
05,12,1968,12.85
05,13,1968,14.1
05,14,1968,15.35
05,15,1968,15.95
05,16,1968,15.55
05,17,1968,15.55
05,18,1968,14.0
05,19,1968,13.3
05,20,1968,13.25
05,21,1968,14.0
05,22,1968,13.35
05,23,1968,11.9
05,24,1968,14.2
05,25,1968,14.6
05,26,1968,14.7
05,27,1968,14.8
05,28,1968,15.5
05,29,1968,14.45
05,30,1968,15.0
05,31,1968,15.6
06,01,1968,15.5
06,02,1968,15.65
06,03,1968,14.75
06,04,1968,15.0
06,05,1968,14.2
06,06,1968,15.05
06,07,1968,15.35
06,08,1968,15.5
06,09,1968,16.4
06,10,1968,15.85
06,11,1968,14.75
06,12,1968,13.4
06,13,1968,13.9
06,14,1968,14.45
06,15,1968,15.5
06,16,1968,15.7
06,17,1968,15.7
06,18,1968,16.2
06,19,1968,14.15
06,20,1968,12.35
06,21,1968,12.7
06,22,1968,12.15
06,23,1968,13.55
06,24,1968,12.7
06,25,1968,12.15
06,26,1968,12.3
06,27,1968,12.9
06,28,1968,12.8
06,29,1968,12.35
06,30,1968,13.55
07,01,1968,13.2
07,02,1968,13.5
07,03,1968,12.85
07,04,1968,13.5
07,05,1968,12.7
07,06,1968,13.05
07,07,1968,13.35
07,08,1968,13.65
07,09,1968,14.85
07,10,1968,13.55
07,11,1968,13.75
07,12,1968,12.75
07,13,1968,12.3
07,14,1968,12.5
07,15,1968,13.0
07,16,1968,11.8
07,17,1968,12.65
07,18,1968,13.35
07,19,1968,13.25
07,20,1968,13.1
07,21,1968,12.1
07,22,1968,14.05
07,23,1968,12.8
07,24,1968,12.85
07,25,1968,12.5
07,26,1968,12.75
07,27,1968,12.35
07,28,1968,12.25
07,29,1968,12.05
07,30,1968,12.6
07,31,1968,12.8
08,01,1968,11.85
08,02,1968,12.75
08,03,1968,13.45
08,04,1968,12.85
08,05,1968,13.3
08,06,1968,11.9
08,07,1968,13.35
08,08,1968,12.7
08,09,1968,12.35
08,10,1968,13.8
08,11,1968,14.25
08,12,1968,15.6
08,13,1968,14.5
08,14,1968,13.55
08,15,1968,13.5
08,16,1968,11.85
08,17,1968,13.05
08,18,1968,13.1
08,19,1968,12.65
08,20,1968,13.25
08,21,1968,12.25
08,22,1968,12.1
08,23,1968,12.3
08,24,1968,12.8
08,25,1968,12.85
08,26,1968,13.55
08,27,1968,14.25
08,28,1968,13.4
08,29,1968,13.3
08,30,1968,13.75
08,31,1968,12.4
09,01,1968,12.4
