Id:,15158
Estación:,SAN PEDRO DE LOS BAÑOS-MEX
Posición:,19.6691666667N -99.8302777778W
Variable:,Temp Promedio (oC)
Fecha Inicial:,09/01/1965
Fecha Final:,09/01/2008
No Dato:,nan
Mes,Día,Anio,Datos
09,01,1965,null
09,02,1965,null
09,03,1965,null
09,04,1965,null
09,05,1965,null
09,06,1965,null
09,07,1965,null
09,08,1965,null
09,09,1965,13.5
09,10,1965,13.0
09,11,1965,13.5
09,12,1965,12.0
09,13,1965,12.0
09,14,1965,14.0
09,15,1965,11.5
09,16,1965,15.5
09,17,1965,16.5
09,18,1965,14.5
09,19,1965,10.5
09,20,1965,13.5
09,21,1965,14.0
09,22,1965,14.0
09,23,1965,13.0
09,24,1965,13.0
09,25,1965,14.0
09,26,1965,13.0
09,27,1965,14.5
09,28,1965,14.5
09,29,1965,13.5
09,30,1965,13.0
10,01,1965,13.0
10,02,1965,11.5
10,03,1965,14.0
10,04,1965,13.0
10,05,1965,12.5
10,06,1965,12.5
10,07,1965,13.5
10,08,1965,15.5
10,09,1965,15.0
10,10,1965,16.0
10,11,1965,16.0
10,12,1965,13.5
10,13,1965,12.5
10,14,1965,14.0
10,15,1965,14.5
10,16,1965,15.0
10,17,1965,17.0
10,18,1965,15.0
10,19,1965,15.5
10,20,1965,13.5
10,21,1965,12.0
10,22,1965,12.5
10,23,1965,14.0
10,24,1965,14.5
10,25,1965,13.0
10,26,1965,13.5
10,27,1965,12.0
10,28,1965,10.5
10,29,1965,13.0
10,30,1965,11.5
10,31,1965,11.5
11,01,1965,12.0
11,02,1965,11.5
11,03,1965,12.0
11,04,1965,12.5
11,05,1965,11.25
11,06,1965,12.5
11,07,1965,12.5
11,08,1965,13.0
11,09,1965,12.25
11,10,1965,12.0
11,11,1965,10.5
11,12,1965,9.5
11,13,1965,10.75
11,14,1965,8.0
11,15,1965,10.0
11,16,1965,8.0
11,17,1965,10.5
11,18,1965,10.5
11,19,1965,11.5
11,20,1965,10.5
11,21,1965,7.75
11,22,1965,8.95
11,23,1965,9.5
11,24,1965,9.5
11,25,1965,7.5
11,26,1965,7.25
11,27,1965,6.5
11,28,1965,9.0
11,29,1965,8.5
11,30,1965,8.5
12,01,1965,12.0
12,02,1965,12.0
12,03,1965,12.0
12,04,1965,10.5
12,05,1965,11.0
12,06,1965,11.0
12,07,1965,11.0
12,08,1965,6.5
12,09,1965,11.0
12,10,1965,12.0
12,11,1965,9.0
12,12,1965,13.5
12,13,1965,13.5
12,14,1965,12.5
12,15,1965,9.5
12,16,1965,12.0
12,17,1965,10.5
12,18,1965,9.0
12,19,1965,8.75
12,20,1965,8.75
12,21,1965,9.75
12,22,1965,9.25
12,23,1965,11.0
12,24,1965,11.0
12,25,1965,12.0
12,26,1965,10.0
12,27,1965,12.75
12,28,1965,9.5
12,29,1965,11.5
12,30,1965,11.25
12,31,1965,9.0
01,01,1966,8.5
01,02,1966,12.0
01,03,1966,9.5
01,04,1966,10.5
01,05,1966,10.5
01,06,1966,8.0
01,07,1966,9.5
01,08,1966,8.5
01,09,1966,6.5
01,10,1966,null
01,11,1966,null
01,12,1966,null
01,13,1966,9.0
01,14,1966,10.5
01,15,1966,11.5
01,16,1966,8.5
01,17,1966,12.5
01,18,1966,12.0
01,19,1966,9.5
01,20,1966,8.0
01,21,1966,12.5
01,22,1966,10.5
01,23,1966,10.0
01,24,1966,11.0
01,25,1966,8.5
01,26,1966,10.0
01,27,1966,10.5
01,28,1966,9.0
01,29,1966,11.5
01,30,1966,9.0
01,31,1966,8.0
02,01,1966,5.0
02,02,1966,11.0
02,03,1966,7.5
02,04,1966,5.5
02,05,1966,5.0
02,06,1966,8.0
02,07,1966,4.5
02,08,1966,5.75
02,09,1966,9.75
02,10,1966,7.75
02,11,1966,8.5
02,12,1966,9.0
02,13,1966,9.0
02,14,1966,12.0
02,15,1966,11.5
02,16,1966,10.0
02,17,1966,8.75
02,18,1966,11.75
02,19,1966,11.5
02,20,1966,10.0
02,21,1966,9.0
02,22,1966,10.0
02,23,1966,9.5
02,24,1966,9.0
02,25,1966,10.0
02,26,1966,8.0
02,27,1966,12.0
02,28,1966,12.0
03,01,1966,null
03,02,1966,null
03,03,1966,null
03,04,1966,null
03,05,1966,null
03,06,1966,8.0
03,07,1966,13.0
03,08,1966,10.5
03,09,1966,8.5
03,10,1966,7.75
03,11,1966,7.5
03,12,1966,6.5
03,13,1966,9.5
03,14,1966,6.5
03,15,1966,6.25
03,16,1966,8.0
03,17,1966,9.0
03,18,1966,9.25
03,19,1966,8.75
03,20,1966,3.0
03,21,1966,8.0
03,22,1966,5.5
03,23,1966,9.5
03,24,1966,7.5
03,25,1966,12.0
03,26,1966,8.75
03,27,1966,9.75
03,28,1966,14.0
03,29,1966,13.5
03,30,1966,13.0
03,31,1966,12.5
04,01,1966,14.0
04,02,1966,13.5
04,03,1966,11.5
04,04,1966,12.5
04,05,1966,13.0
04,06,1966,13.5
04,07,1966,14.0
04,08,1966,14.0
04,09,1966,13.5
04,10,1966,15.0
04,11,1966,13.5
04,12,1966,16.0
04,13,1966,16.5
04,14,1966,16.25
04,15,1966,14.75
04,16,1966,14.5
04,17,1966,13.0
04,18,1966,14.0
04,19,1966,13.5
04,20,1966,null
04,21,1966,null
04,22,1966,null
04,23,1966,null
04,24,1966,null
04,25,1966,null
04,26,1966,null
04,27,1966,null
04,28,1966,null
04,29,1966,null
04,30,1966,null
05,01,1966,18.0
05,02,1966,16.0
05,03,1966,13.5
05,04,1966,14.0
05,05,1966,14.0
05,06,1966,14.5
05,07,1966,16.0
05,08,1966,14.5
05,09,1966,16.5
05,10,1966,16.5
05,11,1966,17.5
05,12,1966,18.5
05,13,1966,19.0
05,14,1966,20.0
05,15,1966,19.75
05,16,1966,17.0
05,17,1966,null
05,18,1966,null
05,19,1966,null
05,20,1966,null
05,21,1966,null
05,22,1966,null
05,23,1966,null
05,24,1966,null
05,25,1966,null
05,26,1966,null
05,27,1966,null
05,28,1966,null
05,29,1966,null
05,30,1966,null
05,31,1966,null
06,01,1966,17.5
06,02,1966,18.5
06,03,1966,17.75
06,04,1966,18.75
06,05,1966,18.0
06,06,1966,19.0
06,07,1966,18.5
06,08,1966,18.25
06,09,1966,17.0
06,10,1966,16.5
06,11,1966,14.0
06,12,1966,14.5
06,13,1966,14.25
06,14,1966,16.0
06,15,1966,15.5
06,16,1966,13.5
06,17,1966,14.25
06,18,1966,13.0
06,19,1966,12.0
06,20,1966,13.5
06,21,1966,14.0
06,22,1966,12.5
06,23,1966,12.5
06,24,1966,13.75
06,25,1966,14.5
06,26,1966,12.0
06,27,1966,12.5
06,28,1966,14.5
06,29,1966,14.5
06,30,1966,15.0
07,01,1966,15.5
07,02,1966,15.0
07,03,1966,12.5
07,04,1966,13.0
07,05,1966,15.0
07,06,1966,14.5
07,07,1966,13.5
07,08,1966,14.5
07,09,1966,13.25
07,10,1966,13.5
07,11,1966,14.0
07,12,1966,12.5
07,13,1966,14.5
07,14,1966,14.0
07,15,1966,14.25
07,16,1966,14.75
07,17,1966,14.5
07,18,1966,17.0
07,19,1966,13.0
07,20,1966,15.0
07,21,1966,12.5
07,22,1966,13.0
07,23,1966,12.5
07,24,1966,14.5
07,25,1966,14.5
07,26,1966,14.0
07,27,1966,14.5
07,28,1966,14.5
07,29,1966,15.0
07,30,1966,14.5
07,31,1966,13.5
08,01,1966,14.5
08,02,1966,14.5
08,03,1966,13.5
08,04,1966,13.5
08,05,1966,15.5
08,06,1966,16.0
08,07,1966,14.75
08,08,1966,14.25
08,09,1966,14.5
08,10,1966,14.5
08,11,1966,15.0
08,12,1966,13.0
08,13,1966,15.0
08,14,1966,13.5
08,15,1966,13.0
08,16,1966,14.0
08,17,1966,14.0
08,18,1966,14.0
08,19,1966,14.5
08,20,1966,13.5
08,21,1966,14.5
08,22,1966,13.5
08,23,1966,12.5
08,24,1966,12.5
08,25,1966,11.5
08,26,1966,10.0
08,27,1966,13.0
08,28,1966,12.2
08,29,1966,14.0
08,30,1966,14.0
08,31,1966,13.5
09,01,1966,12.5
09,02,1966,14.0
09,03,1966,13.75
09,04,1966,13.75
09,05,1966,13.5
09,06,1966,14.5
09,07,1966,12.5
09,08,1966,11.5
09,09,1966,12.5
09,10,1966,13.5
09,11,1966,13.0
09,12,1966,14.0
09,13,1966,13.0
09,14,1966,14.5
09,15,1966,14.0
09,16,1966,13.0
09,17,1966,13.75
09,18,1966,14.5
09,19,1966,14.5
09,20,1966,13.0
09,21,1966,14.5
09,22,1966,10.0
09,23,1966,10.5
09,24,1966,12.5
09,25,1966,13.5
09,26,1966,14.0
09,27,1966,14.0
09,28,1966,13.5
09,29,1966,15.5
09,30,1966,15.5
10,01,1966,14.0
10,02,1966,15.0
10,03,1966,13.5
10,04,1966,14.5
10,05,1966,15.5
10,06,1966,14.5
10,07,1966,15.0
10,08,1966,14.5
10,09,1966,14.5
10,10,1966,12.5
10,11,1966,13.0
10,12,1966,13.0
10,13,1966,15.0
10,14,1966,14.0
10,15,1966,12.0
10,16,1966,13.5
10,17,1966,15.0
10,18,1966,13.5
10,19,1966,9.0
10,20,1966,9.5
10,21,1966,12.0
10,22,1966,12.0
10,23,1966,14.5
10,24,1966,13.5
10,25,1966,11.0
10,26,1966,10.5
10,27,1966,11.0
10,28,1966,11.5
10,29,1966,10.55
10,30,1966,12.0
10,31,1966,10.0
11,01,1966,9.0
11,02,1966,9.0
11,03,1966,5.5
11,04,1966,8.5
11,05,1966,8.5
11,06,1966,8.0
11,07,1966,7.5
11,08,1966,12.75
11,09,1966,14.0
11,10,1966,14.0
11,11,1966,13.0
11,12,1966,14.0
11,13,1966,14.0
11,14,1966,13.5
11,15,1966,11.5
11,16,1966,11.5
11,17,1966,7.5
11,18,1966,7.0
11,19,1966,10.0
11,20,1966,12.0
11,21,1966,8.0
11,22,1966,9.0
11,23,1966,7.5
11,24,1966,9.0
11,25,1966,8.5
11,26,1966,8.0
11,27,1966,10.3
11,28,1966,11.5
11,29,1966,10.25
11,30,1966,9.7
12,01,1966,8.0
12,02,1966,7.5
12,03,1966,8.0
12,04,1966,8.5
12,05,1966,9.0
12,06,1966,8.0
12,07,1966,8.0
12,08,1966,8.5
12,09,1966,6.0
12,10,1966,6.5
12,11,1966,9.0
12,12,1966,7.5
12,13,1966,7.0
12,14,1966,6.0
12,15,1966,7.0
12,16,1966,2.5
12,17,1966,13.5
12,18,1966,8.85
12,19,1966,7.5
12,20,1966,9.0
12,21,1966,8.5
12,22,1966,11.5
12,23,1966,9.0
12,24,1966,6.0
12,25,1966,12.0
12,26,1966,8.0
12,27,1966,9.5
12,28,1966,10.5
12,29,1966,7.0
12,30,1966,7.0
12,31,1966,11.0
01,01,1967,9.5
01,02,1967,8.5
01,03,1967,9.0
01,04,1967,9.5
01,05,1967,10.0
01,06,1967,9.5
01,07,1967,9.5
01,08,1967,7.5
01,09,1967,5.0
01,10,1967,5.0
01,11,1967,4.8
01,12,1967,6.5
01,13,1967,9.5
01,14,1967,9.5
01,15,1967,null
01,16,1967,9.0
01,17,1967,8.0
01,18,1967,9.0
01,19,1967,9.0
01,20,1967,9.0
01,21,1967,9.0
01,22,1967,9.0
01,23,1967,10.0
01,24,1967,8.5
01,25,1967,9.0
01,26,1967,8.5
01,27,1967,9.0
01,28,1967,13.5
01,29,1967,7.0
01,30,1967,8.5
01,31,1967,8.0
02,01,1967,9.0
02,02,1967,8.5
02,03,1967,10.0
02,04,1967,11.5
02,05,1967,9.0
02,06,1967,7.0
02,07,1967,7.5
02,08,1967,12.5
02,09,1967,9.0
02,10,1967,9.0
02,11,1967,9.5
02,12,1967,9.5
02,13,1967,10.5
02,14,1967,10.0
02,15,1967,11.0
02,16,1967,10.0
02,17,1967,12.0
02,18,1967,11.0
02,19,1967,9.5
02,20,1967,9.0
02,21,1967,12.5
02,22,1967,11.5
02,23,1967,11.0
02,24,1967,15.0
02,25,1967,13.5
02,26,1967,12.5
02,27,1967,12.0
02,28,1967,13.0
03,01,1967,11.0
03,02,1967,11.0
03,03,1967,9.5
03,04,1967,10.0
03,05,1967,7.5
03,06,1967,7.5
03,07,1967,7.5
03,08,1967,12.5
03,09,1967,14.0
03,10,1967,13.5
03,11,1967,7.5
03,12,1967,11.5
03,13,1967,13.0
03,14,1967,13.0
03,15,1967,12.5
03,16,1967,11.5
03,17,1967,8.0
03,18,1967,5.5
03,19,1967,11.5
03,20,1967,11.75
03,21,1967,9.0
03,22,1967,7.0
03,23,1967,7.0
03,24,1967,7.5
03,25,1967,10.0
03,26,1967,6.0
03,27,1967,11.0
03,28,1967,12.5
03,29,1967,5.5
03,30,1967,6.5
