Id:,15297
Estación:,SAN SIMONITO E-19-MEX
Posición:,18.9525N -99.5591666667W
Variable:,Temp Promedio (oC)
Fecha Inicial:,03/01/1981
Fecha Final:,03/01/2007
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1981,null
03,02,1981,null
03,03,1981,null
03,04,1981,null
03,05,1981,null
03,06,1981,null
03,07,1981,null
03,08,1981,null
03,09,1981,null
03,10,1981,null
03,11,1981,null
03,12,1981,null
03,13,1981,null
03,14,1981,null
03,15,1981,null
03,16,1981,null
03,17,1981,null
03,18,1981,null
03,19,1981,null
03,20,1981,null
03,21,1981,null
03,22,1981,null
03,23,1981,null
03,24,1981,null
03,25,1981,null
03,26,1981,26.6
03,27,1981,15.8
03,28,1981,18.2
03,29,1981,15.6
03,30,1981,17.6
03,31,1981,18.0
04,01,1981,null
04,02,1981,16.25
04,03,1981,18.25
04,04,1981,20.25
04,05,1981,20.0
04,06,1981,20.0
04,07,1981,20.0
04,08,1981,20.25
04,09,1981,19.75
04,10,1981,21.25
04,11,1981,20.0
04,12,1981,20.25
04,13,1981,19.75
04,14,1981,18.25
04,15,1981,18.5
04,16,1981,20.0
04,17,1981,18.5
04,18,1981,16.5
04,19,1981,18.0
04,20,1981,17.0
04,21,1981,17.75
04,22,1981,22.75
04,23,1981,22.0
04,24,1981,21.45
04,25,1981,18.25
04,26,1981,20.0
04,27,1981,20.25
04,28,1981,18.0
04,29,1981,15.75
04,30,1981,15.75
05,01,1981,null
05,02,1981,null
05,03,1981,null
05,04,1981,null
05,05,1981,null
05,06,1981,null
05,07,1981,null
05,08,1981,null
05,09,1981,null
05,10,1981,null
05,11,1981,null
05,12,1981,null
05,13,1981,null
05,14,1981,null
05,15,1981,null
05,16,1981,null
05,17,1981,null
05,18,1981,null
05,19,1981,null
05,20,1981,null
05,21,1981,null
05,22,1981,null
05,23,1981,null
05,24,1981,null
05,25,1981,null
05,26,1981,null
05,27,1981,null
05,28,1981,null
05,29,1981,null
05,30,1981,null
05,31,1981,null
06,01,1981,18.55
06,02,1981,18.95
06,03,1981,19.0
06,04,1981,18.9
06,05,1981,19.95
06,06,1981,19.5
06,07,1981,19.65
06,08,1981,19.15
06,09,1981,17.85
06,10,1981,17.85
06,11,1981,17.25
06,12,1981,18.3
06,13,1981,18.75
06,14,1981,18.5
06,15,1981,17.75
06,16,1981,19.0
06,17,1981,18.0
06,18,1981,17.75
06,19,1981,18.65
06,20,1981,18.5
06,21,1981,18.5
06,22,1981,17.25
06,23,1981,17.7
06,24,1981,18.25
06,25,1981,18.75
06,26,1981,17.95
06,27,1981,18.0
06,28,1981,17.5
06,29,1981,17.5
06,30,1981,16.0
07,01,1981,16.5
07,02,1981,16.5
07,03,1981,17.25
07,04,1981,17.25
07,05,1981,17.0
07,06,1981,17.4
07,07,1981,17.35
07,08,1981,17.5
07,09,1981,17.2
07,10,1981,17.15
07,11,1981,17.75
07,12,1981,17.45
07,13,1981,17.45
07,14,1981,18.0
07,15,1981,17.65
07,16,1981,17.7
07,17,1981,17.6
07,18,1981,17.0
07,19,1981,18.25
07,20,1981,16.05
07,21,1981,17.3
07,22,1981,17.7
07,23,1981,18.2
07,24,1981,18.4
07,25,1981,18.0
07,26,1981,18.25
07,27,1981,18.3
07,28,1981,17.5
07,29,1981,17.55
07,30,1981,17.45
07,31,1981,16.6
08,01,1981,16.8
08,02,1981,17.1
08,03,1981,17.2
08,04,1981,18.05
08,05,1981,18.9
08,06,1981,17.0
08,07,1981,16.5
08,08,1981,17.75
08,09,1981,18.0
08,10,1981,16.4
08,11,1981,18.9
08,12,1981,18.5
08,13,1981,17.55
08,14,1981,18.2
08,15,1981,19.05
08,16,1981,18.0
08,17,1981,18.65
08,18,1981,18.75
08,19,1981,17.0
08,20,1981,17.3
08,21,1981,18.5
08,22,1981,17.8
08,23,1981,17.5
08,24,1981,18.0
08,25,1981,17.75
08,26,1981,18.5
08,27,1981,19.8
08,28,1981,16.0
08,29,1981,18.5
08,30,1981,16.25
08,31,1981,16.75
09,01,1981,15.8
09,02,1981,16.2
09,03,1981,16.9
09,04,1981,17.05
09,05,1981,18.4
09,06,1981,16.5
09,07,1981,17.05
09,08,1981,17.55
09,09,1981,17.6
09,10,1981,17.85
09,11,1981,17.8
09,12,1981,17.9
09,13,1981,18.4
09,14,1981,18.0
09,15,1981,15.8
09,16,1981,15.8
09,17,1981,17.25
09,18,1981,14.8
09,19,1981,16.55
09,20,1981,16.8
09,21,1981,17.5
09,22,1981,17.6
09,23,1981,18.3
09,24,1981,17.25
09,25,1981,17.5
09,26,1981,17.25
09,27,1981,16.05
09,28,1981,17.0
09,29,1981,17.25
09,30,1981,17.0
10,01,1981,21.2
10,02,1981,20.7
10,03,1981,19.4
10,04,1981,18.15
10,05,1981,15.4
10,06,1981,18.9
10,07,1981,18.75
10,08,1981,18.05
10,09,1981,17.85
10,10,1981,17.4
10,11,1981,17.3
10,12,1981,15.05
10,13,1981,15.95
10,14,1981,14.3
10,15,1981,16.1
10,16,1981,15.25
10,17,1981,15.1
10,18,1981,13.75
10,19,1981,14.95
10,20,1981,14.35
10,21,1981,14.3
10,22,1981,14.65
10,23,1981,14.05
10,24,1981,14.1
10,25,1981,12.9
10,26,1981,13.0
10,27,1981,12.85
10,28,1981,13.0
10,29,1981,13.95
10,30,1981,13.8
10,31,1981,13.5
11,01,1981,15.95
11,02,1981,16.6
11,03,1981,16.8
11,04,1981,16.7
11,05,1981,15.4
11,06,1981,16.2
11,07,1981,14.55
11,08,1981,15.45
11,09,1981,14.65
11,10,1981,13.65
11,11,1981,14.15
11,12,1981,14.25
11,13,1981,13.75
11,14,1981,13.55
11,15,1981,13.45
11,16,1981,14.15
11,17,1981,16.15
11,18,1981,16.15
11,19,1981,16.15
11,20,1981,16.3
11,21,1981,15.85
11,22,1981,16.0
11,23,1981,16.5
11,24,1981,16.5
11,25,1981,16.6
11,26,1981,15.4
11,27,1981,15.5
11,28,1981,15.45
11,29,1981,15.55
11,30,1981,15.95
12,01,1981,16.55
12,02,1981,12.9
12,03,1981,17.25
12,04,1981,15.4
12,05,1981,18.6
12,06,1981,18.35
12,07,1981,14.6
12,08,1981,15.0
12,09,1981,12.0
12,10,1981,12.75
12,11,1981,12.85
12,12,1981,14.45
12,13,1981,13.05
12,14,1981,14.8
12,15,1981,14.45
12,16,1981,15.65
12,17,1981,15.2
12,18,1981,17.4
12,19,1981,16.6
12,20,1981,18.7
12,21,1981,20.85
12,22,1981,20.9
12,23,1981,19.65
12,24,1981,16.8
12,25,1981,16.4
12,26,1981,20.15
12,27,1981,17.2
12,28,1981,17.05
12,29,1981,17.65
12,30,1981,18.3
12,31,1981,19.45
01,01,1982,17.5
01,02,1982,16.55
01,03,1982,13.55
01,04,1982,13.85
01,05,1982,14.1
01,06,1982,12.7
01,07,1982,12.3
01,08,1982,10.6
01,09,1982,11.25
01,10,1982,10.95
01,11,1982,10.25
01,12,1982,15.15
01,13,1982,13.8
01,14,1982,16.6
01,15,1982,15.1
01,16,1982,12.85
01,17,1982,12.25
01,18,1982,12.7
01,19,1982,12.15
01,20,1982,10.95
01,21,1982,11.7
01,22,1982,11.2
01,23,1982,12.75
01,24,1982,10.6
01,25,1982,11.4
01,26,1982,11.5
01,27,1982,15.95
01,28,1982,11.15
01,29,1982,12.45
01,30,1982,11.05
01,31,1982,12.3
02,01,1982,14.6
02,02,1982,9.35
02,03,1982,12.4
02,04,1982,13.3
02,05,1982,13.4
02,06,1982,15.75
02,07,1982,13.2
02,08,1982,12.25
02,09,1982,11.75
02,10,1982,19.25
02,11,1982,14.3
02,12,1982,15.8
02,13,1982,14.2
02,14,1982,15.1
02,15,1982,12.9
02,16,1982,11.85
02,17,1982,12.8
02,18,1982,10.95
02,19,1982,13.9
02,20,1982,12.8
02,21,1982,12.25
02,22,1982,12.4
02,23,1982,12.2
02,24,1982,10.6
02,25,1982,11.45
02,26,1982,13.1
02,27,1982,13.2
02,28,1982,13.1
03,01,1982,14.55
03,02,1982,14.95
03,03,1982,13.15
03,04,1982,11.0
03,05,1982,12.45
03,06,1982,16.0
03,07,1982,13.65
03,08,1982,13.1
03,09,1982,13.7
03,10,1982,14.6
03,11,1982,14.85
03,12,1982,15.45
03,13,1982,12.95
03,14,1982,13.8
03,15,1982,14.05
03,16,1982,13.1
03,17,1982,12.0
03,18,1982,14.2
03,19,1982,14.3
03,20,1982,13.85
03,21,1982,14.85
03,22,1982,14.45
03,23,1982,14.15
03,24,1982,14.9
03,25,1982,13.75
03,26,1982,16.05
03,27,1982,15.3
03,28,1982,15.8
03,29,1982,15.55
03,30,1982,13.4
03,31,1982,13.55
04,01,1982,13.45
04,02,1982,17.05
04,03,1982,15.0
04,04,1982,16.65
04,05,1982,12.25
04,06,1982,11.6
04,07,1982,12.8
04,08,1982,12.3
04,09,1982,15.2
04,10,1982,17.2
04,11,1982,15.8
04,12,1982,13.75
04,13,1982,14.4
04,14,1982,18.1
04,15,1982,17.0
04,16,1982,17.1
04,17,1982,17.0
04,18,1982,14.85
04,19,1982,14.5
04,20,1982,16.8
04,21,1982,13.45
04,22,1982,12.2
04,23,1982,13.85
04,24,1982,15.5
04,25,1982,14.3
04,26,1982,13.7
04,27,1982,12.7
04,28,1982,14.95
04,29,1982,13.25
04,30,1982,14.4
