Id:,15324
Estación:,COLONIA HIDALGO-MEX
Posición:,18.7958333333N -99.4744444444W
Variable:,Temp Promedio (oC)
Fecha Inicial:,03/01/1982
Fecha Final:,04/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1982,null
03,02,1982,null
03,03,1982,null
03,04,1982,null
03,05,1982,null
03,06,1982,null
03,07,1982,null
03,08,1982,null
03,09,1982,null
03,10,1982,null
03,11,1982,null
03,12,1982,null
03,13,1982,27.2
03,14,1982,27.2
03,15,1982,25.9
03,16,1982,25.75
03,17,1982,24.25
03,18,1982,23.9
03,19,1982,24.85
03,20,1982,25.7
03,21,1982,25.25
03,22,1982,24.2
03,23,1982,23.7
03,24,1982,24.35
03,25,1982,26.15
03,26,1982,25.4
03,27,1982,24.55
03,28,1982,27.85
03,29,1982,27.35
03,30,1982,28.2
03,31,1982,26.05
04,01,1982,27.3
04,02,1982,28.95
04,03,1982,27.85
04,04,1982,29.5
04,05,1982,27.1
04,06,1982,26.05
04,07,1982,27.4
04,08,1982,26.6
04,09,1982,null
04,10,1982,null
04,11,1982,26.1
04,12,1982,27.55
04,13,1982,26.85
04,14,1982,25.9
04,15,1982,25.85
04,16,1982,26.5
04,17,1982,25.6
04,18,1982,26.7
04,19,1982,24.55
04,20,1982,24.6
04,21,1982,25.3
04,22,1982,21.85
04,23,1982,21.7
04,24,1982,24.2
04,25,1982,25.7
04,26,1982,26.65
04,27,1982,25.65
04,28,1982,26.0
04,29,1982,24.15
04,30,1982,25.25
05,01,1982,24.35
05,02,1982,26.25
05,03,1982,26.1
05,04,1982,26.75
05,05,1982,26.1
05,06,1982,26.65
05,07,1982,25.1
05,08,1982,26.3
05,09,1982,25.15
05,10,1982,22.5
05,11,1982,28.2
05,12,1982,24.3
05,13,1982,25.0
05,14,1982,26.3
05,15,1982,27.55
05,16,1982,23.25
05,17,1982,22.25
05,18,1982,22.35
05,19,1982,21.7
05,20,1982,22.95
05,21,1982,22.7
05,22,1982,24.1
05,23,1982,26.55
05,24,1982,25.55
05,25,1982,24.7
05,26,1982,24.25
05,27,1982,24.85
05,28,1982,26.15
05,29,1982,26.3
05,30,1982,23.25
05,31,1982,24.95
06,01,1982,null
06,02,1982,null
06,03,1982,null
06,04,1982,null
06,05,1982,null
06,06,1982,null
06,07,1982,null
06,08,1982,null
06,09,1982,null
06,10,1982,25.9
06,11,1982,25.8
06,12,1982,26.25
06,13,1982,24.35
06,14,1982,25.7
06,15,1982,26.35
06,16,1982,25.1
06,17,1982,26.2
06,18,1982,27.25
06,19,1982,27.2
06,20,1982,26.75
06,21,1982,24.25
06,22,1982,26.55
06,23,1982,26.35
06,24,1982,24.15
06,25,1982,25.8
06,26,1982,24.4
06,27,1982,24.75
06,28,1982,24.45
06,29,1982,23.0
06,30,1982,22.5
07,01,1982,23.75
07,02,1982,24.85
07,03,1982,25.1
07,04,1982,22.85
07,05,1982,23.1
07,06,1982,24.95
07,07,1982,22.55
07,08,1982,24.15
07,09,1982,23.1
07,10,1982,22.7
07,11,1982,23.7
07,12,1982,24.3
07,13,1982,24.2
07,14,1982,22.95
07,15,1982,23.8
07,16,1982,24.25
07,17,1982,19.95
07,18,1982,28.15
07,19,1982,22.95
07,20,1982,22.45
07,21,1982,21.15
07,22,1982,22.25
07,23,1982,22.05
07,24,1982,23.6
07,25,1982,24.85
07,26,1982,24.5
07,27,1982,23.8
07,28,1982,19.35
07,29,1982,23.25
07,30,1982,24.2
07,31,1982,23.6
08,01,1982,25.5
08,02,1982,25.95
08,03,1982,24.05
08,04,1982,20.4
08,05,1982,24.0
08,06,1982,23.85
08,07,1982,24.4
08,08,1982,24.95
08,09,1982,24.75
08,10,1982,26.15
08,11,1982,25.0
08,12,1982,25.3
08,13,1982,23.75
08,14,1982,24.0
08,15,1982,22.5
08,16,1982,24.55
08,17,1982,25.05
08,18,1982,23.95
08,19,1982,26.25
08,20,1982,24.3
08,21,1982,24.6
08,22,1982,24.55
08,23,1982,23.95
08,24,1982,24.4
08,25,1982,26.05
08,26,1982,24.7
08,27,1982,24.6
08,28,1982,25.75
08,29,1982,25.1
08,30,1982,24.4
08,31,1982,24.1
09,01,1982,25.4
09,02,1982,25.9
09,03,1982,25.75
09,04,1982,27.15
09,05,1982,25.4
09,06,1982,23.8
09,07,1982,24.45
09,08,1982,24.9
09,09,1982,23.4
09,10,1982,22.8
09,11,1982,24.3
09,12,1982,22.75
09,13,1982,23.05
09,14,1982,24.15
09,15,1982,23.2
09,16,1982,24.8
09,17,1982,23.25
09,18,1982,24.4
09,19,1982,24.65
09,20,1982,25.0
09,21,1982,25.0
09,22,1982,23.5
09,23,1982,24.5
09,24,1982,24.0
09,25,1982,24.3
09,26,1982,23.5
09,27,1982,23.35
09,28,1982,24.3
09,29,1982,24.0
09,30,1982,25.1
10,01,1982,24.85
10,02,1982,24.8
10,03,1982,24.55
10,04,1982,24.9
10,05,1982,25.6
10,06,1982,24.65
10,07,1982,24.85
10,08,1982,24.95
10,09,1982,24.3
10,10,1982,24.0
10,11,1982,22.25
10,12,1982,23.5
10,13,1982,23.8
10,14,1982,23.1
10,15,1982,22.4
10,16,1982,23.0
10,17,1982,22.95
10,18,1982,23.85
10,19,1982,24.75
10,20,1982,23.4
10,21,1982,23.1
10,22,1982,22.6
10,23,1982,17.45
10,24,1982,22.45
10,25,1982,21.45
10,26,1982,22.2
10,27,1982,22.2
10,28,1982,23.85
10,29,1982,23.3
10,30,1982,20.5
10,31,1982,22.05
11,01,1982,23.3
11,02,1982,24.5
11,03,1982,22.2
11,04,1982,17.45
11,05,1982,18.0
11,06,1982,22.8
11,07,1982,20.15
11,08,1982,16.45
11,09,1982,18.4
11,10,1982,22.9
11,11,1982,22.3
11,12,1982,22.8
11,13,1982,23.25
11,14,1982,22.7
11,15,1982,23.15
11,16,1982,22.75
11,17,1982,22.35
11,18,1982,24.1
11,19,1982,23.7
11,20,1982,24.1
11,21,1982,24.85
11,22,1982,23.0
11,23,1982,23.45
11,24,1982,22.9
11,25,1982,23.4
11,26,1982,25.05
11,27,1982,24.95
11,28,1982,24.95
11,29,1982,25.55
11,30,1982,25.4
12,01,1982,24.95
12,02,1982,24.95
12,03,1982,23.3
12,04,1982,16.95
12,05,1982,18.15
12,06,1982,23.4
12,07,1982,24.7
12,08,1982,22.7
12,09,1982,26.45
12,10,1982,24.95
12,11,1982,25.1
12,12,1982,23.25
12,13,1982,23.25
12,14,1982,24.9
12,15,1982,23.85
12,16,1982,23.8
12,17,1982,24.9
12,18,1982,24.95
12,19,1982,23.25
12,20,1982,23.85
12,21,1982,24.95
12,22,1982,24.9
12,23,1982,24.35
12,24,1982,25.65
12,25,1982,23.25
12,26,1982,24.95
12,27,1982,24.35
12,28,1982,24.9
12,29,1982,23.3
12,30,1982,21.75
12,31,1982,23.35
01,01,1983,null
01,02,1983,null
01,03,1983,null
01,04,1983,null
01,05,1983,null
01,06,1983,null
01,07,1983,null
01,08,1983,null
01,09,1983,null
01,10,1983,null
01,11,1983,null
01,12,1983,null
01,13,1983,null
01,14,1983,null
01,15,1983,null
01,16,1983,null
01,17,1983,null
01,18,1983,null
01,19,1983,null
01,20,1983,null
01,21,1983,null
01,22,1983,null
01,23,1983,null
01,24,1983,null
01,25,1983,null
01,26,1983,null
01,27,1983,null
01,28,1983,null
01,29,1983,null
01,30,1983,null
01,31,1983,null
02,01,1983,18.5
02,02,1983,19.0
02,03,1983,19.7
02,04,1983,19.3
02,05,1983,18.5
02,06,1983,18.15
02,07,1983,18.15
02,08,1983,18.45
02,09,1983,18.25
02,10,1983,20.5
02,11,1983,16.0
02,12,1983,15.95
02,13,1983,18.5
02,14,1983,20.2
02,15,1983,21.0
02,16,1983,20.8
02,17,1983,21.55
02,18,1983,20.6
02,19,1983,20.6
02,20,1983,21.3
02,21,1983,23.3
02,22,1983,19.4
02,23,1983,21.25
02,24,1983,21.8
02,25,1983,19.6
02,26,1983,15.7
02,27,1983,20.0
02,28,1983,22.35
03,01,1983,24.75
03,02,1983,24.7
03,03,1983,24.7
03,04,1983,24.0
03,05,1983,22.75
03,06,1983,24.4
03,07,1983,23.85
03,08,1983,23.15
03,09,1983,23.65
03,10,1983,24.3
03,11,1983,24.0
03,12,1983,20.9
03,13,1983,19.95
03,14,1983,21.25
03,15,1983,23.6
03,16,1983,23.05
03,17,1983,23.55
03,18,1983,26.8
03,19,1983,24.35
03,20,1983,24.95
03,21,1983,25.55
03,22,1983,25.1
03,23,1983,26.0
03,24,1983,26.55
03,25,1983,26.1
03,26,1983,25.75
03,27,1983,25.35
03,28,1983,25.85
