Id:,16036
Estación:,PRESA EL BOSQUE (CFE)-MICH
Posición:,19.3833333333N -100.389722222W
Variable:,Precipitación (mm)
Fecha Inicial:,02/01/1952
Fecha Final:,08/01/2010
No Dato:,nan
Mes,Día,Anio,Datos
02,01,1952,null
02,02,1952,null
02,03,1952,null
02,04,1952,null
02,05,1952,null
02,06,1952,null
02,07,1952,null
02,08,1952,null
02,09,1952,0.0
02,10,1952,0.0
02,11,1952,0.0
02,12,1952,0.0
02,13,1952,0.0
02,14,1952,0.0
02,15,1952,0.0
02,16,1952,0.0
02,17,1952,0.0
02,18,1952,0.0
02,19,1952,0.0
02,20,1952,0.0
02,21,1952,0.0
02,22,1952,0.0
02,23,1952,0.0
02,24,1952,0.0
02,25,1952,0.0
02,26,1952,0.0
02,27,1952,0.0
02,28,1952,0.0
02,29,1952,null
03,01,1952,null
03,02,1952,null
03,03,1952,null
03,04,1952,null
03,05,1952,null
03,06,1952,null
03,07,1952,null
03,08,1952,null
03,09,1952,null
03,10,1952,null
03,11,1952,null
03,12,1952,null
03,13,1952,null
03,14,1952,null
03,15,1952,null
03,16,1952,null
03,17,1952,null
03,18,1952,null
03,19,1952,null
03,20,1952,null
03,21,1952,null
03,22,1952,null
03,23,1952,null
03,24,1952,null
03,25,1952,null
03,26,1952,null
03,27,1952,null
03,28,1952,null
03,29,1952,null
03,30,1952,null
03,31,1952,null
04,01,1952,0.0
04,02,1952,0.0
04,03,1952,0.0
04,04,1952,0.0
04,05,1952,0.0
04,06,1952,0.0
04,07,1952,0.0
04,08,1952,0.0
04,09,1952,0.0
04,10,1952,0.0
04,11,1952,0.0
04,12,1952,0.0
04,13,1952,0.0
04,14,1952,0.0
04,15,1952,0.0
04,16,1952,0.0
04,17,1952,0.0
04,18,1952,0.5
04,19,1952,0.0
04,20,1952,0.0
04,21,1952,0.0
04,22,1952,19.8
04,23,1952,1.5
04,24,1952,0.0
04,25,1952,0.0
04,26,1952,0.0
04,27,1952,0.0
04,28,1952,0.0
04,29,1952,0.0
04,30,1952,0.0
05,01,1952,0.0
05,02,1952,0.0
05,03,1952,0.0
05,04,1952,0.0
05,05,1952,0.0
05,06,1952,0.0
05,07,1952,0.0
05,08,1952,0.0
05,09,1952,0.0
05,10,1952,0.0
05,11,1952,0.0
05,12,1952,1.5
05,13,1952,0.0
05,14,1952,20.0
05,15,1952,2.5
05,16,1952,0.0
05,17,1952,0.0
05,18,1952,0.0
05,19,1952,0.0
05,20,1952,5.0
05,21,1952,0.0
05,22,1952,0.0
05,23,1952,60.7
05,24,1952,0.0
05,25,1952,11.0
05,26,1952,0.0
05,27,1952,0.0
05,28,1952,7.5
05,29,1952,1.5
05,30,1952,7.5
05,31,1952,16.0
06,01,1952,null
06,02,1952,null
06,03,1952,null
06,04,1952,null
06,05,1952,null
06,06,1952,null
06,07,1952,null
06,08,1952,null
06,09,1952,null
06,10,1952,null
06,11,1952,null
06,12,1952,null
06,13,1952,null
06,14,1952,null
06,15,1952,null
06,16,1952,null
06,17,1952,null
06,18,1952,null
06,19,1952,null
06,20,1952,null
06,21,1952,null
06,22,1952,null
06,23,1952,null
06,24,1952,null
06,25,1952,null
06,26,1952,null
06,27,1952,null
06,28,1952,null
06,29,1952,null
06,30,1952,null
07,01,1952,13.0
07,02,1952,0.0
07,03,1952,0.0
07,04,1952,12.9
07,05,1952,20.0
07,06,1952,7.0
07,07,1952,3.0
07,08,1952,2.0
07,09,1952,19.0
07,10,1952,3.5
07,11,1952,2.5
07,12,1952,2.0
07,13,1952,0.0
07,14,1952,0.0
07,15,1952,5.5
07,16,1952,9.5
07,17,1952,8.0
07,18,1952,20.0
07,19,1952,7.0
07,20,1952,7.5
07,21,1952,10.5
07,22,1952,4.0
07,23,1952,17.0
07,24,1952,8.5
07,25,1952,13.0
07,26,1952,5.0
07,27,1952,4.5
07,28,1952,4.5
07,29,1952,2.5
07,30,1952,null
07,31,1952,null
08,01,1952,5.7
08,02,1952,20.0
08,03,1952,10.4
08,04,1952,5.0
08,05,1952,7.8
08,06,1952,2.0
08,07,1952,5.8
08,08,1952,3.8
08,09,1952,3.5
08,10,1952,3.4
08,11,1952,3.2
08,12,1952,16.5
08,13,1952,8.5
08,14,1952,4.3
08,15,1952,10.5
08,16,1952,7.0
08,17,1952,3.8
08,18,1952,1.8
08,19,1952,5.7
08,20,1952,6.0
08,21,1952,6.2
08,22,1952,12.5
08,23,1952,7.0
08,24,1952,1.8
08,25,1952,2.2
08,26,1952,11.0
08,27,1952,0.4
08,28,1952,1.7
08,29,1952,9.5
08,30,1952,1.5
08,31,1952,6.5
09,01,1952,5.0
09,02,1952,1.5
09,03,1952,8.8
09,04,1952,0.0
09,05,1952,1.5
09,06,1952,6.0
09,07,1952,1.0
09,08,1952,0.5
09,09,1952,0.0
09,10,1952,0.0
09,11,1952,0.0
09,12,1952,0.0
09,13,1952,0.0
09,14,1952,9.0
09,15,1952,4.4
09,16,1952,17.5
09,17,1952,1.0
09,18,1952,2.3
09,19,1952,4.5
09,20,1952,0.4
09,21,1952,null
09,22,1952,0.4
09,23,1952,1.0
09,24,1952,8.0
09,25,1952,17.6
09,26,1952,9.4
09,27,1952,5.5
09,28,1952,2.8
09,29,1952,0.2
09,30,1952,6.7
10,01,1952,6.7
10,02,1952,11.8
10,03,1952,0.0
10,04,1952,4.0
10,05,1952,1.0
10,06,1952,0.0
10,07,1952,0.0
10,08,1952,13.6
10,09,1952,0.0
10,10,1952,0.0
10,11,1952,0.0
10,12,1952,0.0
10,13,1952,0.0
10,14,1952,0.0
10,15,1952,0.0
10,16,1952,0.0
10,17,1952,0.0
10,18,1952,0.0
10,19,1952,0.0
10,20,1952,0.0
10,21,1952,0.0
10,22,1952,0.0
10,23,1952,0.0
10,24,1952,0.0
10,25,1952,0.0
10,26,1952,0.0
10,27,1952,0.0
10,28,1952,0.0
10,29,1952,0.0
10,30,1952,0.0
10,31,1952,0.0
11,01,1952,0.0
11,02,1952,2.0
11,03,1952,82.0
11,04,1952,12.0
11,05,1952,0.0
