Id:,16097
Estación:,PRESA PUCUATO-MICH
Posición:,19.6222222222N -100.694722222W
Variable:,Precipitación (mm)
Fecha Inicial:,07/01/1950
Fecha Final:,12/01/2006
No Dato:,nan
Mes,Día,Anio,Datos
07,01,1950,6.3
07,02,1950,18.9
07,03,1950,2.0
07,04,1950,17.3
07,05,1950,11.5
07,06,1950,10.2
07,07,1950,9.0
07,08,1950,0.0
07,09,1950,6.7
07,10,1950,0.0
07,11,1950,2.4
07,12,1950,6.9
07,13,1950,6.4
07,14,1950,2.2
07,15,1950,21.2
07,16,1950,9.2
07,17,1950,1.4
07,18,1950,8.0
07,19,1950,7.2
07,20,1950,8.4
07,21,1950,14.5
07,22,1950,3.0
07,23,1950,19.0
07,24,1950,2.5
07,25,1950,0.0
07,26,1950,0.0
07,27,1950,0.0
07,28,1950,0.0
07,29,1950,0.0
07,30,1950,0.0
07,31,1950,0.0
08,01,1950,0.0
08,02,1950,1.6
08,03,1950,2.5
08,04,1950,0.0
08,05,1950,13.4
08,06,1950,1.1
08,07,1950,0.0
08,08,1950,0.0
08,09,1950,0.0
08,10,1950,0.0
08,11,1950,0.0
08,12,1950,2.4
08,13,1950,9.5
08,14,1950,5.0
08,15,1950,2.0
08,16,1950,12.6
08,17,1950,0.0
08,18,1950,8.0
08,19,1950,3.4
08,20,1950,0.4
08,21,1950,0.0
08,22,1950,29.7
08,23,1950,0.0
08,24,1950,10.7
08,25,1950,6.0
08,26,1950,0.0
08,27,1950,4.0
08,28,1950,12.5
08,29,1950,1.2
08,30,1950,0.0
08,31,1950,14.3
09,01,1950,null
09,02,1950,null
09,03,1950,null
09,04,1950,null
09,05,1950,null
09,06,1950,null
09,07,1950,null
09,08,1950,null
09,09,1950,null
09,10,1950,null
09,11,1950,null
09,12,1950,null
09,13,1950,null
09,14,1950,null
09,15,1950,null
09,16,1950,null
09,17,1950,null
09,18,1950,null
09,19,1950,null
09,20,1950,null
09,21,1950,null
09,22,1950,null
09,23,1950,null
09,24,1950,null
09,25,1950,null
09,26,1950,null
09,27,1950,null
09,28,1950,null
09,29,1950,null
09,30,1950,null
10,01,1950,6.3
10,02,1950,7.4
10,03,1950,0.0
10,04,1950,4.7
10,05,1950,0.0
10,06,1950,0.0
10,07,1950,0.0
10,08,1950,37.8
10,09,1950,7.3
10,10,1950,0.0
10,11,1950,0.0
10,12,1950,0.0
10,13,1950,0.0
10,14,1950,0.0
10,15,1950,0.0
10,16,1950,0.0
10,17,1950,0.0
10,18,1950,0.0
10,19,1950,0.0
10,20,1950,0.0
10,21,1950,11.5
10,22,1950,2.5
10,23,1950,0.0
10,24,1950,0.0
10,25,1950,0.0
10,26,1950,0.0
10,27,1950,0.0
10,28,1950,0.0
10,29,1950,0.0
10,30,1950,0.0
10,31,1950,0.0
11,01,1950,0.0
11,02,1950,0.6
11,03,1950,0.0
11,04,1950,0.0
11,05,1950,0.0
11,06,1950,0.0
11,07,1950,0.0
11,08,1950,0.0
11,09,1950,0.0
11,10,1950,0.0
11,11,1950,0.0
11,12,1950,0.0
11,13,1950,0.0
11,14,1950,0.0
11,15,1950,0.0
11,16,1950,0.0
11,17,1950,0.0
11,18,1950,0.3
11,19,1950,0.4
11,20,1950,0.0
11,21,1950,0.0
11,22,1950,0.0
11,23,1950,0.0
11,24,1950,0.0
11,25,1950,0.3
11,26,1950,0.0
11,27,1950,0.0
11,28,1950,0.0
11,29,1950,0.3
11,30,1950,0.4
12,01,1950,0.9
12,02,1950,0.2
12,03,1950,0.0
12,04,1950,0.0
12,05,1950,0.0
12,06,1950,0.0
12,07,1950,0.0
12,08,1950,0.0
12,09,1950,0.0
12,10,1950,0.0
12,11,1950,0.0
12,12,1950,0.0
12,13,1950,0.0
12,14,1950,0.0
12,15,1950,0.0
12,16,1950,0.0
12,17,1950,0.0
12,18,1950,0.0
12,19,1950,0.0
12,20,1950,0.0
12,21,1950,0.0
12,22,1950,0.0
12,23,1950,0.2
12,24,1950,0.0
12,25,1950,0.0
12,26,1950,0.0
12,27,1950,0.0
12,28,1950,0.0
12,29,1950,0.0
