Id:,16141
Estación:,YURECUARO-MICH
Posición:,20.3375N -102.271111111W
Variable:,Temp Promedio (oC)
Fecha Inicial:,03/01/1923
Fecha Final:,01/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1923,22.0
03,02,1923,20.5
03,03,1923,22.25
03,04,1923,20.75
03,05,1923,24.5
03,06,1923,27.25
03,07,1923,28.75
03,08,1923,24.0
03,09,1923,27.75
03,10,1923,28.5
03,11,1923,27.75
03,12,1923,24.75
03,13,1923,22.25
03,14,1923,27.0
03,15,1923,22.25
03,16,1923,21.0
03,17,1923,24.25
03,18,1923,25.0
03,19,1923,26.25
03,20,1923,25.25
03,21,1923,22.0
03,22,1923,22.0
03,23,1923,25.0
03,24,1923,27.0
03,25,1923,28.5
03,26,1923,24.5
03,27,1923,17.0
03,28,1923,23.75
03,29,1923,24.0
03,30,1923,21.75
03,31,1923,23.5
04,01,1923,16.0
04,02,1923,16.0
04,03,1923,15.0
04,04,1923,14.75
04,05,1923,15.25
04,06,1923,16.25
04,07,1923,14.75
04,08,1923,13.75
04,09,1923,15.0
04,10,1923,16.75
04,11,1923,16.5
04,12,1923,15.5
04,13,1923,15.5
04,14,1923,17.0
04,15,1923,16.0
04,16,1923,15.5
04,17,1923,17.0
04,18,1923,17.5
04,19,1923,17.25
04,20,1923,17.5
04,21,1923,17.0
04,22,1923,17.0
04,23,1923,16.25
04,24,1923,16.25
04,25,1923,19.5
04,26,1923,18.25
04,27,1923,19.0
04,28,1923,20.25
04,29,1923,null
04,30,1923,null
05,01,1923,16.75
05,02,1923,16.75
05,03,1923,16.75
05,04,1923,16.5
05,05,1923,15.75
05,06,1923,16.75
05,07,1923,15.5
05,08,1923,14.75
05,09,1923,14.5
05,10,1923,15.25
05,11,1923,16.75
05,12,1923,16.5
05,13,1923,17.25
05,14,1923,15.0
05,15,1923,13.5
05,16,1923,13.0
05,17,1923,13.0
05,18,1923,13.5
05,19,1923,14.25
05,20,1923,15.5
05,21,1923,15.75
05,22,1923,14.5
05,23,1923,11.45
05,24,1923,12.6
05,25,1923,12.75
05,26,1923,15.0
05,27,1923,15.75
05,28,1923,15.25
05,29,1923,16.0
05,30,1923,16.25
05,31,1923,15.5
06,01,1923,26.75
06,02,1923,29.5
06,03,1923,28.75
06,04,1923,29.25
06,05,1923,30.25
06,06,1923,30.0
06,07,1923,31.75
06,08,1923,32.25
06,09,1923,28.0
06,10,1923,26.75
06,11,1923,27.5
06,12,1923,24.25
06,13,1923,24.0
06,14,1923,24.0
06,15,1923,25.25
06,16,1923,30.0
06,17,1923,27.0
06,18,1923,25.5
06,19,1923,27.5
06,20,1923,21.25
06,21,1923,20.75
06,22,1923,24.0
06,23,1923,28.75
06,24,1923,27.75
06,25,1923,27.0
06,26,1923,25.5
06,27,1923,25.0
06,28,1923,24.0
06,29,1923,25.0
06,30,1923,null
07,01,1923,27.5
07,02,1923,23.0
07,03,1923,21.0
07,04,1923,24.0
07,05,1923,23.25
07,06,1923,26.0
07,07,1923,22.75
07,08,1923,23.75
07,09,1923,25.0
07,10,1923,22.5
07,11,1923,24.0
07,12,1923,27.75
07,13,1923,24.25
07,14,1923,28.0
07,15,1923,26.0
07,16,1923,26.0
07,17,1923,25.5
07,18,1923,24.25
07,19,1923,26.0
07,20,1923,24.0
07,21,1923,27.5
07,22,1923,27.5
07,23,1923,26.0
07,24,1923,28.75
07,25,1923,23.75
07,26,1923,27.0
07,27,1923,29.5
07,28,1923,27.75
07,29,1923,27.0
07,30,1923,26.5
07,31,1923,27.0
08,01,1923,25.0
08,02,1923,23.0
08,03,1923,25.75
08,04,1923,25.75
08,05,1923,23.5
08,06,1923,25.75
08,07,1923,25.5
08,08,1923,21.25
08,09,1923,21.75
08,10,1923,23.5
08,11,1923,23.75
08,12,1923,24.5
08,13,1923,23.5
08,14,1923,25.25
08,15,1923,26.5
08,16,1923,25.0
08,17,1923,23.5
08,18,1923,27.0
08,19,1923,26.25
08,20,1923,26.5
08,21,1923,25.0
08,22,1923,26.5
