Id:,20036
Estación:,HUAUTLA DE JIMENEZ-OAX
Posición:,18.1330555556N -96.8302777778W
Variable:,Precipitación (mm)
Fecha Inicial:,01/01/1952
Fecha Final:,01/01/2008
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1952,0.0
01,02,1952,0.0
01,03,1952,4.0
01,04,1952,15.0
01,05,1952,0.0
01,06,1952,15.2
01,07,1952,7.4
01,08,1952,0.0
01,09,1952,50.2
01,10,1952,2.1
01,11,1952,0.0
01,12,1952,0.0
01,13,1952,0.0
01,14,1952,0.0
01,15,1952,0.0
01,16,1952,0.0
01,17,1952,0.0
01,18,1952,0.0
01,19,1952,0.0
01,20,1952,0.0
01,21,1952,0.0
01,22,1952,0.0
01,23,1952,0.0
01,24,1952,1.0
01,25,1952,0.0
01,26,1952,0.0
01,27,1952,0.0
01,28,1952,54.0
01,29,1952,0.0
01,30,1952,0.0
01,31,1952,0.0
02,01,1952,0.0
02,02,1952,0.0
02,03,1952,0.0
02,04,1952,0.0
02,05,1952,0.0
02,06,1952,5.5
02,07,1952,0.8
02,08,1952,0.0
02,09,1952,0.0
02,10,1952,0.0
02,11,1952,0.0
02,12,1952,0.0
02,13,1952,0.0
02,14,1952,0.0
02,15,1952,0.0
02,16,1952,0.0
02,17,1952,0.0
02,18,1952,0.0
02,19,1952,0.0
02,20,1952,0.0
02,21,1952,0.0
02,22,1952,0.0
02,23,1952,0.0
02,24,1952,0.0
02,25,1952,5.4
02,26,1952,0.0
02,27,1952,0.0
02,28,1952,0.0
02,29,1952,0.0
03,01,1952,0.0
03,02,1952,0.0
03,03,1952,0.0
03,04,1952,0.8
03,05,1952,0.0
03,06,1952,0.0
03,07,1952,0.0
03,08,1952,0.0
03,09,1952,0.0
03,10,1952,0.0
03,11,1952,0.0
03,12,1952,0.0
03,13,1952,0.0
03,14,1952,0.0
03,15,1952,0.0
03,16,1952,0.6
03,17,1952,0.0
03,18,1952,0.0
03,19,1952,0.0
03,20,1952,0.0
03,21,1952,0.0
03,22,1952,0.0
03,23,1952,0.0
03,24,1952,0.0
03,25,1952,0.0
03,26,1952,1.2
03,27,1952,1.9
03,28,1952,4.5
03,29,1952,0.2
03,30,1952,0.0
03,31,1952,0.0
04,01,1952,0.0
04,02,1952,13.4
04,03,1952,0.0
04,04,1952,1.4
04,05,1952,3.4
04,06,1952,0.7
04,07,1952,0.0
04,08,1952,0.0
04,09,1952,1.5
04,10,1952,3.2
04,11,1952,0.0
04,12,1952,0.0
04,13,1952,15.6
04,14,1952,0.8
04,15,1952,0.0
04,16,1952,6.7
04,17,1952,2.4
04,18,1952,0.4
04,19,1952,0.0
04,20,1952,0.0
04,21,1952,2.7
04,22,1952,0.0
04,23,1952,0.0
04,24,1952,0.0
04,25,1952,0.0
04,26,1952,0.0
04,27,1952,0.0
04,28,1952,0.0
04,29,1952,0.0
04,30,1952,0.0
05,01,1952,0.0
05,02,1952,0.0
05,03,1952,3.2
05,04,1952,12.9
05,05,1952,0.0
05,06,1952,0.0
05,07,1952,0.0
05,08,1952,0.0
05,09,1952,0.0
05,10,1952,1.2
05,11,1952,6.1
05,12,1952,0.0
05,13,1952,0.0
05,14,1952,0.0
05,15,1952,0.0
05,16,1952,0.0
05,17,1952,0.0
05,18,1952,0.0
05,19,1952,6.5
05,20,1952,20.2
05,21,1952,0.0
05,22,1952,0.0
