Id:,20048
Estación:,JUCHITAN DE ZARAGOZA-OAX
Posición:,16.4491666667N -95.0169444444W
Variable:,Precipitación (mm)
Fecha Inicial:,05/01/1937
Fecha Final:,01/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
05,01,1937,0.0
05,02,1937,0.0
05,03,1937,0.0
05,04,1937,0.0
05,05,1937,0.0
05,06,1937,0.0
05,07,1937,0.0
05,08,1937,0.0
05,09,1937,0.0
05,10,1937,0.0
05,11,1937,0.0
05,12,1937,0.0
05,13,1937,0.0
05,14,1937,0.0
05,15,1937,0.0
05,16,1937,0.0
05,17,1937,0.0
05,18,1937,0.0
05,19,1937,0.0
05,20,1937,4.2
05,21,1937,0.0
05,22,1937,11.6
05,23,1937,79.2
05,24,1937,95.2
05,25,1937,17.4
05,26,1937,0.0
05,27,1937,83.2
05,28,1937,4.2
05,29,1937,28.2
05,30,1937,0.4
05,31,1937,11.2
06,01,1937,0.0
06,02,1937,0.0
06,03,1937,0.0
06,04,1937,0.0
06,05,1937,26.0
06,06,1937,0.0
06,07,1937,0.0
06,08,1937,0.0
06,09,1937,0.0
06,10,1937,0.0
06,11,1937,0.0
06,12,1937,0.0
06,13,1937,0.0
06,14,1937,0.0
06,15,1937,21.8
06,16,1937,0.2
06,17,1937,0.0
06,18,1937,0.8
06,19,1937,0.0
06,20,1937,0.6
06,21,1937,0.0
06,22,1937,0.0
06,23,1937,0.0
06,24,1937,0.0
06,25,1937,0.0
06,26,1937,0.7
06,27,1937,0.0
06,28,1937,0.0
06,29,1937,30.4
06,30,1937,20.0
07,01,1937,103.6
07,02,1937,25.4
07,03,1937,13.4
07,04,1937,0.0
07,05,1937,0.0
07,06,1937,0.0
07,07,1937,0.0
07,08,1937,20.0
07,09,1937,0.0
07,10,1937,0.0
07,11,1937,10.0
07,12,1937,0.0
07,13,1937,0.0
07,14,1937,0.0
07,15,1937,0.0
07,16,1937,0.0
07,17,1937,0.0
07,18,1937,0.0
07,19,1937,0.0
07,20,1937,0.0
07,21,1937,0.0
07,22,1937,0.0
07,23,1937,0.0
07,24,1937,0.0
07,25,1937,0.0
07,26,1937,0.0
07,27,1937,0.0
07,28,1937,0.0
07,29,1937,0.0
07,30,1937,0.0
07,31,1937,10.6
08,01,1937,114.7
08,02,1937,0.0
08,03,1937,0.0
08,04,1937,0.0
08,05,1937,0.0
08,06,1937,0.0
08,07,1937,1.6
08,08,1937,0.0
08,09,1937,0.0
08,10,1937,0.0
08,11,1937,0.0
08,12,1937,0.0
08,13,1937,0.0
08,14,1937,1.2
08,15,1937,0.0
08,16,1937,0.0
08,17,1937,0.0
08,18,1937,0.0
08,19,1937,0.0
08,20,1937,0.0
08,21,1937,4.7
08,22,1937,0.0
08,23,1937,1.1
08,24,1937,0.0
08,25,1937,0.0
08,26,1937,0.0
08,27,1937,0.0
08,28,1937,44.7
08,29,1937,0.0
08,30,1937,0.0
08,31,1937,0.0
09,01,1937,0.0
09,02,1937,0.0
09,03,1937,0.0
09,04,1937,0.0
09,05,1937,0.0
09,06,1937,0.0
09,07,1937,0.0
09,08,1937,4.6
09,09,1937,0.0
09,10,1937,5.1
09,11,1937,0.0
09,12,1937,0.0
09,13,1937,4.1
09,14,1937,12.1
09,15,1937,0.0
09,16,1937,1.3
09,17,1937,66.5
09,18,1937,0.0
09,19,1937,8.5
09,20,1937,0.0
09,21,1937,0.0
09,22,1937,0.0
09,23,1937,0.0
09,24,1937,0.0
09,25,1937,0.0
09,26,1937,0.0
09,27,1937,0.0
09,28,1937,0.0
09,29,1937,0.0
09,30,1937,0.0
10,01,1937,null
10,02,1937,null
10,03,1937,null
10,04,1937,null
10,05,1937,null
10,06,1937,null
10,07,1937,null
10,08,1937,null
10,09,1937,null
10,10,1937,null
10,11,1937,null
10,12,1937,null
10,13,1937,null
10,14,1937,null
10,15,1937,null
10,16,1937,null
10,17,1937,null
10,18,1937,null
10,19,1937,null
10,20,1937,null
10,21,1937,null
10,22,1937,null
10,23,1937,null
10,24,1937,null
10,25,1937,null
10,26,1937,null
10,27,1937,null
10,28,1937,null
10,29,1937,null
10,30,1937,null
10,31,1937,null
11,01,1937,null
11,02,1937,null
11,03,1937,null
11,04,1937,null
11,05,1937,null
11,06,1937,null
11,07,1937,null
11,08,1937,null
11,09,1937,null
11,10,1937,null
11,11,1937,null
11,12,1937,null
11,13,1937,null
11,14,1937,null
11,15,1937,null
11,16,1937,null
11,17,1937,null
11,18,1937,null
11,19,1937,null
11,20,1937,null
11,21,1937,null
11,22,1937,null
11,23,1937,null
11,24,1937,null
11,25,1937,null
11,26,1937,null
11,27,1937,null
11,28,1937,null
11,29,1937,null
11,30,1937,null
12,01,1937,0.0
12,02,1937,0.0
12,03,1937,0.0
12,04,1937,0.0
12,05,1937,0.0
12,06,1937,0.0
12,07,1937,0.0
12,08,1937,0.0
12,09,1937,0.0
12,10,1937,0.0
12,11,1937,0.0
12,12,1937,0.0
12,13,1937,36.2
12,14,1937,0.0
12,15,1937,0.0
12,16,1937,3.2
12,17,1937,0.0
12,18,1937,0.0
12,19,1937,0.0
12,20,1937,0.0
12,21,1937,0.0
12,22,1937,0.0
12,23,1937,0.0
12,24,1937,0.0
12,25,1937,0.0
12,26,1937,0.0
12,27,1937,0.0
12,28,1937,0.0
12,29,1937,0.0
12,30,1937,0.0
12,31,1937,0.0
01,01,1938,null
01,02,1938,null
01,03,1938,null
01,04,1938,null
01,05,1938,null
01,06,1938,null
01,07,1938,null
01,08,1938,null
01,09,1938,null
01,10,1938,null
01,11,1938,null
01,12,1938,null
01,13,1938,null
01,14,1938,null
01,15,1938,null
01,16,1938,null
01,17,1938,null
01,18,1938,null
01,19,1938,null
01,20,1938,null
01,21,1938,null
01,22,1938,null
01,23,1938,null
01,24,1938,null
01,25,1938,null
01,26,1938,null
01,27,1938,null
01,28,1938,null
01,29,1938,null
01,30,1938,null
01,31,1938,null
02,01,1938,null
02,02,1938,null
02,03,1938,null
02,04,1938,null
02,05,1938,null
02,06,1938,null
02,07,1938,null
02,08,1938,null
02,09,1938,null
02,10,1938,null
02,11,1938,null
02,12,1938,null
02,13,1938,null
02,14,1938,null
02,15,1938,null
02,16,1938,null
02,17,1938,null
02,18,1938,null
02,19,1938,null
02,20,1938,null
02,21,1938,null
02,22,1938,null
02,23,1938,null
02,24,1938,null
02,25,1938,null
02,26,1938,null
02,27,1938,null
02,28,1938,null
03,01,1938,null
03,02,1938,null
03,03,1938,null
03,04,1938,null
03,05,1938,null
03,06,1938,null
03,07,1938,null
03,08,1938,null
03,09,1938,null
03,10,1938,null
03,11,1938,null
03,12,1938,null
03,13,1938,null
03,14,1938,null
03,15,1938,null
03,16,1938,null
03,17,1938,null
03,18,1938,null
03,19,1938,null
