Id:,20174
Estación:,SAN  FELIPE USILA-OAX
Posición:,17.8830555556N -96.5252777778W
Variable:,Precipitación (mm)
Fecha Inicial:,08/01/1950
Fecha Final:,01/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1950,10.9
08,02,1950,0.0
08,03,1950,20.0
08,04,1950,8.2
08,05,1950,60.1
08,06,1950,0.0
08,07,1950,2.5
08,08,1950,0.0
08,09,1950,0.0
08,10,1950,0.0
08,11,1950,21.0
08,12,1950,0.0
08,13,1950,15.7
08,14,1950,0.0
08,15,1950,0.0
08,16,1950,0.0
08,17,1950,0.0
08,18,1950,3.5
08,19,1950,19.0
08,20,1950,0.0
08,21,1950,36.8
08,22,1950,4.5
08,23,1950,13.5
08,24,1950,22.2
08,25,1950,0.0
08,26,1950,0.0
08,27,1950,0.0
08,28,1950,0.0
08,29,1950,0.0
08,30,1950,0.0
08,31,1950,3.0
09,01,1950,4.5
09,02,1950,26.5
09,03,1950,0.0
09,04,1950,27.5
09,05,1950,0.0
09,06,1950,18.5
09,07,1950,0.0
09,08,1950,0.0
09,09,1950,0.0
09,10,1950,0.0
09,11,1950,2.8
09,12,1950,17.2
09,13,1950,1.3
09,14,1950,0.0
09,15,1950,0.0
09,16,1950,7.5
09,17,1950,45.4
09,18,1950,100.8
09,19,1950,36.5
09,20,1950,19.0
09,21,1950,8.0
09,22,1950,15.0
09,23,1950,0.0
09,24,1950,0.0
09,25,1950,1.6
09,26,1950,21.0
09,27,1950,2.6
09,28,1950,22.6
09,29,1950,0.0
09,30,1950,5.0
10,01,1950,9.3
10,02,1950,7.0
10,03,1950,3.5
10,04,1950,3.8
10,05,1950,49.5
10,06,1950,7.5
10,07,1950,0.0
10,08,1950,32.0
10,09,1950,13.0
10,10,1950,42.0
10,11,1950,110.0
10,12,1950,53.0
10,13,1950,29.0
10,14,1950,8.4
10,15,1950,8.2
10,16,1950,48.4
10,17,1950,0.0
10,18,1950,5.0
10,19,1950,0.0
10,20,1950,10.0
10,21,1950,5.3
10,22,1950,38.0
10,23,1950,10.5
10,24,1950,7.5
10,25,1950,0.0
10,26,1950,0.0
10,27,1950,0.0
10,28,1950,0.0
10,29,1950,10.5
10,30,1950,8.0
10,31,1950,0.0
11,01,1950,0.0
11,02,1950,0.0
11,03,1950,0.0
11,04,1950,0.0
11,05,1950,0.0
11,06,1950,0.0
11,07,1950,0.0
11,08,1950,0.0
11,09,1950,0.0
11,10,1950,0.0
11,11,1950,0.0
11,12,1950,0.0
11,13,1950,0.0
11,14,1950,0.0
11,15,1950,0.0
11,16,1950,0.0
11,17,1950,0.0
11,18,1950,0.0
11,19,1950,0.0
11,20,1950,17.0
11,21,1950,0.0
11,22,1950,0.0
11,23,1950,10.5
11,24,1950,50.5
11,25,1950,40.0
11,26,1950,0.0
11,27,1950,0.0
11,28,1950,0.0
11,29,1950,0.0
11,30,1950,0.0
12,01,1950,0.0
12,02,1950,0.0
12,03,1950,0.0
12,04,1950,0.0
12,05,1950,0.0
12,06,1950,0.0
12,07,1950,0.0
12,08,1950,0.0
12,09,1950,0.0
12,10,1950,0.0
12,11,1950,0.0
12,12,1950,0.0
12,13,1950,0.0
12,14,1950,0.0
12,15,1950,0.0
12,16,1950,0.0
12,17,1950,3.0
12,18,1950,0.0
12,19,1950,0.0
12,20,1950,18.0
12,21,1950,0.0
12,22,1950,0.0
12,23,1950,13.0
12,24,1950,0.0
12,25,1950,0.0
12,26,1950,0.0
12,27,1950,12.5
12,28,1950,0.0
12,29,1950,0.0
12,30,1950,0.0
12,31,1950,0.0
01,01,1951,0.0
01,02,1951,0.0
01,03,1951,0.0
01,04,1951,0.0
01,05,1951,0.0
01,06,1951,38.0
01,07,1951,0.0
01,08,1951,0.0
01,09,1951,0.0
01,10,1951,15.5
01,11,1951,0.0
01,12,1951,18.0
01,13,1951,18.5
01,14,1951,2.0
01,15,1951,4.5
01,16,1951,0.0
01,17,1951,0.0
01,18,1951,0.0
01,19,1951,0.0
01,20,1951,0.0
01,21,1951,0.0
01,22,1951,0.0
01,23,1951,0.0
01,24,1951,0.0
01,25,1951,0.0
01,26,1951,20.0
01,27,1951,0.0
01,28,1951,0.0
01,29,1951,13.0
01,30,1951,3.0
01,31,1951,0.0
02,01,1951,null
02,02,1951,null
02,03,1951,null
02,04,1951,null
02,05,1951,null
02,06,1951,null
02,07,1951,null
02,08,1951,null
02,09,1951,null
02,10,1951,null
02,11,1951,null
02,12,1951,null
02,13,1951,null
02,14,1951,null
02,15,1951,null
02,16,1951,null
02,17,1951,null
02,18,1951,null
02,19,1951,null
02,20,1951,null
02,21,1951,null
02,22,1951,null
02,23,1951,null
02,24,1951,null
02,25,1951,null
02,26,1951,null
02,27,1951,null
02,28,1951,null
03,01,1951,null
03,02,1951,null
03,03,1951,null
03,04,1951,null
03,05,1951,null
03,06,1951,null
03,07,1951,null
03,08,1951,null
03,09,1951,null
03,10,1951,null
03,11,1951,null
03,12,1951,null
03,13,1951,null
03,14,1951,null
03,15,1951,null
03,16,1951,null
03,17,1951,null
03,18,1951,null
03,19,1951,null
03,20,1951,null
03,21,1951,null
03,22,1951,null
03,23,1951,null
03,24,1951,null
03,25,1951,null
03,26,1951,null
03,27,1951,null
03,28,1951,null
03,29,1951,null
03,30,1951,null
03,31,1951,null
04,01,1951,18.0
04,02,1951,0.0
04,03,1951,39.8
04,04,1951,0.0
04,05,1951,0.0
04,06,1951,0.0
04,07,1951,0.0
04,08,1951,0.0
04,09,1951,0.0
04,10,1951,1.0
04,11,1951,0.0
04,12,1951,0.0
04,13,1951,0.0
04,14,1951,0.0
04,15,1951,7.0
04,16,1951,0.0
04,17,1951,0.0
04,18,1951,0.0
04,19,1951,0.0
04,20,1951,0.0
04,21,1951,0.0
04,22,1951,0.0
04,23,1951,0.0
04,24,1951,0.0
04,25,1951,0.0
04,26,1951,0.0
04,27,1951,0.0
04,28,1951,0.0
04,29,1951,0.0
04,30,1951,0.0
05,01,1951,0.0
05,02,1951,0.0
05,03,1951,0.0
05,04,1951,0.0
05,05,1951,0.0
05,06,1951,0.0
05,07,1951,61.0
05,08,1951,0.0
05,09,1951,0.0
05,10,1951,0.0
05,11,1951,3.0
05,12,1951,0.0
05,13,1951,24.0
05,14,1951,1.0
05,15,1951,14.5
05,16,1951,29.5
05,17,1951,26.0
05,18,1951,21.0
05,19,1951,5.3
05,20,1951,0.0
05,21,1951,0.0
05,22,1951,14.4
05,23,1951,23.0
05,24,1951,0.0
05,25,1951,0.0
05,26,1951,0.0
05,27,1951,0.0
05,28,1951,16.0
05,29,1951,0.0
05,30,1951,27.0
05,31,1951,0.0
06,01,1951,null
06,02,1951,null
06,03,1951,null
06,04,1951,null
06,05,1951,null
06,06,1951,null
06,07,1951,null
06,08,1951,null
06,09,1951,null
06,10,1951,null
06,11,1951,null
06,12,1951,null
06,13,1951,null
06,14,1951,null
06,15,1951,null
06,16,1951,null
06,17,1951,null
06,18,1951,null
06,19,1951,null
