Id:,20208
Estación:,SAN JUAN COPALA-OAX
Posición:,17.1830555556N -97.9827777778W
Variable:,Precipitación (mm)
Fecha Inicial:,12/01/1972
Fecha Final:,07/01/1985
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1972,0.0
12,02,1972,0.0
12,03,1972,0.0
12,04,1972,0.0
12,05,1972,0.0
12,06,1972,0.0
12,07,1972,0.0
12,08,1972,0.0
12,09,1972,0.0
12,10,1972,0.0
12,11,1972,0.0
12,12,1972,6.3
12,13,1972,0.0
12,14,1972,0.0
12,15,1972,3.0
12,16,1972,0.0
12,17,1972,0.0
12,18,1972,0.0
12,19,1972,1.0
12,20,1972,0.0
12,21,1972,0.0
12,22,1972,0.0
12,23,1972,0.0
12,24,1972,0.0
12,25,1972,0.0
12,26,1972,0.0
12,27,1972,0.0
12,28,1972,0.0
12,29,1972,0.0
12,30,1972,0.0
12,31,1972,0.0
01,01,1973,0.0
01,02,1973,0.0
01,03,1973,0.0
01,04,1973,0.0
01,05,1973,0.0
01,06,1973,0.0
01,07,1973,0.0
01,08,1973,0.0
01,09,1973,0.0
01,10,1973,0.0
01,11,1973,0.0
01,12,1973,0.0
01,13,1973,0.0
01,14,1973,0.0
01,15,1973,0.0
01,16,1973,0.0
01,17,1973,0.0
01,18,1973,0.0
01,19,1973,0.0
01,20,1973,0.0
01,21,1973,0.0
01,22,1973,0.0
01,23,1973,0.0
01,24,1973,0.0
01,25,1973,0.0
01,26,1973,0.0
01,27,1973,0.0
01,28,1973,0.0
01,29,1973,0.0
01,30,1973,0.0
01,31,1973,0.0
02,01,1973,0.0
02,02,1973,0.0
02,03,1973,0.0
02,04,1973,0.0
02,05,1973,0.0
02,06,1973,0.0
02,07,1973,0.0
02,08,1973,0.0
02,09,1973,0.0
02,10,1973,0.0
02,11,1973,0.0
02,12,1973,0.0
02,13,1973,0.0
02,14,1973,2.5
02,15,1973,0.7
02,16,1973,4.5
02,17,1973,0.0
02,18,1973,0.0
02,19,1973,0.0
02,20,1973,0.0
02,21,1973,0.0
02,22,1973,0.0
02,23,1973,0.0
02,24,1973,0.6
02,25,1973,0.0
02,26,1973,0.0
02,27,1973,0.3
02,28,1973,0.0
03,01,1973,0.0
03,02,1973,0.0
03,03,1973,0.0
03,04,1973,0.0
03,05,1973,0.0
03,06,1973,0.0
03,07,1973,0.0
03,08,1973,0.0
03,09,1973,0.0
03,10,1973,0.0
03,11,1973,0.0
03,12,1973,0.0
03,13,1973,0.0
03,14,1973,0.0
03,15,1973,0.0
03,16,1973,0.0
03,17,1973,0.0
03,18,1973,0.0
03,19,1973,0.0
03,20,1973,0.0
03,21,1973,0.0
03,22,1973,0.0
03,23,1973,0.0
03,24,1973,0.0
03,25,1973,0.0
03,26,1973,0.0
03,27,1973,0.0
03,28,1973,0.0
03,29,1973,0.0
03,30,1973,0.0
03,31,1973,0.0
04,01,1973,0.0
04,02,1973,0.0
04,03,1973,0.0
04,04,1973,0.0
04,05,1973,0.0
04,06,1973,59.0
04,07,1973,0.0
04,08,1973,0.0
04,09,1973,0.0
04,10,1973,0.0
04,11,1973,0.0
04,12,1973,3.5
04,13,1973,11.5
04,14,1973,19.5
04,15,1973,0.0
04,16,1973,0.0
04,17,1973,0.0
04,18,1973,0.0
04,19,1973,0.0
04,20,1973,0.0
04,21,1973,0.0
04,22,1973,0.0
04,23,1973,0.0
04,24,1973,3.5
04,25,1973,0.0
04,26,1973,0.0
04,27,1973,0.0
04,28,1973,0.0
04,29,1973,0.0
04,30,1973,7.0
05,01,1973,0.0
05,02,1973,0.0
05,03,1973,0.0
05,04,1973,0.0
05,05,1973,0.0
05,06,1973,0.0
05,07,1973,0.0
05,08,1973,0.0
05,09,1973,0.0
05,10,1973,0.0
05,11,1973,28.0
05,12,1973,0.0
05,13,1973,8.5
05,14,1973,0.0
05,15,1973,0.0
05,16,1973,3.5
05,17,1973,27.0
05,18,1973,9.5
05,19,1973,4.5
05,20,1973,0.0
05,21,1973,0.0
05,22,1973,0.0
05,23,1973,9.0
05,24,1973,5.0
05,25,1973,3.5
05,26,1973,0.0
05,27,1973,0.0
05,28,1973,3.5
05,29,1973,17.5
05,30,1973,2.5
05,31,1973,52.0
06,01,1973,27.0
06,02,1973,13.0
06,03,1973,9.0
06,04,1973,0.0
06,05,1973,95.0
06,06,1973,0.0
06,07,1973,27.0
06,08,1973,21.0
06,09,1973,2.0
06,10,1973,8.0
06,11,1973,0.0
06,12,1973,0.0
06,13,1973,15.0
06,14,1973,35.0
06,15,1973,26.0
06,16,1973,0.0
06,17,1973,0.0
06,18,1973,0.0
06,19,1973,22.0
06,20,1973,0.0
06,21,1973,42.0
06,22,1973,39.0
06,23,1973,13.0
06,24,1973,9.5
06,25,1973,0.0
06,26,1973,9.0
06,27,1973,0.0
06,28,1973,42.0
06,29,1973,6.0
06,30,1973,25.4
07,01,1973,34.0
07,02,1973,10.5
07,03,1973,3.0
07,04,1973,0.7
07,05,1973,31.0
07,06,1973,45.0
07,07,1973,18.0
07,08,1973,0.0
07,09,1973,0.0
07,10,1973,9.5
07,11,1973,0.0
07,12,1973,0.0
07,13,1973,47.4
07,14,1973,0.0
07,15,1973,0.0
07,16,1973,3.5
07,17,1973,0.0
07,18,1973,0.0
07,19,1973,0.0
07,20,1973,0.0
07,21,1973,6.5
07,22,1973,14.5
07,23,1973,3.5
07,24,1973,12.0
07,25,1973,6.5
07,26,1973,17.0
07,27,1973,68.5
07,28,1973,40.0
07,29,1973,11.0
07,30,1973,23.0
07,31,1973,11.0
08,01,1973,1.0
08,02,1973,0.0
08,03,1973,84.0
08,04,1973,11.0
08,05,1973,7.0
08,06,1973,26.5
08,07,1973,22.0
08,08,1973,14.0
08,09,1973,31.0
08,10,1973,11.5
08,11,1973,20.5
08,12,1973,10.0
08,13,1973,12.0
08,14,1973,66.0
08,15,1973,19.0
08,16,1973,21.0
08,17,1973,30.0
08,18,1973,0.0
08,19,1973,0.0
08,20,1973,5.0
