Id:,20009
Estación:,BOQUILLA NUMERO UNO-OAX
Posición:,16.6366666667N -95.9658333333W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1946
Fecha Final:,01/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1946,25.0
01,02,1946,21.75
01,03,1946,24.25
01,04,1946,25.5
01,05,1946,25.0
01,06,1946,25.0
01,07,1946,23.0
01,08,1946,24.5
01,09,1946,24.75
01,10,1946,26.0
01,11,1946,25.75
01,12,1946,25.5
01,13,1946,25.25
01,14,1946,23.75
01,15,1946,25.5
01,16,1946,21.25
01,17,1946,20.25
01,18,1946,21.75
01,19,1946,23.0
01,20,1946,26.75
01,21,1946,25.0
01,22,1946,22.0
01,23,1946,20.0
01,24,1946,18.75
01,25,1946,22.25
01,26,1946,23.25
01,27,1946,21.5
01,28,1946,24.0
01,29,1946,22.0
01,30,1946,25.0
01,31,1946,25.25
02,01,1946,22.25
02,02,1946,22.0
02,03,1946,22.25
02,04,1946,24.25
02,05,1946,24.5
02,06,1946,24.75
02,07,1946,24.5
02,08,1946,26.75
02,09,1946,27.0
02,10,1946,26.5
02,11,1946,23.75
02,12,1946,25.5
02,13,1946,26.5
02,14,1946,22.5
02,15,1946,19.25
02,16,1946,20.75
02,17,1946,23.5
02,18,1946,24.75
02,19,1946,26.5
02,20,1946,25.5
02,21,1946,25.5
02,22,1946,23.75
02,23,1946,24.5
02,24,1946,25.25
02,25,1946,25.0
02,26,1946,24.5
02,27,1946,27.0
02,28,1946,26.25
03,01,1946,23.5
03,02,1946,24.25
03,03,1946,22.5
03,04,1946,24.75
03,05,1946,27.0
03,06,1946,27.5
03,07,1946,24.75
03,08,1946,27.25
03,09,1946,22.0
03,10,1946,20.75
03,11,1946,26.5
03,12,1946,26.25
03,13,1946,25.0
03,14,1946,25.5
03,15,1946,28.75
03,16,1946,28.5
03,17,1946,29.5
03,18,1946,26.5
03,19,1946,24.75
03,20,1946,25.5
03,21,1946,23.75
03,22,1946,23.75
03,23,1946,25.75
03,24,1946,27.0
03,25,1946,27.0
03,26,1946,26.25
03,27,1946,27.75
03,28,1946,30.0
03,29,1946,29.5
03,30,1946,29.5
03,31,1946,28.5
04,01,1946,28.25
04,02,1946,26.25
04,03,1946,25.5
04,04,1946,25.25
04,05,1946,27.0
04,06,1946,25.75
04,07,1946,26.75
04,08,1946,28.5
04,09,1946,26.75
04,10,1946,27.25
04,11,1946,26.75
04,12,1946,28.0
04,13,1946,27.75
04,14,1946,27.75
04,15,1946,24.75
04,16,1946,23.5
04,17,1946,24.0
04,18,1946,26.75
04,19,1946,25.75
04,20,1946,24.25
04,21,1946,25.0
04,22,1946,26.75
04,23,1946,25.0
04,24,1946,24.75
04,25,1946,27.75
04,26,1946,28.0
04,27,1946,29.0
04,28,1946,28.0
04,29,1946,25.25
04,30,1946,27.0
05,01,1946,28.75
05,02,1946,29.0
05,03,1946,26.5
05,04,1946,24.75
05,05,1946,26.0
05,06,1946,28.0
05,07,1946,28.5
05,08,1946,27.75
05,09,1946,28.75
05,10,1946,28.0
05,11,1946,29.25
05,12,1946,29.25
05,13,1946,28.5
05,14,1946,27.5
05,15,1946,28.0
05,16,1946,26.75
05,17,1946,28.5
05,18,1946,30.5
05,19,1946,28.25
05,20,1946,25.75
05,21,1946,27.0
05,22,1946,25.0
05,23,1946,27.5
05,24,1946,27.75
05,25,1946,29.25
05,26,1946,null
05,27,1946,null
05,28,1946,null
05,29,1946,null
05,30,1946,null
05,31,1946,null
06,01,1946,null
06,02,1946,null
06,03,1946,null
06,04,1946,null
06,05,1946,null
06,06,1946,null
06,07,1946,null
06,08,1946,null
06,09,1946,null
06,10,1946,null
06,11,1946,null
06,12,1946,null
06,13,1946,null
06,14,1946,null
06,15,1946,null
06,16,1946,null
06,17,1946,null
06,18,1946,null
06,19,1946,null
06,20,1946,null
06,21,1946,null
06,22,1946,null
06,23,1946,null
06,24,1946,null
06,25,1946,null
06,26,1946,null
06,27,1946,null
06,28,1946,null
06,29,1946,null
06,30,1946,null
07,01,1946,null
07,02,1946,null
07,03,1946,null
07,04,1946,null
07,05,1946,null
07,06,1946,null
07,07,1946,null
07,08,1946,null
07,09,1946,null
07,10,1946,null
07,11,1946,null
07,12,1946,null
07,13,1946,null
07,14,1946,null
07,15,1946,null
07,16,1946,null
07,17,1946,null
07,18,1946,null
07,19,1946,null
07,20,1946,null
07,21,1946,null
07,22,1946,null
07,23,1946,27.75
07,24,1946,28.0
07,25,1946,29.0
07,26,1946,27.75
07,27,1946,28.25
07,28,1946,27.5
07,29,1946,28.5
07,30,1946,28.25
07,31,1946,27.5
08,01,1946,28.5
08,02,1946,26.5
08,03,1946,27.5
08,04,1946,28.5
08,05,1946,28.25
08,06,1946,24.5
08,07,1946,23.0
08,08,1946,26.0
08,09,1946,27.25
08,10,1946,27.0
08,11,1946,26.25
08,12,1946,27.5
08,13,1946,28.0
08,14,1946,27.5
08,15,1946,27.75
08,16,1946,26.0
08,17,1946,25.5
08,18,1946,26.75
08,19,1946,26.5
08,20,1946,27.0
08,21,1946,26.5
08,22,1946,27.5
08,23,1946,27.25
08,24,1946,27.5
08,25,1946,26.25
08,26,1946,27.0
08,27,1946,27.75
08,28,1946,27.5
08,29,1946,29.25
08,30,1946,28.25
08,31,1946,27.0
09,01,1946,26.5
09,02,1946,27.75
09,03,1946,27.5
09,04,1946,27.0
09,05,1946,26.75
09,06,1946,26.75
09,07,1946,26.75
09,08,1946,27.0
09,09,1946,25.75
09,10,1946,26.25
09,11,1946,24.25
09,12,1946,25.0
09,13,1946,25.75
09,14,1946,26.5
09,15,1946,27.0
09,16,1946,26.25
09,17,1946,26.0
09,18,1946,28.5
09,19,1946,28.75
09,20,1946,26.5
