Id:,20024
Estación:,SAN JUAN BAUTISTA CUICATLAN (DGE)-OAX
Posición:,17.8N -96.9827777778W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1950
Fecha Final:,01/01/1985
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1950,null
01,02,1950,null
01,03,1950,null
01,04,1950,null
01,05,1950,null
01,06,1950,null
01,07,1950,null
01,08,1950,null
01,09,1950,null
01,10,1950,null
01,11,1950,null
01,12,1950,null
01,13,1950,null
01,14,1950,null
01,15,1950,null
01,16,1950,null
01,17,1950,null
01,18,1950,21.5
01,19,1950,22.25
01,20,1950,18.5
01,21,1950,21.0
01,22,1950,21.0
01,23,1950,22.75
01,24,1950,25.0
01,25,1950,25.75
01,26,1950,25.5
01,27,1950,24.0
01,28,1950,23.75
01,29,1950,24.5
01,30,1950,23.75
01,31,1950,24.5
02,01,1950,27.75
02,02,1950,27.25
02,03,1950,24.0
02,04,1950,20.25
02,05,1950,22.25
02,06,1950,23.0
02,07,1950,22.75
02,08,1950,22.5
02,09,1950,24.25
02,10,1950,24.5
02,11,1950,25.25
02,12,1950,27.25
02,13,1950,28.25
02,14,1950,23.5
02,15,1950,20.5
02,16,1950,20.25
02,17,1950,21.5
02,18,1950,22.5
02,19,1950,21.0
02,20,1950,23.0
02,21,1950,24.0
02,22,1950,25.75
02,23,1950,25.0
02,24,1950,25.0
02,25,1950,25.5
02,26,1950,24.5
02,27,1950,25.5
02,28,1950,25.5
03,01,1950,24.25
03,02,1950,24.0
03,03,1950,25.0
03,04,1950,25.25
03,05,1950,25.25
03,06,1950,26.5
03,07,1950,27.75
03,08,1950,26.75
03,09,1950,21.0
03,10,1950,25.5
03,11,1950,25.0
03,12,1950,27.25
03,13,1950,25.5
03,14,1950,24.75
03,15,1950,29.0
03,16,1950,30.0
03,17,1950,28.25
03,18,1950,27.0
03,19,1950,26.5
03,20,1950,25.75
03,21,1950,26.25
03,22,1950,23.5
03,23,1950,27.75
03,24,1950,27.25
03,25,1950,27.0
03,26,1950,26.5
03,27,1950,24.75
03,28,1950,25.5
03,29,1950,24.5
03,30,1950,20.0
03,31,1950,22.0
04,01,1950,26.75
04,02,1950,24.75
04,03,1950,25.65
04,04,1950,25.0
04,05,1950,23.5
04,06,1950,24.75
04,07,1950,28.1
04,08,1950,23.5
04,09,1950,26.5
04,10,1950,25.25
04,11,1950,26.25
04,12,1950,22.0
04,13,1950,27.0
04,14,1950,23.75
04,15,1950,24.75
04,16,1950,23.25
04,17,1950,24.75
04,18,1950,23.75
04,19,1950,24.25
04,20,1950,23.75
04,21,1950,22.25
04,22,1950,23.75
04,23,1950,25.25
04,24,1950,24.5
04,25,1950,25.0
04,26,1950,25.5
04,27,1950,25.25
04,28,1950,25.75
04,29,1950,26.25
04,30,1950,25.75
05,01,1950,31.25
05,02,1950,26.5
05,03,1950,24.5
05,04,1950,24.0
05,05,1950,28.5
05,06,1950,29.25
05,07,1950,30.5
05,08,1950,27.5
05,09,1950,27.25
05,10,1950,28.0
05,11,1950,29.25
05,12,1950,29.5
05,13,1950,30.75
05,14,1950,33.0
05,15,1950,33.75
05,16,1950,34.0
05,17,1950,27.0
05,18,1950,25.25
05,19,1950,24.5
05,20,1950,29.75
05,21,1950,29.5
05,22,1950,22.0
05,23,1950,28.5
05,24,1950,29.75
05,25,1950,26.75
05,26,1950,29.25
05,27,1950,29.0
05,28,1950,28.5
05,29,1950,29.5
05,30,1950,32.25
05,31,1950,31.5
06,01,1950,27.5
06,02,1950,29.5
06,03,1950,31.25
06,04,1950,27.5
06,05,1950,29.5
06,06,1950,30.25
06,07,1950,29.0
06,08,1950,31.0
06,09,1950,28.5
06,10,1950,25.75
06,11,1950,25.5
06,12,1950,24.5
06,13,1950,25.5
06,14,1950,26.25
06,15,1950,22.75
06,16,1950,25.0
06,17,1950,26.75
06,18,1950,28.0
06,19,1950,29.0
06,20,1950,28.25
06,21,1950,29.25
06,22,1950,27.75
06,23,1950,26.75
06,24,1950,26.75
06,25,1950,27.0
06,26,1950,26.0
06,27,1950,27.25
06,28,1950,28.0
06,29,1950,27.0
06,30,1950,27.5
07,01,1950,26.25
07,02,1950,21.25
07,03,1950,25.0
07,04,1950,26.0
07,05,1950,27.75
07,06,1950,28.5
07,07,1950,28.0
07,08,1950,29.0
07,09,1950,28.0
07,10,1950,27.0
07,11,1950,30.25
07,12,1950,30.0
07,13,1950,27.0
07,14,1950,22.0
07,15,1950,25.25
07,16,1950,25.25
07,17,1950,26.75
07,18,1950,25.25
07,19,1950,23.75
07,20,1950,24.5
07,21,1950,26.0
07,22,1950,26.75
07,23,1950,27.0
07,24,1950,26.75
07,25,1950,26.75
07,26,1950,27.5
07,27,1950,28.75
07,28,1950,28.0
07,29,1950,29.5
07,30,1950,30.0
07,31,1950,28.5
08,01,1950,28.5
08,02,1950,26.0
08,03,1950,26.0
08,04,1950,26.0
08,05,1950,27.5
08,06,1950,26.75
08,07,1950,28.75
08,08,1950,29.5
08,09,1950,28.5
08,10,1950,28.25
08,11,1950,27.25
08,12,1950,27.5
08,13,1950,28.0
08,14,1950,28.0
08,15,1950,27.5
08,16,1950,26.0
08,17,1950,26.25
08,18,1950,27.75
08,19,1950,28.5
08,20,1950,29.25
08,21,1950,28.75
08,22,1950,28.5
08,23,1950,27.75
08,24,1950,28.5
08,25,1950,27.0
08,26,1950,25.25
08,27,1950,27.0
08,28,1950,29.0
08,29,1950,29.25
08,30,1950,29.0
08,31,1950,30.25
09,01,1950,28.25
09,02,1950,26.75
09,03,1950,27.5
09,04,1950,28.75
09,05,1950,27.0
09,06,1950,28.5
09,07,1950,30.0
09,08,1950,30.0
09,09,1950,29.25
09,10,1950,29.75
09,11,1950,30.25
09,12,1950,28.0
09,13,1950,27.0
09,14,1950,28.75
09,15,1950,28.75
09,16,1950,28.75
09,17,1950,29.4
09,18,1950,26.0
09,19,1950,23.75
09,20,1950,26.15
09,21,1950,25.75
09,22,1950,26.25
09,23,1950,26.75
09,24,1950,28.25
09,25,1950,27.25
09,26,1950,26.0
09,27,1950,26.25
09,28,1950,27.0
09,29,1950,27.25
09,30,1950,27.5
10,01,1950,24.25
10,02,1950,26.5
10,03,1950,28.5
10,04,1950,25.75
10,05,1950,25.25
10,06,1950,25.0
10,07,1950,26.5
10,08,1950,28.25
10,09,1950,25.25
10,10,1950,20.5
10,11,1950,20.0
10,12,1950,22.25
10,13,1950,24.5
10,14,1950,24.0
10,15,1950,22.5
10,16,1950,23.75
10,17,1950,24.25
10,18,1950,24.75
10,19,1950,25.0
10,20,1950,25.25
10,21,1950,25.25
10,22,1950,25.25
10,23,1950,25.25
10,24,1950,24.5
10,25,1950,25.0
10,26,1950,23.25
10,27,1950,23.75
10,28,1950,24.25
10,29,1950,23.25
10,30,1950,23.25
10,31,1950,23.25
11,01,1950,21.5
11,02,1950,23.75
11,03,1950,23.25
11,04,1950,18.75
11,05,1950,20.25
11,06,1950,19.75
11,07,1950,19.75
11,08,1950,19.5
11,09,1950,20.0
11,10,1950,21.5
11,11,1950,20.5
11,12,1950,21.5
11,13,1950,23.75
11,14,1950,23.75
11,15,1950,24.5
11,16,1950,24.0
11,17,1950,22.75
11,18,1950,24.0
11,19,1950,24.0
11,20,1950,25.75
11,21,1950,23.75
11,22,1950,23.25
11,23,1950,23.0
11,24,1950,19.75
11,25,1950,22.25
11,26,1950,21.25
11,27,1950,20.75
11,28,1950,19.75
11,29,1950,19.75
11,30,1950,20.25
12,01,1950,22.75
12,02,1950,22.5
12,03,1950,24.75
12,04,1950,23.5
12,05,1950,23.5
12,06,1950,19.75
12,07,1950,20.25
12,08,1950,21.5
12,09,1950,21.5
12,10,1950,21.25
12,11,1950,22.25
12,12,1950,21.0
12,13,1950,21.75
12,14,1950,21.5
12,15,1950,21.25
12,16,1950,21.25
12,17,1950,19.0
12,18,1950,20.75
12,19,1950,18.75
12,20,1950,20.0
12,21,1950,19.0
12,22,1950,20.0
12,23,1950,18.75
12,24,1950,18.25
12,25,1950,17.0
12,26,1950,21.75
12,27,1950,22.0
12,28,1950,21.75
12,29,1950,21.75
12,30,1950,22.5
12,31,1950,22.75
01,01,1951,24.75
01,02,1951,21.75
01,03,1951,24.5
01,04,1951,22.5
01,05,1951,23.0
01,06,1951,24.25
01,07,1951,17.5
01,08,1951,18.25
01,09,1951,19.0
01,10,1951,21.25
01,11,1951,22.5
01,12,1951,23.25
01,13,1951,24.5
01,14,1951,22.5
01,15,1951,19.0
01,16,1951,20.0
01,17,1951,18.75
01,18,1951,21.25
01,19,1951,22.0
01,20,1951,24.5
01,21,1951,23.75
01,22,1951,21.25
01,23,1951,24.0
01,24,1951,22.75
01,25,1951,20.75
01,26,1951,20.0
01,27,1951,22.0
01,28,1951,23.5
01,29,1951,22.5
01,30,1951,23.0
01,31,1951,25.0
02,01,1951,22.0
02,02,1951,17.0
02,03,1951,17.5
02,04,1951,19.5
02,05,1951,20.75
02,06,1951,23.5
02,07,1951,21.75
02,08,1951,20.25
02,09,1951,21.75
02,10,1951,19.75
02,11,1951,20.5
02,12,1951,21.25
02,13,1951,20.75
02,14,1951,19.75
02,15,1951,22.0
02,16,1951,21.0
02,17,1951,23.0
02,18,1951,25.0
02,19,1951,26.5
02,20,1951,27.5
02,21,1951,23.0
02,22,1951,22.75
02,23,1951,23.0
02,24,1951,23.5
02,25,1951,24.25
02,26,1951,26.0
02,27,1951,25.25
02,28,1951,27.25
03,01,1951,26.5
03,02,1951,27.5
03,03,1951,28.0
03,04,1951,28.25
03,05,1951,28.0
03,06,1951,26.5
03,07,1951,26.25
03,08,1951,25.0
03,09,1951,26.0
03,10,1951,26.0
03,11,1951,28.25
03,12,1951,22.25
03,13,1951,17.25
03,14,1951,20.75
03,15,1951,22.0
03,16,1951,25.25
03,17,1951,26.75
03,18,1951,27.0
03,19,1951,26.25
03,20,1951,17.0
03,21,1951,23.75
03,22,1951,25.5
03,23,1951,27.0
03,24,1951,26.75
03,25,1951,26.5
03,26,1951,29.25
03,27,1951,23.0
03,28,1951,30.5
03,29,1951,28.75
03,30,1951,20.5
03,31,1951,26.5
04,01,1951,33.25
04,02,1951,28.75
04,03,1951,25.0
04,04,1951,27.0
04,05,1951,24.0
04,06,1951,28.75
04,07,1951,31.75
04,08,1951,28.5
04,09,1951,28.75
04,10,1951,28.5
04,11,1951,29.0
04,12,1951,24.25
04,13,1951,23.25
04,14,1951,26.0
04,15,1951,29.5
04,16,1951,31.0
04,17,1951,28.5
04,18,1951,30.5
04,19,1951,30.0
04,20,1951,30.5
04,21,1951,31.0
04,22,1951,30.5
04,23,1951,29.0
04,24,1951,27.75
04,25,1951,28.5
04,26,1951,29.25
04,27,1951,28.5
04,28,1951,29.0
04,29,1951,29.25
04,30,1951,30.25
05,01,1951,null
05,02,1951,null
05,03,1951,null
05,04,1951,null
05,05,1951,null
05,06,1951,null
05,07,1951,null
05,08,1951,null
05,09,1951,null
05,10,1951,null
05,11,1951,null
05,12,1951,null
05,13,1951,null
05,14,1951,null
05,15,1951,null
05,16,1951,null
05,17,1951,null
05,18,1951,null
05,19,1951,null
05,20,1951,null
05,21,1951,null
05,22,1951,null
05,23,1951,null
05,24,1951,null
05,25,1951,null
05,26,1951,null
05,27,1951,null
05,28,1951,null
05,29,1951,null
05,30,1951,null
05,31,1951,null
06,01,1951,25.0
06,02,1951,27.75
06,03,1951,28.0
06,04,1951,29.25
06,05,1951,26.0
06,06,1951,26.25
06,07,1951,28.5
06,08,1951,30.25
06,09,1951,30.25
06,10,1951,29.0
06,11,1951,29.25
06,12,1951,30.0
06,13,1951,29.5
06,14,1951,27.5
06,15,1951,28.75
06,16,1951,31.25
06,17,1951,32.25
06,18,1951,31.0
06,19,1951,30.0
06,20,1951,29.5
06,21,1951,29.0
06,22,1951,29.0
06,23,1951,29.75
06,24,1951,30.25
06,25,1951,29.25
06,26,1951,26.5
06,27,1951,26.25
06,28,1951,28.5
06,29,1951,27.0
06,30,1951,27.75
07,01,1951,null
07,02,1951,null
07,03,1951,null
07,04,1951,null
07,05,1951,null
07,06,1951,null
07,07,1951,null
07,08,1951,null
07,09,1951,null
07,10,1951,null
07,11,1951,null
07,12,1951,null
07,13,1951,null
07,14,1951,null
07,15,1951,null
07,16,1951,null
07,17,1951,null
07,18,1951,null
07,19,1951,null
07,20,1951,null
07,21,1951,null
07,22,1951,null
07,23,1951,null
07,24,1951,null
07,25,1951,null
07,26,1951,null
07,27,1951,null
07,28,1951,null
07,29,1951,null
07,30,1951,null
07,31,1951,null
08,01,1951,27.5
08,02,1951,25.75
08,03,1951,31.0
08,04,1951,25.0
08,05,1951,26.25
08,06,1951,26.0
08,07,1951,27.5
08,08,1951,26.75
08,09,1951,28.75
08,10,1951,27.0
08,11,1951,27.75
08,12,1951,26.75
08,13,1951,26.0
08,14,1951,25.75
08,15,1951,26.5
08,16,1951,27.5
08,17,1951,28.25
08,18,1951,27.75
08,19,1951,28.5
08,20,1951,27.5
08,21,1951,30.0
08,22,1951,28.25
08,23,1951,27.5
08,24,1951,25.75
08,25,1951,27.5
08,26,1951,27.5
08,27,1951,28.5
08,28,1951,28.75
08,29,1951,26.25
08,30,1951,22.25
08,31,1951,25.75
09,01,1951,27.0
09,02,1951,27.25
09,03,1951,27.5
09,04,1951,27.75
09,05,1951,27.0
09,06,1951,25.0
09,07,1951,26.5
09,08,1951,25.75
09,09,1951,25.75
09,10,1951,27.25
09,11,1951,28.0
09,12,1951,27.0
09,13,1951,26.0
09,14,1951,26.5
09,15,1951,26.5
09,16,1951,26.75
09,17,1951,25.0
09,18,1951,25.75
09,19,1951,27.25
09,20,1951,27.25
09,21,1951,26.75
09,22,1951,25.5
09,23,1951,26.25
09,24,1951,26.75
09,25,1951,26.5
09,26,1951,27.75
09,27,1951,26.75
09,28,1951,25.75
09,29,1951,26.25
09,30,1951,27.25
10,01,1951,26.5
10,02,1951,27.25
10,03,1951,26.25
10,04,1951,25.75
10,05,1951,27.75
10,06,1951,26.75
10,07,1951,27.25
10,08,1951,29.5
10,09,1951,28.0
10,10,1951,25.5
10,11,1951,21.5
10,12,1951,21.5
10,13,1951,24.0
10,14,1951,24.0
10,15,1951,23.5
10,16,1951,24.5
10,17,1951,25.25
10,18,1951,25.25
10,19,1951,25.75
10,20,1951,25.75
10,21,1951,28.0
10,22,1951,27.5
10,23,1951,29.0
10,24,1951,28.25
10,25,1951,26.5
10,26,1951,26.25
10,27,1951,25.75
10,28,1951,26.0
10,29,1951,26.5
10,30,1951,26.0
10,31,1951,28.0
11,01,1951,28.5
11,02,1951,27.5
11,03,1951,28.5
11,04,1951,27.5
11,05,1951,25.25
11,06,1951,25.25
11,07,1951,22.0
11,08,1951,21.25
11,09,1951,19.0
11,10,1951,22.5
11,11,1951,24.25
11,12,1951,26.0
11,13,1951,28.0
11,14,1951,27.25
11,15,1951,26.75
11,16,1951,20.75
11,17,1951,18.5
11,18,1951,20.5
11,19,1951,22.25
11,20,1951,21.25
11,21,1951,22.25
11,22,1951,21.25
11,23,1951,23.0
11,24,1951,24.75
11,25,1951,29.75
11,26,1951,25.5
11,27,1951,23.5
11,28,1951,23.0
11,29,1951,22.75
11,30,1951,null
12,01,1951,22.8
12,02,1951,24.25
12,03,1951,25.75
12,04,1951,26.75
12,05,1951,27.5
12,06,1951,26.5
12,07,1951,26.5
12,08,1951,23.75
12,09,1951,22.5
12,10,1951,21.75
12,11,1951,22.5
12,12,1951,21.0
12,13,1951,22.0
12,14,1951,25.5
12,15,1951,23.5
12,16,1951,21.75
12,17,1951,23.75
12,18,1951,25.5
12,19,1951,26.5
12,20,1951,27.25
12,21,1951,26.25
12,22,1951,21.0
12,23,1951,22.75
12,24,1951,23.25
12,25,1951,25.0
12,26,1951,24.0
12,27,1951,24.25
12,28,1951,23.25
12,29,1951,23.0
12,30,1951,24.0
12,31,1951,25.0
01,01,1952,null
01,02,1952,null
01,03,1952,null
01,04,1952,null
01,05,1952,null
01,06,1952,null
01,07,1952,null
01,08,1952,null
01,09,1952,null
01,10,1952,null
01,11,1952,null
01,12,1952,null
01,13,1952,null
01,14,1952,null
01,15,1952,null
01,16,1952,null
01,17,1952,null
01,18,1952,null
01,19,1952,null
01,20,1952,null
01,21,1952,null
01,22,1952,null
01,23,1952,null
01,24,1952,null
01,25,1952,null
01,26,1952,null
01,27,1952,null
01,28,1952,null
01,29,1952,null
01,30,1952,null
01,31,1952,null
02,01,1952,23.5
02,02,1952,24.5
02,03,1952,24.75
02,04,1952,21.25
02,05,1952,20.5
02,06,1952,21.75
02,07,1952,17.75
02,08,1952,21.0
02,09,1952,24.0
02,10,1952,23.75
02,11,1952,25.0
02,12,1952,24.5
02,13,1952,27.75
02,14,1952,28.5
02,15,1952,25.75
02,16,1952,23.5
02,17,1952,22.5
02,18,1952,25.25
02,19,1952,26.0
02,20,1952,26.0
02,21,1952,25.25
02,22,1952,28.0
02,23,1952,29.25
02,24,1952,28.5
02,25,1952,29.25
02,26,1952,21.0
02,27,1952,18.25
02,28,1952,20.75
02,29,1952,24.5
03,01,1952,26.75
03,02,1952,28.75
03,03,1952,30.5
03,04,1952,25.75
03,05,1952,26.0
