Id:,22070
Estación:,PLANTEL 7-QRO
Posición:,20.6055555556N -100.338888889W
Variable:,Precipitación (mm)
Fecha Inicial:,04/01/1996
Fecha Final:,10/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
04,01,1996,0.0
04,02,1996,0.0
04,03,1996,0.0
04,04,1996,0.0
04,05,1996,0.0
04,06,1996,0.0
04,07,1996,0.0
04,08,1996,0.0
04,09,1996,0.0
04,10,1996,0.0
04,11,1996,0.0
04,12,1996,0.0
04,13,1996,0.0
04,14,1996,0.0
04,15,1996,0.0
04,16,1996,0.0
04,17,1996,0.0
04,18,1996,0.0
04,19,1996,0.0
04,20,1996,0.0
04,21,1996,0.0
04,22,1996,0.0
04,23,1996,0.0
04,24,1996,0.0
04,25,1996,0.0
04,26,1996,0.0
04,27,1996,0.0
04,28,1996,0.0
04,29,1996,0.0
04,30,1996,0.0
05,01,1996,0.0
05,02,1996,0.0
05,03,1996,0.0
05,04,1996,0.0
05,05,1996,0.0
05,06,1996,0.0
05,07,1996,0.0
05,08,1996,5.0
05,09,1996,0.0
05,10,1996,0.0
05,11,1996,0.0
05,12,1996,0.0
05,13,1996,0.0
05,14,1996,0.0
05,15,1996,0.0
05,16,1996,0.0
05,17,1996,0.0
05,18,1996,0.0
05,19,1996,0.0
05,20,1996,0.0
05,21,1996,0.0
05,22,1996,0.0
05,23,1996,0.0
05,24,1996,0.0
05,25,1996,0.0
05,26,1996,10.0
05,27,1996,0.0
05,28,1996,0.0
05,29,1996,0.0
05,30,1996,0.0
05,31,1996,0.0
06,01,1996,0.0
06,02,1996,0.0
06,03,1996,0.0
06,04,1996,0.0
06,05,1996,0.0
06,06,1996,0.0
06,07,1996,0.0
06,08,1996,0.0
06,09,1996,0.0
06,10,1996,2.0
06,11,1996,3.0
06,12,1996,0.0
06,13,1996,0.0
06,14,1996,0.0
06,15,1996,0.0
06,16,1996,0.0
06,17,1996,3.0
06,18,1996,36.0
06,19,1996,0.0
06,20,1996,0.0
06,21,1996,2.2
06,22,1996,0.0
06,23,1996,3.0
