Id:,22017
Estación:,TOLIMAN-QRO
Posición:,20.8572222222N -99.8980555556W
Variable:,Temp Promedio (oC)
Fecha Inicial:,02/01/1927
Fecha Final:,01/02/2007
No Dato:,nan
Mes,Día,Anio,Datos
02,01,1927,15.75
02,02,1927,15.5
02,03,1927,16.05
02,04,1927,16.0
02,05,1927,16.0
02,06,1927,17.75
02,07,1927,16.0
02,08,1927,16.0
02,09,1927,15.25
02,10,1927,15.0
02,11,1927,17.25
02,12,1927,15.0
02,13,1927,14.0
02,14,1927,14.75
02,15,1927,14.75
02,16,1927,16.5
02,17,1927,16.75
02,18,1927,16.75
02,19,1927,19.25
02,20,1927,17.0
02,21,1927,16.75
02,22,1927,16.5
02,23,1927,16.25
02,24,1927,16.25
02,25,1927,15.25
02,26,1927,15.0
02,27,1927,15.25
02,28,1927,null
03,01,1927,null
03,02,1927,null
03,03,1927,15.75
03,04,1927,15.75
03,05,1927,16.0
03,06,1927,16.0
03,07,1927,15.75
03,08,1927,16.0
03,09,1927,15.0
03,10,1927,15.75
03,11,1927,15.5
03,12,1927,15.75
03,13,1927,15.75
03,14,1927,15.75
03,15,1927,15.5
03,16,1927,15.25
03,17,1927,15.25
03,18,1927,14.75
03,19,1927,15.0
03,20,1927,15.0
03,21,1927,15.5
03,22,1927,16.25
03,23,1927,16.25
03,24,1927,16.0
03,25,1927,16.0
03,26,1927,16.25
03,27,1927,16.5
03,28,1927,16.75
03,29,1927,16.5
03,30,1927,17.25
03,31,1927,16.5
04,01,1927,16.5
04,02,1927,15.25
04,03,1927,15.25
04,04,1927,15.0
04,05,1927,15.25
04,06,1927,15.25
04,07,1927,15.25
04,08,1927,16.5
04,09,1927,15.5
04,10,1927,15.5
04,11,1927,16.0
04,12,1927,15.75
04,13,1927,15.75
04,14,1927,17.0
04,15,1927,16.0
04,16,1927,16.0
04,17,1927,16.0
04,18,1927,16.0
04,19,1927,15.5
04,20,1927,15.5
04,21,1927,15.5
04,22,1927,15.5
04,23,1927,15.5
04,24,1927,15.0
04,25,1927,14.75
04,26,1927,14.25
04,27,1927,14.75
04,28,1927,14.75
04,29,1927,14.75
04,30,1927,14.75
05,01,1927,15.25
05,02,1927,15.25
05,03,1927,15.25
05,04,1927,14.75
05,05,1927,15.5
05,06,1927,15.75
05,07,1927,15.25
05,08,1927,15.5
05,09,1927,15.5
05,10,1927,15.5
05,11,1927,16.0
05,12,1927,16.75
05,13,1927,16.25
05,14,1927,15.5
05,15,1927,15.5
05,16,1927,15.5
05,17,1927,15.0
05,18,1927,15.75
05,19,1927,16.0
05,20,1927,16.75
05,21,1927,17.25
05,22,1927,16.0
05,23,1927,15.5
05,24,1927,15.5
05,25,1927,15.5
05,26,1927,15.5
05,27,1927,16.0
05,28,1927,16.5
05,29,1927,16.25
05,30,1927,16.25
05,31,1927,16.25
06,01,1927,null
06,02,1927,null
06,03,1927,null
06,04,1927,null
06,05,1927,null
06,06,1927,null
06,07,1927,null
06,08,1927,null
06,09,1927,null
06,10,1927,null
06,11,1927,null
06,12,1927,null
06,13,1927,null
06,14,1927,null
06,15,1927,null
06,16,1927,null
06,17,1927,null
06,18,1927,null
06,19,1927,null
06,20,1927,null
06,21,1927,null
06,22,1927,null
06,23,1927,null
06,24,1927,null
06,25,1927,null
06,26,1927,null
06,27,1927,null
06,28,1927,null
06,29,1927,null
06,30,1927,null
07,01,1927,null
07,02,1927,null
07,03,1927,null
07,04,1927,null
07,05,1927,null
07,06,1927,null
07,07,1927,null
07,08,1927,null
07,09,1927,null
07,10,1927,null
07,11,1927,null
07,12,1927,null
07,13,1927,null
07,14,1927,null
07,15,1927,null
07,16,1927,null
07,17,1927,null
07,18,1927,null
07,19,1927,null
07,20,1927,null
07,21,1927,null
07,22,1927,null
07,23,1927,null
07,24,1927,null
07,25,1927,null
07,26,1927,null
07,27,1927,null
07,28,1927,null
07,29,1927,null
07,30,1927,null
07,31,1927,null
08,01,1927,null
08,02,1927,null
08,03,1927,null
08,04,1927,null
08,05,1927,null
08,06,1927,null
08,07,1927,null
08,08,1927,null
08,09,1927,null
08,10,1927,null
08,11,1927,null
08,12,1927,null
08,13,1927,null
08,14,1927,null
08,15,1927,null
08,16,1927,null
08,17,1927,null
08,18,1927,null
08,19,1927,null
08,20,1927,null
08,21,1927,null
08,22,1927,null
08,23,1927,null
08,24,1927,null
08,25,1927,null
08,26,1927,null
08,27,1927,null
08,28,1927,null
08,29,1927,null
08,30,1927,null
08,31,1927,null
09,01,1927,null
09,02,1927,null
09,03,1927,null
09,04,1927,null
09,05,1927,null
09,06,1927,null
09,07,1927,null
09,08,1927,null
09,09,1927,null
09,10,1927,null
09,11,1927,null
09,12,1927,null
09,13,1927,null
09,14,1927,null
09,15,1927,null
09,16,1927,null
09,17,1927,null
09,18,1927,null
09,19,1927,null
09,20,1927,null
09,21,1927,null
09,22,1927,null
09,23,1927,null
09,24,1927,null
09,25,1927,null
09,26,1927,null
09,27,1927,null
09,28,1927,null
09,29,1927,null
09,30,1927,null
10,01,1927,null
10,02,1927,16.25
10,03,1927,16.25
10,04,1927,16.25
10,05,1927,15.5
10,06,1927,16.25
10,07,1927,16.5
10,08,1927,15.75
10,09,1927,16.75
10,10,1927,15.5
10,11,1927,14.75
10,12,1927,15.75
10,13,1927,15.75
10,14,1927,16.0
10,15,1927,15.5
10,16,1927,15.75
10,17,1927,15.75
10,18,1927,16.0
10,19,1927,15.25
10,20,1927,15.75
10,21,1927,16.0
10,22,1927,15.75
10,23,1927,15.5
10,24,1927,16.0
10,25,1927,15.5
10,26,1927,15.75
10,27,1927,16.0
10,28,1927,16.0
10,29,1927,15.75
10,30,1927,15.5
10,31,1927,16.0
11,01,1927,null
11,02,1927,16.0
11,03,1927,16.0
11,04,1927,16.0
11,05,1927,15.75
11,06,1927,15.75
11,07,1927,16.5
11,08,1927,16.0
11,09,1927,16.0
11,10,1927,15.75
11,11,1927,16.0
11,12,1927,16.0
11,13,1927,15.5
11,14,1927,15.0
11,15,1927,15.5
11,16,1927,16.0
11,17,1927,16.0
11,18,1927,15.75
11,19,1927,16.0
11,20,1927,16.0
11,21,1927,16.0
11,22,1927,15.75
11,23,1927,15.75
11,24,1927,16.0
11,25,1927,16.0
11,26,1927,16.0
11,27,1927,16.0
11,28,1927,16.0
11,29,1927,16.0
11,30,1927,15.75
12,01,1927,null
12,02,1927,null
12,03,1927,null
12,04,1927,null
12,05,1927,null
12,06,1927,null
12,07,1927,null
12,08,1927,null
