Id:,24155
Estación:,ESCUELA DE AGRONOMIA-SLP
Posición:,22.2333333333N -100.864166667W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1980
Fecha Final:,03/01/1994
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1980,9.25
01,02,1980,11.25
01,03,1980,8.5
01,04,1980,8.35
01,05,1980,9.2
01,06,1980,13.0
01,07,1980,13.25
01,08,1980,15.75
01,09,1980,14.0
01,10,1980,13.9
01,11,1980,15.25
01,12,1980,15.0
01,13,1980,13.5
01,14,1980,13.5
01,15,1980,14.0
01,16,1980,14.6
01,17,1980,14.15
01,18,1980,18.5
01,19,1980,14.5
01,20,1980,13.25
01,21,1980,13.75
01,22,1980,13.75
01,23,1980,13.5
01,24,1980,6.6
01,25,1980,7.75
01,26,1980,8.5
01,27,1980,9.45
01,28,1980,12.95
01,29,1980,13.0
01,30,1980,14.35
01,31,1980,12.25
02,01,1980,13.25
02,02,1980,14.25
02,03,1980,12.75
02,04,1980,10.4
02,05,1980,11.2
02,06,1980,13.0
02,07,1980,14.5
02,08,1980,19.75
02,09,1980,15.5
02,10,1980,11.25
02,11,1980,14.5
02,12,1980,12.5
02,13,1980,12.75
02,14,1980,14.0
02,15,1980,14.75
02,16,1980,15.75
02,17,1980,18.75
02,18,1980,20.25
02,19,1980,15.5
02,20,1980,16.75
02,21,1980,16.25
02,22,1980,14.5
02,23,1980,16.5
02,24,1980,16.5
02,25,1980,14.0
02,26,1980,10.5
02,27,1980,8.5
02,28,1980,14.0
02,29,1980,16.0
03,01,1980,14.0
03,02,1980,8.5
03,03,1980,12.95
03,04,1980,20.0
03,05,1980,17.0
03,06,1980,19.0
03,07,1980,18.25
03,08,1980,18.25
03,09,1980,20.5
03,10,1980,20.0
03,11,1980,22.0
03,12,1980,19.25
03,13,1980,14.75
03,14,1980,16.0
03,15,1980,18.75
03,16,1980,20.0
03,17,1980,19.5
03,18,1980,15.25
03,19,1980,17.5
03,20,1980,19.75
03,21,1980,19.75
03,22,1980,19.0
03,23,1980,21.75
03,24,1980,20.25
03,25,1980,19.75
03,26,1980,21.25
03,27,1980,21.0
03,28,1980,20.25
03,29,1980,24.5
03,30,1980,20.75
