Id:,24167
Estación:,MATLAPA (OBS)-SLP
Posición:,21.3266666667N -98.8472222222W
Variable:,Temp Promedio (oC)
Fecha Inicial:,05/01/1993
Fecha Final:,01/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
05,01,1993,27.45
05,02,1993,27.1
05,03,1993,29.45
05,04,1993,27.6
05,05,1993,28.65
05,06,1993,28.25
05,07,1993,29.25
05,08,1993,26.5
05,09,1993,29.25
05,10,1993,26.75
05,11,1993,19.75
05,12,1993,22.35
05,13,1993,26.1
05,14,1993,25.45
05,15,1993,23.85
05,16,1993,25.8
05,17,1993,27.75
05,18,1993,26.4
05,19,1993,27.4
05,20,1993,26.7
05,21,1993,27.25
05,22,1993,25.35
05,23,1993,26.75
05,24,1993,27.75
05,25,1993,26.65
05,26,1993,24.7
05,27,1993,25.45
05,28,1993,26.15
05,29,1993,27.05
05,30,1993,26.7
05,31,1993,27.35
06,01,1993,28.3
06,02,1993,26.25
06,03,1993,27.2
06,04,1993,28.45
06,05,1993,29.95
06,06,1993,28.95
06,07,1993,29.9
06,08,1993,30.65
06,09,1993,30.35
06,10,1993,29.25
06,11,1993,28.4
06,12,1993,26.6
06,13,1993,23.4
06,14,1993,26.1
06,15,1993,22.85
06,16,1993,23.45
06,17,1993,26.85
06,18,1993,26.5
06,19,1993,27.95
06,20,1993,28.75
06,21,1993,27.4
06,22,1993,25.8
06,23,1993,25.15
06,24,1993,23.95
06,25,1993,26.95
06,26,1993,27.2
06,27,1993,26.85
06,28,1993,25.15
06,29,1993,24.85
06,30,1993,26.85
07,01,1993,27.15
07,02,1993,26.4
07,03,1993,26.8
07,04,1993,27.0
07,05,1993,27.4
07,06,1993,27.0
07,07,1993,23.9
07,08,1993,24.4
07,09,1993,24.7
07,10,1993,25.15
07,11,1993,26.5
07,12,1993,27.25
07,13,1993,28.3
07,14,1993,28.8
07,15,1993,28.5
07,16,1993,28.35
07,17,1993,28.85
07,18,1993,28.65
07,19,1993,28.35
07,20,1993,28.7
07,21,1993,28.35
07,22,1993,29.35
07,23,1993,29.25
07,24,1993,29.1
07,25,1993,28.2
07,26,1993,28.4
07,27,1993,28.55
07,28,1993,28.35
07,29,1993,27.2
07,30,1993,27.95
07,31,1993,null
08,01,1993,27.95
08,02,1993,28.45
08,03,1993,28.2
08,04,1993,29.0
08,05,1993,28.15
08,06,1993,26.4
08,07,1993,28.7
08,08,1993,28.15
08,09,1993,27.0
08,10,1993,28.05
08,11,1993,28.05
08,12,1993,27.3
08,13,1993,27.05
08,14,1993,28.45
08,15,1993,27.4
08,16,1993,27.6
08,17,1993,28.4
08,18,1993,26.55
08,19,1993,27.95
08,20,1993,26.85
08,21,1993,26.9
08,22,1993,26.45
08,23,1993,26.8
08,24,1993,27.25
08,25,1993,27.25
08,26,1993,27.2
08,27,1993,26.8
08,28,1993,27.1
08,29,1993,26.95
08,30,1993,27.85
08,31,1993,28.35
09,01,1993,26.8
09,02,1993,26.3
09,03,1993,26.35
09,04,1993,28.05
09,05,1993,27.25
09,06,1993,27.1
09,07,1993,28.75
09,08,1993,28.45
09,09,1993,28.2
09,10,1993,27.65
09,11,1993,24.9
