Id:,26069
Estación:,PRESA LA ANGOSTURA-SON
Posición:,30.4416666667N -109.389722222W
Variable:,Temp Promedio (oC)
Fecha Inicial:,10/01/1937
Fecha Final:,11/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
10,01,1937,null
10,02,1937,null
10,03,1937,null
10,04,1937,null
10,05,1937,null
10,06,1937,null
10,07,1937,null
10,08,1937,null
10,09,1937,28.5
10,10,1937,21.25
10,11,1937,23.75
10,12,1937,25.5
10,13,1937,20.25
10,14,1937,22.0
10,15,1937,22.25
10,16,1937,20.25
10,17,1937,19.5
10,18,1937,20.0
10,19,1937,21.75
10,20,1937,23.0
10,21,1937,23.5
10,22,1937,22.5
10,23,1937,22.5
10,24,1937,23.0
10,25,1937,22.75
10,26,1937,21.75
10,27,1937,23.75
10,28,1937,22.75
10,29,1937,22.75
10,30,1937,23.5
10,31,1937,22.0
11,01,1937,21.25
11,02,1937,20.25
11,03,1937,22.0
11,04,1937,20.75
11,05,1937,20.5
11,06,1937,20.75
11,07,1937,21.0
11,08,1937,21.75
11,09,1937,12.0
11,10,1937,13.25
11,11,1937,17.25
11,12,1937,19.5
11,13,1937,19.0
11,14,1937,17.75
11,15,1937,15.5
11,16,1937,14.75
11,17,1937,16.0
11,18,1937,16.75
11,19,1937,16.5
11,20,1937,16.75
11,21,1937,17.75
11,22,1937,16.5
11,23,1937,15.25
11,24,1937,15.25
11,25,1937,16.0
11,26,1937,15.5
11,27,1937,15.0
11,28,1937,15.25
11,29,1937,15.0
11,30,1937,12.25
12,01,1937,15.0
12,02,1937,14.5
12,03,1937,16.75
12,04,1937,12.25
12,05,1937,10.5
12,06,1937,10.75
12,07,1937,12.0
12,08,1937,12.0
12,09,1937,14.0
12,10,1937,13.5
12,11,1937,15.0
12,12,1937,16.0
12,13,1937,13.25
12,14,1937,10.5
12,15,1937,9.0
12,16,1937,10.25
12,17,1937,10.75
12,18,1937,10.75
12,19,1937,12.0
12,20,1937,11.5
12,21,1937,7.5
12,22,1937,5.25
12,23,1937,9.0
12,24,1937,13.0
12,25,1937,15.75
12,26,1937,13.0
12,27,1937,12.75
12,28,1937,13.5
12,29,1937,14.5
12,30,1937,14.75
12,31,1937,15.0
01,01,1938,14.25
01,02,1938,15.25
01,03,1938,15.75
01,04,1938,16.75
01,05,1938,11.5
01,06,1938,10.5
01,07,1938,9.0
01,08,1938,11.0
01,09,1938,11.5
01,10,1938,10.75
01,11,1938,11.5
01,12,1938,10.75
01,13,1938,14.75
01,14,1938,15.5
01,15,1938,15.0
01,16,1938,17.75
01,17,1938,16.0
01,18,1938,16.0
01,19,1938,15.5
01,20,1938,13.5
01,21,1938,4.0
01,22,1938,7.75
01,23,1938,10.75
01,24,1938,8.5
01,25,1938,9.0
01,26,1938,10.0
01,27,1938,10.0
01,28,1938,11.5
01,29,1938,12.25
01,30,1938,10.5
01,31,1938,11.75
02,01,1938,13.25
02,02,1938,13.75
02,03,1938,15.75
02,04,1938,15.5
02,05,1938,14.5
02,06,1938,14.0
02,07,1938,16.0
02,08,1938,15.5
02,09,1938,17.25
02,10,1938,18.0
02,11,1938,18.5
02,12,1938,18.0
02,13,1938,18.75
02,14,1938,18.5
02,15,1938,16.0
02,16,1938,14.0
02,17,1938,10.0
02,18,1938,7.0
02,19,1938,11.0
02,20,1938,8.75
02,21,1938,10.75
02,22,1938,13.0
02,23,1938,14.5
02,24,1938,15.75
02,25,1938,13.5
02,26,1938,15.75
02,27,1938,13.75
02,28,1938,19.0
03,01,1938,19.0
03,02,1938,18.75
03,03,1938,19.75
03,04,1938,13.0
03,05,1938,10.5
03,06,1938,11.75
03,07,1938,14.5
03,08,1938,15.25
03,09,1938,15.5
03,10,1938,17.5
03,11,1938,20.5
03,12,1938,18.5
03,13,1938,19.25
03,14,1938,17.5
03,15,1938,19.0
03,16,1938,20.5
03,17,1938,19.0
03,18,1938,18.5
03,19,1938,17.75
03,20,1938,19.5
03,21,1938,19.0
03,22,1938,18.5
03,23,1938,19.75
03,24,1938,21.5
03,25,1938,21.75
03,26,1938,20.25
03,27,1938,14.25
03,28,1938,13.75
03,29,1938,15.25
03,30,1938,17.5
03,31,1938,17.5
04,01,1938,16.0
04,02,1938,17.5
04,03,1938,21.0
04,04,1938,21.75
04,05,1938,21.5
04,06,1938,18.75
04,07,1938,16.25
04,08,1938,15.25
04,09,1938,17.75
04,10,1938,20.0
04,11,1938,21.75
04,12,1938,22.0
04,13,1938,20.75
04,14,1938,16.5
04,15,1938,17.5
04,16,1938,19.5
04,17,1938,23.0
04,18,1938,24.5
04,19,1938,26.75
04,20,1938,25.5
04,21,1938,26.5
04,22,1938,26.5
04,23,1938,26.0
04,24,1938,25.75
04,25,1938,25.0
04,26,1938,23.0
04,27,1938,22.5
04,28,1938,24.75
04,29,1938,22.75
04,30,1938,24.0
05,01,1938,23.75
05,02,1938,22.75
05,03,1938,19.0
05,04,1938,19.5
05,05,1938,23.0
05,06,1938,22.5
05,07,1938,22.25
05,08,1938,24.0
05,09,1938,24.25
05,10,1938,24.75
05,11,1938,25.5
05,12,1938,26.0
05,13,1938,27.0
05,14,1938,30.0
05,15,1938,31.0
05,16,1938,30.5
05,17,1938,24.75
05,18,1938,22.25
05,19,1938,23.5
05,20,1938,26.75
05,21,1938,25.5
05,22,1938,27.0
05,23,1938,27.0
05,24,1938,29.25
05,25,1938,30.5
05,26,1938,31.25
05,27,1938,31.5
05,28,1938,29.25
05,29,1938,30.25
05,30,1938,29.75
05,31,1938,31.5
06,01,1938,33.0
06,02,1938,34.0
06,03,1938,34.25
06,04,1938,33.75
06,05,1938,34.75
06,06,1938,33.0
06,07,1938,32.75
06,08,1938,29.25
06,09,1938,28.5
06,10,1938,29.0
06,11,1938,29.25
06,12,1938,31.75
06,13,1938,32.0
06,14,1938,31.75
06,15,1938,31.75
06,16,1938,33.0
06,17,1938,32.5
06,18,1938,31.5
06,19,1938,31.25
06,20,1938,32.5
06,21,1938,33.75
06,22,1938,33.75
06,23,1938,30.0
06,24,1938,29.25
06,25,1938,31.5
06,26,1938,31.0
06,27,1938,28.5
06,28,1938,25.0
06,29,1938,26.25
06,30,1938,26.5
07,01,1938,24.0
07,02,1938,25.5
07,03,1938,28.5
07,04,1938,29.5
07,05,1938,30.25
07,06,1938,30.75
07,07,1938,32.25
07,08,1938,33.0
07,09,1938,32.5
07,10,1938,31.0
07,11,1938,28.5
07,12,1938,30.5
07,13,1938,27.0
07,14,1938,29.0
07,15,1938,26.0
07,16,1938,27.75
07,17,1938,28.75
07,18,1938,29.5
07,19,1938,30.75
07,20,1938,27.75
07,21,1938,26.0
07,22,1938,26.25
07,23,1938,26.25
07,24,1938,26.75
07,25,1938,28.5
07,26,1938,29.5
07,27,1938,28.5
07,28,1938,26.75
07,29,1938,30.25
07,30,1938,27.75
07,31,1938,30.5
08,01,1938,31.5
08,02,1938,31.25
08,03,1938,28.25
08,04,1938,25.5
08,05,1938,27.75
08,06,1938,23.75
08,07,1938,25.25
08,08,1938,25.75
08,09,1938,28.25
08,10,1938,29.75
08,11,1938,28.5
08,12,1938,27.5
08,13,1938,25.5
08,14,1938,26.75
08,15,1938,25.5
08,16,1938,27.5
08,17,1938,27.5
08,18,1938,29.25
08,19,1938,30.0
08,20,1938,32.5
08,21,1938,32.75
08,22,1938,29.25
08,23,1938,30.25
08,24,1938,30.0
08,25,1938,28.5
08,26,1938,28.5
08,27,1938,29.0
08,28,1938,29.25
08,29,1938,30.25
08,30,1938,29.75
08,31,1938,26.0
09,01,1938,28.25
09,02,1938,24.0
09,03,1938,27.25
09,04,1938,25.75
09,05,1938,26.0
09,06,1938,24.15
09,07,1938,26.5
09,08,1938,28.4
09,09,1938,29.35
09,10,1938,29.25
09,11,1938,28.35
09,12,1938,28.0
