Id:,27012
Estación:,EMILIANO ZAPATA-TAB
Posición:,17.7419444444N -91.7625W
Variable:,Precipitación (mm)
Fecha Inicial:,06/01/1963
Fecha Final:,04/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1963,null
06,02,1963,null
06,03,1963,0.0
06,04,1963,0.0
06,05,1963,0.0
06,06,1963,0.0
06,07,1963,0.0
06,08,1963,0.0
06,09,1963,0.0
06,10,1963,11.7
06,11,1963,49.2
06,12,1963,9.0
06,13,1963,3.3
06,14,1963,0.0
06,15,1963,0.0
06,16,1963,0.0
06,17,1963,0.0
06,18,1963,0.0
06,19,1963,0.0
06,20,1963,0.0
06,21,1963,0.0
06,22,1963,10.5
06,23,1963,0.0
06,24,1963,0.0
06,25,1963,6.6
06,26,1963,0.0
06,27,1963,0.0
06,28,1963,28.0
06,29,1963,7.9
06,30,1963,13.2
07,01,1963,9.6
07,02,1963,0.0
07,03,1963,18.1
07,04,1963,9.3
07,05,1963,3.5
07,06,1963,34.3
07,07,1963,22.9
07,08,1963,0.0
07,09,1963,0.0
07,10,1963,0.0
07,11,1963,0.0
07,12,1963,1.2
07,13,1963,0.0
07,14,1963,0.0
07,15,1963,0.0
07,16,1963,0.0
07,17,1963,0.0
07,18,1963,47.2
07,19,1963,14.5
07,20,1963,60.4
07,21,1963,0.0
07,22,1963,33.7
07,23,1963,3.3
07,24,1963,11.9
07,25,1963,0.0
07,26,1963,7.5
07,27,1963,0.0
07,28,1963,0.0
07,29,1963,0.0
07,30,1963,0.0
07,31,1963,0.0
08,01,1963,14.4
08,02,1963,0.0
08,03,1963,0.0
08,04,1963,2.0
08,05,1963,18.2
08,06,1963,0.0
08,07,1963,19.7
08,08,1963,12.4
08,09,1963,11.0
08,10,1963,19.4
08,11,1963,2.6
08,12,1963,0.0
08,13,1963,3.5
08,14,1963,0.0
08,15,1963,17.6
08,16,1963,19.1
08,17,1963,9.9
08,18,1963,26.7
08,19,1963,5.3
08,20,1963,0.0
08,21,1963,34.8
08,22,1963,17.0
08,23,1963,8.0
08,24,1963,0.0
08,25,1963,7.2
08,26,1963,8.3
08,27,1963,0.0
08,28,1963,0.0
08,29,1963,0.0
08,30,1963,4.9
08,31,1963,11.2
09,01,1963,1.9
09,02,1963,6.0
09,03,1963,4.0
09,04,1963,11.3
09,05,1963,11.7
09,06,1963,16.0
09,07,1963,15.9
09,08,1963,1.2
09,09,1963,0.0
09,10,1963,20.4
09,11,1963,22.1
09,12,1963,28.3
09,13,1963,20.1
09,14,1963,2.0
09,15,1963,2.6
09,16,1963,10.0
09,17,1963,5.2
09,18,1963,12.4
09,19,1963,42.7
09,20,1963,40.9
09,21,1963,19.7
09,22,1963,2.5
09,23,1963,20.0
09,24,1963,91.8
09,25,1963,43.3
09,26,1963,27.9
09,27,1963,18.0
09,28,1963,0.0
09,29,1963,0.0
09,30,1963,12.2
10,01,1963,10.4
10,02,1963,0.0
10,03,1963,6.0
10,04,1963,0.0
10,05,1963,0.0
10,06,1963,0.0
10,07,1963,43.0
10,08,1963,5.6
10,09,1963,8.0
10,10,1963,0.0
10,11,1963,0.0
10,12,1963,8.9
10,13,1963,0.0
10,14,1963,0.0
10,15,1963,40.7
10,16,1963,8.5
10,17,1963,0.0
10,18,1963,3.5
10,19,1963,0.0
10,20,1963,0.0
10,21,1963,0.0
10,22,1963,22.1
10,23,1963,0.5
10,24,1963,0.0
10,25,1963,0.0
10,26,1963,0.0
10,27,1963,0.0
10,28,1963,0.0
10,29,1963,60.8
10,30,1963,2.0
10,31,1963,22.2
11,01,1963,0.0
11,02,1963,50.8
11,03,1963,8.0
11,04,1963,0.0
11,05,1963,0.0
11,06,1963,0.0
11,07,1963,0.0
11,08,1963,0.0
11,09,1963,5.5
11,10,1963,0.6
11,11,1963,13.0
11,12,1963,21.6
11,13,1963,4.0
11,14,1963,0.0
11,15,1963,0.0
11,16,1963,0.0
11,17,1963,0.0
11,18,1963,0.0
11,19,1963,0.0
11,20,1963,0.0
11,21,1963,0.0
11,22,1963,0.0
11,23,1963,0.0
11,24,1963,0.0
11,25,1963,0.0
11,26,1963,0.0
11,27,1963,0.0
11,28,1963,26.0
11,29,1963,21.8
11,30,1963,0.0
12,01,1963,0.0
12,02,1963,0.0
12,03,1963,20.6
12,04,1963,0.0
12,05,1963,0.8
12,06,1963,0.0
12,07,1963,0.0
12,08,1963,8.8
12,09,1963,0.0
12,10,1963,0.0
12,11,1963,0.0
12,12,1963,0.0
12,13,1963,0.0
12,14,1963,2.9
12,15,1963,23.3
12,16,1963,13.0
12,17,1963,0.0
12,18,1963,0.0
12,19,1963,0.0
12,20,1963,0.0
12,21,1963,0.0
12,22,1963,0.0
12,23,1963,46.6
12,24,1963,5.0
12,25,1963,10.2
12,26,1963,2.6
12,27,1963,0.0
12,28,1963,0.0
12,29,1963,0.0
12,30,1963,13.0
12,31,1963,31.4
01,01,1964,0.0
01,02,1964,0.0
01,03,1964,9.4
01,04,1964,11.3
01,05,1964,16.8
01,06,1964,0.0
01,07,1964,8.0
01,08,1964,0.0
01,09,1964,0.0
01,10,1964,0.0
01,11,1964,8.4
01,12,1964,62.7
01,13,1964,13.0
01,14,1964,10.9
01,15,1964,0.0
01,16,1964,12.2
01,17,1964,0.0
01,18,1964,0.0
01,19,1964,0.0
01,20,1964,0.0
01,21,1964,0.0
01,22,1964,3.6
01,23,1964,0.0
01,24,1964,0.0
01,25,1964,10.0
01,26,1964,0.8
01,27,1964,5.0
01,28,1964,0.0
01,29,1964,0.0
01,30,1964,0.0
01,31,1964,0.0
02,01,1964,0.5
02,02,1964,0.0
02,03,1964,0.0
02,04,1964,0.0
02,05,1964,0.0
02,06,1964,0.0
02,07,1964,0.0
02,08,1964,0.0
02,09,1964,0.0
02,10,1964,0.3
02,11,1964,2.8
02,12,1964,0.0
02,13,1964,4.8
02,14,1964,0.0
02,15,1964,10.2
02,16,1964,0.0
02,17,1964,0.0
02,18,1964,5.5
02,19,1964,0.0
02,20,1964,0.0
02,21,1964,2.3
02,22,1964,0.0
02,23,1964,0.0
02,24,1964,0.0
02,25,1964,0.0
02,26,1964,0.0
02,27,1964,1.3
02,28,1964,4.9
02,29,1964,null
03,01,1964,0.0
03,02,1964,0.0
03,03,1964,0.0
03,04,1964,0.0
03,05,1964,0.0
03,06,1964,0.0
03,07,1964,0.0
03,08,1964,0.0
03,09,1964,0.0
03,10,1964,0.0
03,11,1964,0.0
03,12,1964,0.0
03,13,1964,0.0
03,14,1964,0.0
03,15,1964,0.0
03,16,1964,0.0
03,17,1964,0.0
03,18,1964,0.0
03,19,1964,0.0
03,20,1964,3.0
03,21,1964,9.4
03,22,1964,0.0
03,23,1964,0.0
03,24,1964,0.0
03,25,1964,0.0
03,26,1964,0.0
03,27,1964,0.0
03,28,1964,0.0
03,29,1964,4.0
03,30,1964,0.0
03,31,1964,0.0
04,01,1964,0.0
04,02,1964,0.0
04,03,1964,0.0
04,04,1964,0.0
04,05,1964,0.0
04,06,1964,0.0
04,07,1964,0.0
04,08,1964,12.8
04,09,1964,20.2
04,10,1964,0.0
04,11,1964,0.0
04,12,1964,0.0
04,13,1964,0.0
04,14,1964,0.0
04,15,1964,0.0
04,16,1964,0.0
04,17,1964,0.0
04,18,1964,0.0
04,19,1964,2.1
04,20,1964,0.0
04,21,1964,0.0
04,22,1964,0.0
04,23,1964,0.0
04,24,1964,0.0
04,25,1964,0.0
04,26,1964,0.0
04,27,1964,0.0
04,28,1964,0.0
04,29,1964,0.0
04,30,1964,0.0
05,01,1964,0.0
05,02,1964,0.0
05,03,1964,0.0
05,04,1964,0.0
05,05,1964,0.0
05,06,1964,0.0
05,07,1964,0.0
05,08,1964,0.0
05,09,1964,0.0
05,10,1964,0.0
05,11,1964,0.0
05,12,1964,0.0
05,13,1964,60.4
05,14,1964,1.0
05,15,1964,5.8
05,16,1964,11.2
05,17,1964,26.5
05,18,1964,5.0
05,19,1964,1.7
05,20,1964,0.0
05,21,1964,7.3
05,22,1964,0.0
05,23,1964,0.0
05,24,1964,20.7
05,25,1964,0.0
05,26,1964,0.0
05,27,1964,0.0
05,28,1964,0.0
05,29,1964,0.0
05,30,1964,0.0
05,31,1964,78.6
06,01,1964,0.0
06,02,1964,0.0
06,03,1964,0.0
06,04,1964,0.0
06,05,1964,4.8
06,06,1964,0.0
06,07,1964,0.0
06,08,1964,0.0
06,09,1964,0.0
06,10,1964,10.9
06,11,1964,0.0
06,12,1964,20.1
06,13,1964,6.0
06,14,1964,10.0
06,15,1964,14.3
06,16,1964,0.0
06,17,1964,0.0
06,18,1964,0.0
06,19,1964,0.0
06,20,1964,0.0
06,21,1964,1.0
06,22,1964,21.6
06,23,1964,44.4
06,24,1964,26.0
06,25,1964,2.8
06,26,1964,3.5
06,27,1964,0.0
06,28,1964,0.0
06,29,1964,0.0
06,30,1964,20.8
07,01,1964,22.6
07,02,1964,0.0
07,03,1964,0.0
07,04,1964,0.0
07,05,1964,8.0
07,06,1964,0.4
07,07,1964,0.0
07,08,1964,0.0
07,09,1964,0.0
07,10,1964,20.3
07,11,1964,0.0
07,12,1964,0.0
07,13,1964,0.0
07,14,1964,24.0
07,15,1964,18.8
07,16,1964,12.5
07,17,1964,4.2
07,18,1964,0.0
07,19,1964,0.0
07,20,1964,10.6
07,21,1964,0.0
07,22,1964,35.3
07,23,1964,6.2
07,24,1964,0.0
07,25,1964,15.0
07,26,1964,17.5
07,27,1964,0.0
07,28,1964,0.0
07,29,1964,0.0
07,30,1964,0.0
07,31,1964,0.0
08,01,1964,0.0
08,02,1964,0.0
08,03,1964,10.4
08,04,1964,0.0
08,05,1964,0.0
08,06,1964,0.0
08,07,1964,0.0
08,08,1964,9.0
08,09,1964,0.5
08,10,1964,0.0
08,11,1964,0.0
08,12,1964,0.0
08,13,1964,0.0
08,14,1964,0.0
08,15,1964,0.0
08,16,1964,0.0
08,17,1964,0.0
08,18,1964,0.0
08,19,1964,12.0
08,20,1964,17.3
08,21,1964,0.0
08,22,1964,0.0
08,23,1964,0.0
08,24,1964,0.0
08,25,1964,0.0
08,26,1964,0.0
08,27,1964,10.0
08,28,1964,8.0
08,29,1964,28.3
08,30,1964,18.0
08,31,1964,4.0
09,01,1964,8.0
09,02,1964,0.5
09,03,1964,0.0
09,04,1964,0.0
09,05,1964,0.0
09,06,1964,0.0
09,07,1964,0.0
09,08,1964,0.0
09,09,1964,19.6
09,10,1964,35.8
09,11,1964,3.0
09,12,1964,0.0
09,13,1964,0.0
09,14,1964,0.0
09,15,1964,0.0
09,16,1964,0.0
09,17,1964,8.0
09,18,1964,5.2
09,19,1964,8.4
09,20,1964,0.0
09,21,1964,0.0
09,22,1964,0.0
09,23,1964,48.2
09,24,1964,20.0
09,25,1964,0.0
09,26,1964,0.0
09,27,1964,0.0
09,28,1964,80.3
09,29,1964,0.0
09,30,1964,7.4
10,01,1964,22.6
10,02,1964,0.0
10,03,1964,0.0
10,04,1964,0.0
10,05,1964,8.0
10,06,1964,0.4
10,07,1964,0.0
10,08,1964,0.0
10,09,1964,0.0
10,10,1964,20.3
10,11,1964,0.0
10,12,1964,0.0
10,13,1964,0.0
10,14,1964,24.0
10,15,1964,18.8
10,16,1964,12.5
10,17,1964,4.2
10,18,1964,0.0
10,19,1964,0.0
10,20,1964,10.6
10,21,1964,0.0
10,22,1964,35.3
10,23,1964,6.2
10,24,1964,0.0
10,25,1964,15.0
10,26,1964,17.5
10,27,1964,0.0
10,28,1964,0.0
10,29,1964,0.0
10,30,1964,0.0
10,31,1964,0.0
11,01,1964,0.0
11,02,1964,0.0
11,03,1964,0.0
11,04,1964,0.0
11,05,1964,0.0
11,06,1964,0.0
11,07,1964,6.9
11,08,1964,0.0
11,09,1964,11.2
11,10,1964,4.5
11,11,1964,2.0
11,12,1964,0.0
11,13,1964,0.0
11,14,1964,0.0
11,15,1964,0.0
11,16,1964,0.0
11,17,1964,0.0
11,18,1964,0.0
11,19,1964,0.0
11,20,1964,0.0
11,21,1964,28.9
11,22,1964,40.3
11,23,1964,11.5
11,24,1964,0.0
11,25,1964,0.0
11,26,1964,0.0
11,27,1964,0.0
11,28,1964,5.5
11,29,1964,28.0
11,30,1964,33.8
12,01,1964,0.0
12,02,1964,0.0
12,03,1964,0.0
12,04,1964,0.0
12,05,1964,75.8
12,06,1964,20.0
12,07,1964,6.2
12,08,1964,0.0
12,09,1964,0.0
12,10,1964,0.0
12,11,1964,0.0
12,12,1964,2.0
12,13,1964,9.6
12,14,1964,48.5
12,15,1964,36.1
12,16,1964,0.0
12,17,1964,0.0
12,18,1964,10.9
12,19,1964,21.7
12,20,1964,18.0
12,21,1964,14.4
12,22,1964,20.6
12,23,1964,0.0
12,24,1964,0.0
12,25,1964,0.0
12,26,1964,0.0
12,27,1964,0.0
12,28,1964,0.0
12,29,1964,0.0
12,30,1964,0.0
12,31,1964,0.0
01,01,1965,0.0
01,02,1965,0.0
01,03,1965,0.0
01,04,1965,0.0
01,05,1965,0.0
01,06,1965,14.3
01,07,1965,0.0
01,08,1965,0.0
01,09,1965,0.0
01,10,1965,0.0
01,11,1965,0.0
01,12,1965,0.0
01,13,1965,0.0
01,14,1965,0.0
01,15,1965,0.0
01,16,1965,48.5
01,17,1965,9.0
01,18,1965,0.0
01,19,1965,0.0
01,20,1965,0.0
01,21,1965,0.0
01,22,1965,0.0
01,23,1965,0.0
01,24,1965,0.0
01,25,1965,0.0
01,26,1965,0.0
01,27,1965,2.2
01,28,1965,6.4
01,29,1965,0.0
01,30,1965,0.0
01,31,1965,0.0
02,01,1965,0.0
02,02,1965,0.0
02,03,1965,0.0
02,04,1965,0.0
02,05,1965,0.0
02,06,1965,0.0
02,07,1965,0.0
02,08,1965,0.0
02,09,1965,0.0
02,10,1965,0.0
02,11,1965,0.0
02,12,1965,0.0
02,13,1965,0.0
02,14,1965,10.0
02,15,1965,0.0
02,16,1965,0.0
02,17,1965,40.7
02,18,1965,0.0
02,19,1965,0.0
02,20,1965,2.3
02,21,1965,0.0
02,22,1965,0.0
02,23,1965,0.0
02,24,1965,0.0
02,25,1965,0.0
02,26,1965,0.0
02,27,1965,0.0
02,28,1965,0.0
03,01,1965,0.0
03,02,1965,0.0
03,03,1965,0.0
03,04,1965,10.6
03,05,1965,2.0
03,06,1965,0.0
03,07,1965,0.0
03,08,1965,0.0
03,09,1965,0.0
03,10,1965,0.0
03,11,1965,0.0
03,12,1965,0.0
03,13,1965,0.0
03,14,1965,0.0
03,15,1965,0.0
03,16,1965,0.0
03,17,1965,0.0
03,18,1965,0.0
03,19,1965,0.0
03,20,1965,26.5
03,21,1965,3.0
03,22,1965,0.0
03,23,1965,0.0
03,24,1965,0.0
03,25,1965,0.0
03,26,1965,0.0
03,27,1965,0.0
03,28,1965,0.0
03,29,1965,0.0
03,30,1965,0.0
03,31,1965,0.0
04,01,1965,0.0
04,02,1965,0.0
04,03,1965,0.0
04,04,1965,0.0
04,05,1965,0.0
04,06,1965,0.0
04,07,1965,0.0
04,08,1965,0.0
04,09,1965,0.0
04,10,1965,0.0
04,11,1965,0.0
04,12,1965,0.0
04,13,1965,0.0
04,14,1965,0.0
04,15,1965,0.0
04,16,1965,0.0
04,17,1965,0.0
04,18,1965,0.0
04,19,1965,0.0
04,20,1965,0.0
04,21,1965,0.0
04,22,1965,0.0
04,23,1965,0.0
04,24,1965,0.0
04,25,1965,0.0
04,26,1965,0.0
04,27,1965,0.0
04,28,1965,0.0
04,29,1965,27.9
04,30,1965,13.3
05,01,1965,0.0
05,02,1965,0.0
05,03,1965,0.0
05,04,1965,0.0
05,05,1965,0.0
05,06,1965,0.0
05,07,1965,0.0
05,08,1965,0.0
05,09,1965,0.0
05,10,1965,0.0
05,11,1965,0.0
05,12,1965,0.0
05,13,1965,0.0
05,14,1965,0.0
05,15,1965,0.0
05,16,1965,0.0
05,17,1965,0.0
05,18,1965,0.0
05,19,1965,0.0
05,20,1965,9.3
05,21,1965,0.0
05,22,1965,0.0
05,23,1965,14.5
05,24,1965,0.0
05,25,1965,0.0
05,26,1965,0.0
05,27,1965,0.0
05,28,1965,0.0
05,29,1965,0.0
05,30,1965,0.0
05,31,1965,11.6
06,01,1965,6.4
06,02,1965,0.0
06,03,1965,0.0
06,04,1965,0.0
06,05,1965,0.0
06,06,1965,18.7
06,07,1965,0.0
06,08,1965,0.0
06,09,1965,0.0
06,10,1965,0.0
06,11,1965,0.0
06,12,1965,0.0
06,13,1965,0.0
06,14,1965,20.0
06,15,1965,16.4
06,16,1965,4.0
06,17,1965,0.0
06,18,1965,0.0
06,19,1965,0.0
06,20,1965,0.0
06,21,1965,15.4
06,22,1965,18.0
06,23,1965,1.7
