Id:,27020
Estación:,JALPA DE MENDEZ-TAB
Posición:,18.1716666667N -93.0338888889W
Variable:,Precipitación (mm)
Fecha Inicial:,07/01/1958
Fecha Final:,04/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
07,01,1958,0.5
07,02,1958,18.0
07,03,1958,29.0
07,04,1958,4.0
07,05,1958,52.0
07,06,1958,103.0
07,07,1958,0.0
07,08,1958,2.0
07,09,1958,46.0
07,10,1958,5.5
07,11,1958,3.0
07,12,1958,0.0
07,13,1958,2.0
07,14,1958,0.0
07,15,1958,0.0
07,16,1958,0.0
07,17,1958,0.0
07,18,1958,10.0
07,19,1958,0.0
07,20,1958,0.0
07,21,1958,5.0
07,22,1958,0.0
07,23,1958,0.0
07,24,1958,6.0
07,25,1958,8.0
07,26,1958,0.0
07,27,1958,0.0
07,28,1958,0.0
07,29,1958,0.0
07,30,1958,8.5
07,31,1958,1.0
08,01,1958,25.0
08,02,1958,21.0
08,03,1958,19.0
08,04,1958,0.0
08,05,1958,0.0
08,06,1958,0.0
08,07,1958,8.0
08,08,1958,0.0
08,09,1958,0.0
08,10,1958,0.0
08,11,1958,20.0
08,12,1958,0.0
08,13,1958,0.0
08,14,1958,0.0
08,15,1958,0.0
08,16,1958,0.0
08,17,1958,0.0
08,18,1958,0.0
08,19,1958,0.0
08,20,1958,0.0
08,21,1958,0.0
08,22,1958,0.0
08,23,1958,0.0
08,24,1958,0.0
08,25,1958,12.0
08,26,1958,26.0
08,27,1958,0.0
08,28,1958,0.0
08,29,1958,0.0
08,30,1958,0.0
08,31,1958,0.0
09,01,1958,66.0
09,02,1958,4.5
09,03,1958,0.0
09,04,1958,9.0
09,05,1958,20.0
09,06,1958,18.0
09,07,1958,32.0
09,08,1958,12.0
09,09,1958,24.0
09,10,1958,0.0
09,11,1958,40.0
09,12,1958,0.0
09,13,1958,1.0
09,14,1958,0.0
09,15,1958,0.0
09,16,1958,0.0
09,17,1958,12.0
09,18,1958,0.0
09,19,1958,0.0
09,20,1958,0.0
09,21,1958,19.0
09,22,1958,0.0
09,23,1958,5.0
09,24,1958,0.0
09,25,1958,5.0
09,26,1958,15.0
09,27,1958,4.0
09,28,1958,5.0
09,29,1958,0.0
09,30,1958,0.0
10,01,1958,0.0
10,02,1958,5.0
10,03,1958,4.5
10,04,1958,0.0
10,05,1958,5.0
10,06,1958,0.0
10,07,1958,0.0
10,08,1958,0.0
10,09,1958,5.0
10,10,1958,4.0
10,11,1958,0.0
10,12,1958,5.0
10,13,1958,2.0
10,14,1958,0.0
10,15,1958,0.0
10,16,1958,0.0
10,17,1958,2.0
10,18,1958,4.0
10,19,1958,8.0
10,20,1958,0.0
10,21,1958,0.0
10,22,1958,0.0
10,23,1958,0.0
10,24,1958,0.0
10,25,1958,0.0
10,26,1958,0.0
10,27,1958,0.0
10,28,1958,0.0
10,29,1958,0.0
10,30,1958,2.0
10,31,1958,10.0
11,01,1958,30.0
11,02,1958,0.0
11,03,1958,0.0
11,04,1958,7.0
11,05,1958,5.0
11,06,1958,7.0
11,07,1958,0.0
11,08,1958,3.0
11,09,1958,6.0
11,10,1958,13.0
11,11,1958,0.0
11,12,1958,0.0
11,13,1958,0.0
11,14,1958,0.0
11,15,1958,0.0
11,16,1958,0.0
11,17,1958,5.0
11,18,1958,12.0
11,19,1958,0.0
11,20,1958,12.0
11,21,1958,0.0
11,22,1958,0.0
11,23,1958,0.0
11,24,1958,0.0
11,25,1958,0.0
11,26,1958,0.0
11,27,1958,0.0
11,28,1958,0.0
11,29,1958,7.2
