Id:,27065
Estación:,DOS MONTES-TAB
Posición:,17.9877777778N -92.8302777778W
Variable:,Precipitación (mm)
Fecha Inicial:,06/01/1973
Fecha Final:,04/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1973,0.0
06,02,1973,0.0
06,03,1973,0.0
06,04,1973,0.0
06,05,1973,2.1
06,06,1973,22.0
06,07,1973,20.3
06,08,1973,3.0
06,09,1973,30.9
06,10,1973,13.0
06,11,1973,0.0
06,12,1973,0.0
06,13,1973,0.0
06,14,1973,0.0
06,15,1973,0.0
06,16,1973,0.0
06,17,1973,3.0
06,18,1973,11.0
06,19,1973,1.6
06,20,1973,20.0
06,21,1973,3.1
06,22,1973,0.0
06,23,1973,0.0
06,24,1973,0.0
06,25,1973,0.0
06,26,1973,3.9
06,27,1973,7.0
06,28,1973,12.4
06,29,1973,0.0
06,30,1973,50.3
07,01,1973,0.0
07,02,1973,7.0
07,03,1973,0.0
07,04,1973,0.0
07,05,1973,0.0
07,06,1973,0.0
07,07,1973,0.0
07,08,1973,0.0
07,09,1973,3.9
07,10,1973,0.0
07,11,1973,0.0
07,12,1973,0.0
07,13,1973,0.0
07,14,1973,0.0
07,15,1973,0.0
07,16,1973,30.0
07,17,1973,3.2
07,18,1973,26.4
07,19,1973,10.9
07,20,1973,2.0
07,21,1973,0.0
07,22,1973,4.6
07,23,1973,0.0
07,24,1973,40.4
07,25,1973,22.0
07,26,1973,34.5
07,27,1973,0.0
07,28,1973,0.0
07,29,1973,0.0
07,30,1973,0.0
07,31,1973,0.0
08,01,1973,0.0
08,02,1973,7.0
08,03,1973,6.3
08,04,1973,0.0
08,05,1973,46.1
08,06,1973,0.0
08,07,1973,0.0
08,08,1973,0.0
08,09,1973,30.0
08,10,1973,34.6
08,11,1973,0.0
08,12,1973,0.0
08,13,1973,20.0
08,14,1973,6.2
08,15,1973,10.8
08,16,1973,0.0
08,17,1973,0.0
08,18,1973,29.7
08,19,1973,10.0
08,20,1973,109.0
08,21,1973,86.2
08,22,1973,20.6
08,23,1973,19.0
08,24,1973,26.0
08,25,1973,8.0
08,26,1973,15.4
08,27,1973,17.9
08,28,1973,22.3
08,29,1973,50.2
08,30,1973,15.0
08,31,1973,4.5
09,01,1973,0.0
09,02,1973,0.0
09,03,1973,0.0
09,04,1973,11.0
09,05,1973,24.2
09,06,1973,2.0
09,07,1973,4.0
09,08,1973,0.0
09,09,1973,11.5
09,10,1973,2.4
09,11,1973,0.0
09,12,1973,0.0
09,13,1973,0.0
09,14,1973,42.1
09,15,1973,20.0
09,16,1973,9.0
09,17,1973,32.6
09,18,1973,25.3
09,19,1973,12.0
09,20,1973,5.2
09,21,1973,0.0
09,22,1973,17.9
09,23,1973,9.0
