Id:,27037
Estación:,PUEBLO NUEVO-TAB
Posición:,17.8541666667N -93.8811111111W
Variable:,Temp Promedio (oC)
Fecha Inicial:,10/01/1948
Fecha Final:,06/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
10,01,1948,23.25
10,02,1948,22.5
10,03,1948,23.85
10,04,1948,24.65
10,05,1948,23.0
10,06,1948,25.0
10,07,1948,26.7
10,08,1948,25.85
10,09,1948,27.6
10,10,1948,27.3
10,11,1948,27.9
10,12,1948,27.65
10,13,1948,27.35
10,14,1948,27.35
10,15,1948,27.65
10,16,1948,27.3
10,17,1948,27.75
10,18,1948,26.2
10,19,1948,25.1
10,20,1948,23.45
10,21,1948,24.0
10,22,1948,24.95
10,23,1948,25.05
10,24,1948,24.35
10,25,1948,23.2
10,26,1948,22.45
10,27,1948,24.1
10,28,1948,25.1
10,29,1948,24.9
10,30,1948,26.4
10,31,1948,26.95
11,01,1948,27.05
11,02,1948,27.45
11,03,1948,26.35
11,04,1948,26.8
11,05,1948,27.95
11,06,1948,26.35
11,07,1948,21.5
11,08,1948,24.05
11,09,1948,25.45
11,10,1948,23.3
11,11,1948,21.35
11,12,1948,23.2
11,13,1948,24.4
11,14,1948,23.4
11,15,1948,27.25
11,16,1948,26.9
11,17,1948,26.1
11,18,1948,27.0
11,19,1948,25.85
11,20,1948,24.65
11,21,1948,26.7
11,22,1948,26.2
11,23,1948,26.45
11,24,1948,24.25
11,25,1948,24.5
11,26,1948,26.4
11,27,1948,27.8
11,28,1948,24.15
11,29,1948,18.35
11,30,1948,19.75
12,01,1948,21.1
12,02,1948,22.7
12,03,1948,23.0
12,04,1948,23.15
12,05,1948,25.9
12,06,1948,25.5
12,07,1948,26.0
12,08,1948,25.3
12,09,1948,25.6
12,10,1948,24.55
12,11,1948,26.05
12,12,1948,24.4
12,13,1948,26.05
12,14,1948,25.8
12,15,1948,25.5
12,16,1948,26.5
12,17,1948,25.15
12,18,1948,26.0
12,19,1948,24.85
12,20,1948,25.05
12,21,1948,26.1
12,22,1948,25.7
12,23,1948,25.15
12,24,1948,25.05
12,25,1948,24.8
12,26,1948,25.25
12,27,1948,23.4
12,28,1948,23.35
12,29,1948,23.8
12,30,1948,21.4
12,31,1948,20.25
01,01,1949,20.75
01,02,1949,22.8
01,03,1949,23.15
01,04,1949,24.95
01,05,1949,23.6
01,06,1949,23.9
01,07,1949,20.85
01,08,1949,22.9
01,09,1949,23.05
01,10,1949,23.3
01,11,1949,23.9
01,12,1949,23.85
01,13,1949,23.25
01,14,1949,23.35
01,15,1949,23.25
01,16,1949,24.1
01,17,1949,23.25
01,18,1949,24.05
01,19,1949,24.9
01,20,1949,24.6
01,21,1949,25.2
01,22,1949,24.7
01,23,1949,25.3
01,24,1949,23.8
01,25,1949,23.35
01,26,1949,23.65
01,27,1949,23.95
01,28,1949,23.85
01,29,1949,25.4
01,30,1949,19.4
01,31,1949,20.55
02,01,1949,22.25
02,02,1949,24.35
02,03,1949,25.7
02,04,1949,24.25
02,05,1949,25.05
02,06,1949,25.45
02,07,1949,25.1
02,08,1949,27.15
02,09,1949,25.95
02,10,1949,25.0
02,11,1949,26.4
02,12,1949,25.15
02,13,1949,25.85
02,14,1949,26.5
02,15,1949,25.8
02,16,1949,23.65
02,17,1949,25.8
02,18,1949,25.65
02,19,1949,26.2
02,20,1949,24.3
02,21,1949,25.6
02,22,1949,25.5
02,23,1949,24.75
02,24,1949,24.0
02,25,1949,25.5
