Id:,27065
Estación:,DOS MONTES-TAB
Posición:,17.9877777778N -92.8302777778W
Variable:,Temp Promedio (oC)
Fecha Inicial:,06/01/1997
Fecha Final:,07/01/1997
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1997,27.0
06,02,1997,27.75
06,03,1997,27.25
06,04,1997,27.5
06,05,1997,27.5
06,06,1997,28.0
06,07,1997,29.0
06,08,1997,28.5
06,09,1997,27.0
06,10,1997,27.0
06,11,1997,27.25
06,12,1997,27.0
06,13,1997,26.75
06,14,1997,27.5
06,15,1997,27.5
06,16,1997,27.75
06,17,1997,28.5
06,18,1997,27.75
06,19,1997,28.5
06,20,1997,28.0
06,21,1997,28.5
06,22,1997,28.75
06,23,1997,29.25
06,24,1997,29.0
06,25,1997,28.75
06,26,1997,29.25
06,27,1997,30.0
06,28,1997,30.0
06,29,1997,29.0
06,30,1997,28.25
