Id:,28059
Estación:,MAGUEYES-TAMS
Posición:,24.5666666667N -99.5591666667W
Variable:,Temp Promedio (oC)
Fecha Inicial:,12/01/1963
Fecha Final:,01/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1963,null
12,02,1963,null
12,03,1963,null
12,04,1963,null
12,05,1963,null
12,06,1963,null
12,07,1963,19.0
12,08,1963,18.0
12,09,1963,19.0
12,10,1963,19.0
12,11,1963,22.5
12,12,1963,10.0
12,13,1963,8.5
12,14,1963,4.5
12,15,1963,4.0
12,16,1963,5.0
12,17,1963,7.5
12,18,1963,9.0
12,19,1963,7.75
12,20,1963,9.0
12,21,1963,8.75
12,22,1963,7.5
12,23,1963,8.75
12,24,1963,10.25
12,25,1963,11.75
12,26,1963,13.75
12,27,1963,13.25
12,28,1963,13.5
12,29,1963,12.0
12,30,1963,7.25
12,31,1963,6.75
01,01,1964,8.0
01,02,1964,9.75
01,03,1964,11.0
01,04,1964,12.75
01,05,1964,11.0
01,06,1964,11.25
01,07,1964,13.25
01,08,1964,18.5
01,09,1964,9.5
01,10,1964,9.5
01,11,1964,16.0
01,12,1964,7.25
01,13,1964,3.75
01,14,1964,6.0
01,15,1964,6.5
01,16,1964,8.5
01,17,1964,10.5
01,18,1964,12.75
01,19,1964,18.5
01,20,1964,18.5
01,21,1964,18.5
01,22,1964,19.5
01,23,1964,18.5
01,24,1964,17.75
01,25,1964,12.5
01,26,1964,13.0
01,27,1964,18.5
01,28,1964,15.0
01,29,1964,16.5
01,30,1964,18.0
01,31,1964,18.5
02,01,1964,12.75
02,02,1964,12.5
02,03,1964,14.0
02,04,1964,12.25
02,05,1964,13.5
02,06,1964,16.0
02,07,1964,9.5
02,08,1964,10.0
02,09,1964,11.75
02,10,1964,15.5
02,11,1964,17.0
02,12,1964,18.5
02,13,1964,18.5
02,14,1964,19.0
02,15,1964,16.0
02,16,1964,14.0
02,17,1964,16.0
02,18,1964,16.5
02,19,1964,12.5
02,20,1964,14.0
02,21,1964,7.5
02,22,1964,6.5
02,23,1964,8.5
02,24,1964,12.5
02,25,1964,16.5
02,26,1964,19.0
02,27,1964,14.25
02,28,1964,12.5
02,29,1964,15.5
03,01,1964,13.0
03,02,1964,20.5
03,03,1964,26.5
03,04,1964,19.5
03,05,1964,17.25
03,06,1964,19.25
03,07,1964,25.0
03,08,1964,26.0
03,09,1964,19.25
03,10,1964,19.0
03,11,1964,20.25
03,12,1964,20.5
03,13,1964,22.5
03,14,1964,22.75
03,15,1964,20.0
03,16,1964,20.0
03,17,1964,17.0
03,18,1964,21.5
03,19,1964,22.0
03,20,1964,21.25
03,21,1964,16.5
03,22,1964,17.5
03,23,1964,20.0
03,24,1964,25.0
03,25,1964,26.0
03,26,1964,18.25
03,27,1964,21.75
03,28,1964,20.25
03,29,1964,22.0
03,30,1964,18.0
03,31,1964,17.0
04,01,1964,21.0
04,02,1964,23.5
04,03,1964,26.0
04,04,1964,27.0
04,05,1964,23.75
04,06,1964,24.75
04,07,1964,22.0
04,08,1964,18.25
04,09,1964,19.25
04,10,1964,20.0
04,11,1964,23.5
04,12,1964,27.5
04,13,1964,24.0
04,14,1964,20.5
04,15,1964,21.5
04,16,1964,23.5
04,17,1964,24.5
04,18,1964,25.25
04,19,1964,26.5
04,20,1964,27.0
04,21,1964,26.25
04,22,1964,24.75
04,23,1964,29.0
04,24,1964,28.75
04,25,1964,29.75
04,26,1964,29.5
04,27,1964,30.25
04,28,1964,29.0
04,29,1964,26.75
04,30,1964,29.5
05,01,1964,27.25
05,02,1964,30.5
05,03,1964,31.0
05,04,1964,29.0
05,05,1964,29.75
05,06,1964,31.5
05,07,1964,31.0
05,08,1964,31.0
05,09,1964,27.25
05,10,1964,30.0
05,11,1964,28.75
05,12,1964,25.0
05,13,1964,26.75
05,14,1964,26.5
05,15,1964,27.75
05,16,1964,26.25
05,17,1964,26.5
05,18,1964,26.0
05,19,1964,27.0
05,20,1964,24.0
05,21,1964,24.5
05,22,1964,24.0
05,23,1964,24.5
05,24,1964,25.5
05,25,1964,25.5
05,26,1964,24.5
05,27,1964,26.0
05,28,1964,26.75
05,29,1964,27.25
05,30,1964,26.75
05,31,1964,25.75
06,01,1964,19.5
