Id:,30101
Estación:,MANLIO FABIO ALTAMIRAMO-VER
Posición:,19.0944444444N -96.3388888889W
Variable:,Precipitación (mm)
Fecha Inicial:,01/01/1945
Fecha Final:,01/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1945,0.0
01,02,1945,0.0
01,03,1945,0.0
01,04,1945,0.0
01,05,1945,0.0
01,06,1945,0.0
01,07,1945,0.0
01,08,1945,0.0
01,09,1945,8.0
01,10,1945,1.0
01,11,1945,0.0
01,12,1945,0.0
01,13,1945,0.0
01,14,1945,0.0
01,15,1945,0.0
01,16,1945,0.0
01,17,1945,0.0
01,18,1945,0.0
01,19,1945,0.0
01,20,1945,0.0
01,21,1945,0.0
01,22,1945,5.1
01,23,1945,0.0
01,24,1945,0.0
01,25,1945,0.0
01,26,1945,0.0
01,27,1945,0.0
01,28,1945,0.0
01,29,1945,0.0
01,30,1945,0.0
01,31,1945,0.0
02,01,1945,null
02,02,1945,null
02,03,1945,null
02,04,1945,null
02,05,1945,null
02,06,1945,null
02,07,1945,null
02,08,1945,null
02,09,1945,null
02,10,1945,null
02,11,1945,null
02,12,1945,null
02,13,1945,null
02,14,1945,null
02,15,1945,null
02,16,1945,null
02,17,1945,null
02,18,1945,null
02,19,1945,null
02,20,1945,null
02,21,1945,null
02,22,1945,0.0
02,23,1945,0.0
02,24,1945,0.0
02,25,1945,0.0
02,26,1945,0.0
02,27,1945,0.0
02,28,1945,0.0
03,01,1945,0.0
03,02,1945,0.0
03,03,1945,0.0
03,04,1945,0.0
03,05,1945,0.0
03,06,1945,0.0
03,07,1945,0.0
03,08,1945,0.5
03,09,1945,0.0
03,10,1945,0.0
03,11,1945,0.0
03,12,1945,0.0
03,13,1945,0.0
03,14,1945,0.0
03,15,1945,0.0
03,16,1945,0.0
03,17,1945,0.0
03,18,1945,0.0
03,19,1945,0.0
03,20,1945,0.0
03,21,1945,0.0
03,22,1945,0.0
03,23,1945,0.0
03,24,1945,0.0
03,25,1945,0.0
03,26,1945,0.0
03,27,1945,0.0
03,28,1945,0.0
03,29,1945,0.0
03,30,1945,0.0
03,31,1945,0.0
04,01,1945,0.0
04,02,1945,0.0
04,03,1945,0.0
04,04,1945,0.0
04,05,1945,0.0
04,06,1945,0.5
04,07,1945,0.0
04,08,1945,0.0
04,09,1945,0.0
04,10,1945,0.0
04,11,1945,0.0
04,12,1945,0.0
04,13,1945,0.0
04,14,1945,0.0
04,15,1945,0.0
04,16,1945,0.0
04,17,1945,0.0
04,18,1945,0.0
04,19,1945,0.0
04,20,1945,0.0
04,21,1945,0.0
04,22,1945,0.0
04,23,1945,0.0
04,24,1945,0.0
04,25,1945,0.0
04,26,1945,0.0
04,27,1945,0.0
04,28,1945,0.0
04,29,1945,0.0
04,30,1945,0.0
05,01,1945,0.0
05,02,1945,0.0
05,03,1945,0.0
05,04,1945,11.0
05,05,1945,0.0
05,06,1945,0.0
05,07,1945,0.0
05,08,1945,0.0
05,09,1945,0.0
05,10,1945,0.0
05,11,1945,0.0
05,12,1945,0.0
05,13,1945,0.0
05,14,1945,0.0
05,15,1945,0.0
05,16,1945,0.0
05,17,1945,0.0
05,18,1945,0.0
05,19,1945,0.0
05,20,1945,0.0
05,21,1945,0.0
05,22,1945,3.0
05,23,1945,19.0
05,24,1945,0.0
05,25,1945,0.0
05,26,1945,0.0
05,27,1945,0.0
05,28,1945,0.0
05,29,1945,0.0
05,30,1945,0.0
05,31,1945,0.0
06,01,1945,0.0
06,02,1945,0.0
06,03,1945,0.0
06,04,1945,0.0
06,05,1945,0.0
06,06,1945,0.0
06,07,1945,0.0
06,08,1945,0.0
06,09,1945,0.0
06,10,1945,0.0
06,11,1945,0.0
06,12,1945,0.0
06,13,1945,0.0
06,14,1945,0.0
06,15,1945,23.0
06,16,1945,0.0
06,17,1945,0.0
06,18,1945,0.0
06,19,1945,0.0
06,20,1945,0.0
06,21,1945,0.0
06,22,1945,0.0
06,23,1945,0.0
06,24,1945,0.0
06,25,1945,13.5
06,26,1945,8.0
06,27,1945,1.5
06,28,1945,0.5
06,29,1945,3.0
06,30,1945,0.0
07,01,1945,25.0
07,02,1945,33.0
07,03,1945,0.0
07,04,1945,0.0
07,05,1945,23.0
07,06,1945,7.5
07,07,1945,0.0
07,08,1945,4.5
07,09,1945,0.0
07,10,1945,0.0
07,11,1945,0.0
07,12,1945,0.0
07,13,1945,0.0
07,14,1945,0.0
07,15,1945,0.0
07,16,1945,0.0
07,17,1945,0.0
07,18,1945,1.0
07,19,1945,0.5
07,20,1945,0.0
07,21,1945,0.0
07,22,1945,0.0
07,23,1945,0.0
07,24,1945,0.0
