Id:,30294
Estación:,SONTECOMAPAN-VER
Posición:,18.5041666667N -95.0338888889W
Variable:,Precipitación (mm)
Fecha Inicial:,12/01/1975
Fecha Final:,01/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1975,null
12,02,1975,0.5
12,03,1975,0.2
12,04,1975,0.1
12,05,1975,0.1
12,06,1975,1.5
12,07,1975,24.0
12,08,1975,16.1
12,09,1975,35.0
12,10,1975,9.0
12,11,1975,0.1
12,12,1975,21.0
12,13,1975,22.0
12,14,1975,0.1
12,15,1975,0.0
12,16,1975,0.1
12,17,1975,9.2
12,18,1975,9.9
12,19,1975,0.1
12,20,1975,59.5
12,21,1975,47.0
12,22,1975,0.2
12,23,1975,0.0
12,24,1975,0.0
12,25,1975,27.6
12,26,1975,10.2
12,27,1975,12.0
12,28,1975,0.0
12,29,1975,2.1
12,30,1975,0.1
12,31,1975,0.2
01,01,1976,3.0
01,02,1976,1.0
01,03,1976,23.0
01,04,1976,3.0
01,05,1976,4.0
01,06,1976,0.2
01,07,1976,16.0
01,08,1976,54.5
01,09,1976,39.1
01,10,1976,0.3
01,11,1976,19.7
01,12,1976,0.1
01,13,1976,0.2
01,14,1976,106.8
01,15,1976,191.5
01,16,1976,26.0
01,17,1976,6.0
01,18,1976,1.2
01,19,1976,0.8
01,20,1976,4.6
01,21,1976,21.0
01,22,1976,1.1
01,23,1976,0.0
01,24,1976,0.1
01,25,1976,0.2
01,26,1976,70.2
01,27,1976,11.0
01,28,1976,11.2
01,29,1976,17.5
01,30,1976,15.0
01,31,1976,13.5
02,01,1976,0.0
02,02,1976,0.0
02,03,1976,0.0
02,04,1976,0.0
02,05,1976,0.0
02,06,1976,0.0
02,07,1976,16.0
02,08,1976,28.0
02,09,1976,0.0
02,10,1976,0.0
02,11,1976,0.0
02,12,1976,0.0
02,13,1976,0.2
02,14,1976,0.2
02,15,1976,0.0
02,16,1976,0.0
02,17,1976,0.0
02,18,1976,0.0
02,19,1976,0.0
02,20,1976,0.0
02,21,1976,9.7
02,22,1976,9.9
02,23,1976,1.5
02,24,1976,0.2
02,25,1976,0.0
02,26,1976,0.2
02,27,1976,0.0
02,28,1976,0.0
02,29,1976,0.0
03,01,1976,0.0
03,02,1976,0.0
03,03,1976,0.0
03,04,1976,0.0
03,05,1976,0.0
03,06,1976,0.0
03,07,1976,0.0
03,08,1976,0.0
03,09,1976,0.0
03,10,1976,0.0
03,11,1976,0.0
03,12,1976,0.0
03,13,1976,0.0
03,14,1976,0.0
03,15,1976,0.0
03,16,1976,9.9
03,17,1976,45.9
03,18,1976,0.2
03,19,1976,0.0
03,20,1976,0.0
03,21,1976,0.0
03,22,1976,0.0
03,23,1976,2.5
03,24,1976,0.0
03,25,1976,0.0
03,26,1976,0.0
03,27,1976,0.0
03,28,1976,0.0
03,29,1976,0.0
03,30,1976,5.0
03,31,1976,0.0
04,01,1976,0.0
04,02,1976,4.0
04,03,1976,0.0
04,04,1976,7.0
04,05,1976,7.5
04,06,1976,0.0
04,07,1976,0.0
04,08,1976,0.0
04,09,1976,0.0
04,10,1976,0.0
04,11,1976,0.0
04,12,1976,0.0
04,13,1976,0.0
04,14,1976,0.0
04,15,1976,0.0
04,16,1976,0.0
04,17,1976,0.0
04,18,1976,0.0
04,19,1976,0.0
04,20,1976,0.0
04,21,1976,0.0
04,22,1976,0.0
04,23,1976,0.0
04,24,1976,0.0
04,25,1976,0.0
04,26,1976,0.0
04,27,1976,0.0
04,28,1976,0.0
04,29,1976,0.0
04,30,1976,14.3
05,01,1976,29.3
05,02,1976,29.7
05,03,1976,0.0
05,04,1976,0.0
05,05,1976,0.0
05,06,1976,0.0
05,07,1976,0.0
05,08,1976,0.0
05,09,1976,15.8
05,10,1976,0.0
05,11,1976,0.0
05,12,1976,0.0
05,13,1976,0.0
05,14,1976,7.4
05,15,1976,0.0
05,16,1976,0.0
05,17,1976,1.0
05,18,1976,25.8
05,19,1976,0.0
05,20,1976,0.0
05,21,1976,0.0
05,22,1976,0.0
05,23,1976,0.0
05,24,1976,0.0
05,25,1976,0.0
05,26,1976,0.0
05,27,1976,0.0
05,28,1976,0.0
05,29,1976,0.0
05,30,1976,0.0
05,31,1976,0.0
06,01,1976,0.0
06,02,1976,0.0
06,03,1976,0.0
06,04,1976,1.5
06,05,1976,9.0
06,06,1976,3.5
06,07,1976,0.0
06,08,1976,31.6
06,09,1976,9.5
06,10,1976,0.0
06,11,1976,0.0
06,12,1976,0.0
06,13,1976,0.0
06,14,1976,0.0
06,15,1976,0.0
06,16,1976,0.0
06,17,1976,0.0
06,18,1976,0.0
06,19,1976,28.6
06,20,1976,62.2
06,21,1976,55.0
06,22,1976,10.0
06,23,1976,0.0
06,24,1976,1.4
06,25,1976,42.4
06,26,1976,26.1
06,27,1976,7.0
06,28,1976,8.5
06,29,1976,7.8
06,30,1976,1.3
07,01,1976,0.8
07,02,1976,0.5
07,03,1976,0.0
07,04,1976,0.0
07,05,1976,0.0
07,06,1976,2.7
07,07,1976,2.0
07,08,1976,2.9
07,09,1976,1.5
07,10,1976,0.0
07,11,1976,0.0
07,12,1976,0.0
07,13,1976,0.0
07,14,1976,3.4
07,15,1976,100.0
07,16,1976,1.0
07,17,1976,17.2
07,18,1976,22.0
07,19,1976,20.2
07,20,1976,42.7
07,21,1976,0.0
07,22,1976,22.0
07,23,1976,13.5
07,24,1976,7.8
07,25,1976,36.5
07,26,1976,12.0
07,27,1976,0.0
07,28,1976,0.0
07,29,1976,15.4
07,30,1976,125.8
07,31,1976,0.0
08,01,1976,0.3
08,02,1976,0.0
08,03,1976,9.8
08,04,1976,0.0
08,05,1976,0.0
08,06,1976,28.0
08,07,1976,100.0
08,08,1976,8.9
08,09,1976,0.0
08,10,1976,8.0
08,11,1976,55.0
08,12,1976,6.2
08,13,1976,22.0
08,14,1976,26.2
08,15,1976,0.9
08,16,1976,0.8
08,17,1976,0.0
08,18,1976,5.5
08,19,1976,43.5
08,20,1976,0.7
08,21,1976,2.2
08,22,1976,15.5
08,23,1976,3.5
08,24,1976,8.9
08,25,1976,16.3
08,26,1976,0.0
08,27,1976,0.0
08,28,1976,41.8
08,29,1976,63.0
08,30,1976,64.5
08,31,1976,1.7
09,01,1976,1.1
09,02,1976,50.0
09,03,1976,133.0
09,04,1976,68.2
09,05,1976,0.0
09,06,1976,2.0
09,07,1976,4.3
09,08,1976,114.3
09,09,1976,78.8
09,10,1976,84.5
09,11,1976,14.6
09,12,1976,1.5
09,13,1976,191.2
09,14,1976,19.6
09,15,1976,23.0
09,16,1976,28.2
09,17,1976,0.5
09,18,1976,0.0
09,19,1976,4.8
09,20,1976,0.0
09,21,1976,0.0
09,22,1976,3.0
09,23,1976,0.3
09,24,1976,0.0
09,25,1976,0.0
09,26,1976,0.0
09,27,1976,4.9
09,28,1976,3.2
09,29,1976,2.6
09,30,1976,43.0
10,01,1976,13.0
10,02,1976,0.0
10,03,1976,0.0
10,04,1976,0.0
10,05,1976,0.0
