Id:,31072
Estación:,TEABO-YUC
Posición:,20.4102777778N -89.2880555556W
Variable:,Precipitación (mm)
Fecha Inicial:,04/01/1978
Fecha Final:,12/01/2007
No Dato:,nan
Mes,Día,Anio,Datos
04,01,1978,0.0
04,02,1978,0.0
04,03,1978,0.0
04,04,1978,0.0
04,05,1978,0.0
04,06,1978,0.0
04,07,1978,0.0
04,08,1978,0.0
04,09,1978,0.0
04,10,1978,0.0
04,11,1978,0.0
04,12,1978,0.0
04,13,1978,0.0
04,14,1978,0.0
04,15,1978,0.0
04,16,1978,0.0
04,17,1978,0.0
04,18,1978,0.0
04,19,1978,0.0
04,20,1978,0.0
04,21,1978,0.0
04,22,1978,0.0
04,23,1978,0.0
04,24,1978,0.0
04,25,1978,0.0
04,26,1978,0.0
04,27,1978,0.0
04,28,1978,0.0
04,29,1978,0.0
04,30,1978,0.0
05,01,1978,0.0
05,02,1978,0.0
05,03,1978,0.0
05,04,1978,0.0
05,05,1978,0.0
05,06,1978,0.0
05,07,1978,0.0
05,08,1978,0.0
05,09,1978,0.0
05,10,1978,0.0
05,11,1978,0.0
05,12,1978,0.0
05,13,1978,0.0
05,14,1978,0.0
05,15,1978,0.0
05,16,1978,0.0
05,17,1978,0.0
05,18,1978,11.5
05,19,1978,7.0
05,20,1978,19.0
05,21,1978,0.0
05,22,1978,6.5
05,23,1978,20.0
05,24,1978,20.0
05,25,1978,12.0
05,26,1978,0.0
05,27,1978,3.0
05,28,1978,20.0
05,29,1978,1.8
05,30,1978,19.0
05,31,1978,0.0
06,01,1978,1.0
06,02,1978,0.0
06,03,1978,0.0
06,04,1978,1.0
06,05,1978,0.0
06,06,1978,2.5
06,07,1978,0.0
06,08,1978,0.0
06,09,1978,0.0
06,10,1978,0.0
06,11,1978,0.0
06,12,1978,0.0
06,13,1978,19.0
06,14,1978,20.0
06,15,1978,4.0
06,16,1978,3.0
06,17,1978,0.0
06,18,1978,17.0
06,19,1978,60.0
06,20,1978,18.0
06,21,1978,18.0
06,22,1978,1.0
06,23,1978,0.0
06,24,1978,3.0
06,25,1978,0.0
06,26,1978,0.0
06,27,1978,2.0
06,28,1978,1.0
06,29,1978,2.0
06,30,1978,0.0
07,01,1978,0.0
07,02,1978,1.0
07,03,1978,20.0
07,04,1978,0.0
07,05,1978,2.0
07,06,1978,4.0
07,07,1978,4.0
07,08,1978,3.0
07,09,1978,0.0
07,10,1978,0.0
07,11,1978,4.0
07,12,1978,85.0
07,13,1978,0.0
07,14,1978,0.0
07,15,1978,0.0
07,16,1978,0.0
07,17,1978,0.0
07,18,1978,0.0
07,19,1978,0.0
07,20,1978,0.0
