Id:,31040
Estación:,CELESTUN (DGE)-YUC
Posición:,20.8591666667N -90.4066666667W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1961
Fecha Final:,01/01/2006
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1961,25.0
01,02,1961,25.75
01,03,1961,26.0
01,04,1961,25.0
01,05,1961,23.25
01,06,1961,23.25
01,07,1961,23.5
01,08,1961,24.0
01,09,1961,24.0
01,10,1961,24.5
01,11,1961,24.5
01,12,1961,24.5
01,13,1961,24.0
01,14,1961,24.0
01,15,1961,24.75
01,16,1961,24.5
01,17,1961,24.25
01,18,1961,21.5
01,19,1961,22.0
01,20,1961,21.5
01,21,1961,22.0
01,22,1961,22.25
01,23,1961,23.0
01,24,1961,23.0
01,25,1961,23.25
01,26,1961,24.0
01,27,1961,26.25
01,28,1961,27.0
01,29,1961,27.0
01,30,1961,26.75
01,31,1961,25.25
02,01,1961,26.75
02,02,1961,26.0
02,03,1961,23.75
02,04,1961,23.5
02,05,1961,24.75
02,06,1961,24.25
02,07,1961,24.25
02,08,1961,24.5
02,09,1961,24.25
02,10,1961,23.25
02,11,1961,24.0
02,12,1961,23.0
02,13,1961,21.75
02,14,1961,24.75
02,15,1961,25.5
02,16,1961,25.75
02,17,1961,27.5
02,18,1961,28.25
02,19,1961,27.5
02,20,1961,28.0
02,21,1961,27.5
02,22,1961,28.0
02,23,1961,28.0
02,24,1961,28.25
02,25,1961,25.75
02,26,1961,24.0
02,27,1961,24.25
02,28,1961,25.75
03,01,1961,26.0
03,02,1961,26.5
03,03,1961,25.5
03,04,1961,26.0
03,05,1961,26.75
03,06,1961,26.5
03,07,1961,27.5
03,08,1961,28.5
03,09,1961,28.25
03,10,1961,27.5
03,11,1961,26.25
03,12,1961,25.75
03,13,1961,26.0
03,14,1961,26.0
03,15,1961,26.25
03,16,1961,26.0
03,17,1961,26.0
03,18,1961,26.25
03,19,1961,26.5
03,20,1961,25.75
03,21,1961,25.75
03,22,1961,25.75
03,23,1961,26.25
03,24,1961,25.75
03,25,1961,26.75
03,26,1961,27.0
03,27,1961,26.75
03,28,1961,27.0
03,29,1961,27.0
03,30,1961,27.25
03,31,1961,27.75
04,01,1961,28.75
04,02,1961,29.0
04,03,1961,28.25
04,04,1961,28.75
04,05,1961,29.25
04,06,1961,29.25
04,07,1961,29.25
04,08,1961,28.25
04,09,1961,28.75
04,10,1961,28.25
04,11,1961,28.75
04,12,1961,28.0
04,13,1961,26.75
04,14,1961,28.0
04,15,1961,28.75
04,16,1961,28.75
04,17,1961,28.75
04,18,1961,28.5
04,19,1961,28.5
04,20,1961,28.75
04,21,1961,27.5
04,22,1961,27.75
04,23,1961,28.5
04,24,1961,28.5
04,25,1961,28.5
04,26,1961,29.5
04,27,1961,29.25
04,28,1961,29.75
04,29,1961,30.0
04,30,1961,30.5
05,01,1961,30.75
05,02,1961,30.0
05,03,1961,30.75
05,04,1961,30.25
05,05,1961,30.5
05,06,1961,30.75
05,07,1961,31.0
05,08,1961,31.0
05,09,1961,31.0
05,10,1961,31.0
05,11,1961,29.0
05,12,1961,29.0
05,13,1961,28.5
05,14,1961,28.5
05,15,1961,28.5
05,16,1961,29.0
05,17,1961,29.0
05,18,1961,28.75
05,19,1961,28.5
05,20,1961,30.0
05,21,1961,30.25
05,22,1961,30.25
05,23,1961,30.5
05,24,1961,30.75
05,25,1961,31.5
05,26,1961,31.5
05,27,1961,31.75
05,28,1961,31.0
05,29,1961,31.75
05,30,1961,31.75
05,31,1961,30.75
06,01,1961,31.0
06,02,1961,30.0
06,03,1961,29.5
06,04,1961,28.5
06,05,1961,28.25
06,06,1961,27.5
06,07,1961,27.75
06,08,1961,28.5
06,09,1961,29.25
06,10,1961,30.25
06,11,1961,30.0
06,12,1961,29.5
06,13,1961,30.0
06,14,1961,30.75
06,15,1961,31.25
06,16,1961,31.25
06,17,1961,31.75
06,18,1961,31.75
06,19,1961,31.5
06,20,1961,30.5
06,21,1961,30.25
06,22,1961,27.75
06,23,1961,28.5
06,24,1961,28.25
06,25,1961,28.75
06,26,1961,30.0
06,27,1961,29.5
06,28,1961,30.0
06,29,1961,30.0
06,30,1961,30.5
07,01,1961,30.25
07,02,1961,30.0
07,03,1961,29.5
07,04,1961,28.5
07,05,1961,29.25
07,06,1961,29.25
07,07,1961,28.25
07,08,1961,28.25
07,09,1961,28.5
07,10,1961,29.0
07,11,1961,29.0
07,12,1961,27.0
07,13,1961,29.5
07,14,1961,30.25
07,15,1961,30.75
07,16,1961,30.5
07,17,1961,29.5
07,18,1961,27.0
07,19,1961,27.25
07,20,1961,28.75
07,21,1961,28.5
07,22,1961,28.5
07,23,1961,30.0
07,24,1961,30.0
07,25,1961,28.5
07,26,1961,28.75
07,27,1961,28.5
07,28,1961,28.25
07,29,1961,27.0
07,30,1961,27.25
07,31,1961,28.0
08,01,1961,28.5
08,02,1961,27.75
08,03,1961,26.75
08,04,1961,27.5
08,05,1961,27.0
08,06,1961,27.75
08,07,1961,28.0
08,08,1961,28.0
08,09,1961,28.25
08,10,1961,27.5
08,11,1961,27.5
08,12,1961,27.0
08,13,1961,28.0
08,14,1961,27.5
08,15,1961,27.0
08,16,1961,27.5
08,17,1961,29.0
08,18,1961,27.5
08,19,1961,27.75
08,20,1961,27.0
08,21,1961,26.75
08,22,1961,27.0
08,23,1961,27.75
08,24,1961,28.25
08,25,1961,28.0
08,26,1961,28.75
08,27,1961,28.25
08,28,1961,27.5
08,29,1961,28.5
08,30,1961,29.0
08,31,1961,28.5
09,01,1961,28.25
09,02,1961,28.5
09,03,1961,29.0
09,04,1961,28.0
09,05,1961,28.0
09,06,1961,29.25
09,07,1961,28.25
09,08,1961,26.0
09,09,1961,25.25
09,10,1961,29.75
09,11,1961,29.75
09,12,1961,29.75
09,13,1961,30.0
09,14,1961,30.0
09,15,1961,30.0
09,16,1961,30.25
09,17,1961,30.25
09,18,1961,29.5
09,19,1961,29.75
09,20,1961,29.0
09,21,1961,29.25
09,22,1961,29.0
09,23,1961,28.5
09,24,1961,28.5
09,25,1961,28.5
09,26,1961,28.25
09,27,1961,28.0
09,28,1961,28.0
09,29,1961,27.75
09,30,1961,27.5
10,01,1961,27.75
10,02,1961,26.5
10,03,1961,27.0
10,04,1961,25.5
10,05,1961,25.5
10,06,1961,27.0
10,07,1961,28.0
10,08,1961,27.25
10,09,1961,27.25
10,10,1961,27.5
10,11,1961,27.5
10,12,1961,27.5
10,13,1961,27.5
10,14,1961,27.0
10,15,1961,25.5
10,16,1961,25.75
10,17,1961,25.5
10,18,1961,25.5
10,19,1961,25.5
10,20,1961,25.75
10,21,1961,25.5
10,22,1961,23.75
10,23,1961,24.0
10,24,1961,23.5
10,25,1961,24.5
10,26,1961,25.25
10,27,1961,25.25
10,28,1961,24.75
10,29,1961,25.25
10,30,1961,25.75
10,31,1961,27.25
11,01,1961,27.75
11,02,1961,28.5
11,03,1961,29.0
11,04,1961,28.5
11,05,1961,26.0
11,06,1961,24.75
11,07,1961,24.75
11,08,1961,25.0
11,09,1961,24.0
11,10,1961,25.5
11,11,1961,26.5
11,12,1961,25.5
11,13,1961,27.5
11,14,1961,28.25
11,15,1961,27.5
11,16,1961,27.25
11,17,1961,26.5
11,18,1961,27.25
11,19,1961,26.75
11,20,1961,26.5
11,21,1961,26.25
11,22,1961,26.25
11,23,1961,24.25
11,24,1961,22.75
11,25,1961,23.0
11,26,1961,23.5
11,27,1961,23.75
