Id:,32031
Estación:,LA BUFA (OBS)-ZAC
Posición:,22.7788888889N -102.576111111W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1983
Fecha Final:,01/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1983,15.0
01,02,1983,13.5
01,03,1983,14.75
01,04,1983,15.5
01,05,1983,14.5
01,06,1983,15.0
01,07,1983,15.5
01,08,1983,17.0
01,09,1983,10.0
01,10,1983,10.75
01,11,1983,12.0
01,12,1983,12.75
01,13,1983,12.0
01,14,1983,14.5
01,15,1983,12.5
01,16,1983,14.5
01,17,1983,13.0
01,18,1983,12.0
01,19,1983,10.0
01,20,1983,11.5
01,21,1983,11.0
01,22,1983,12.0
01,23,1983,12.25
01,24,1983,14.0
01,25,1983,14.0
01,26,1983,16.0
01,27,1983,15.0
01,28,1983,16.5
01,29,1983,11.5
01,30,1983,13.0
01,31,1983,18.0
02,01,1983,14.5
02,02,1983,15.5
02,03,1983,15.5
02,04,1983,15.0
02,05,1983,16.5
02,06,1983,16.5
02,07,1983,14.5
02,08,1983,17.0
02,09,1983,17.0
02,10,1983,18.0
02,11,1983,16.5
02,12,1983,16.5
02,13,1983,15.5
02,14,1983,15.0
02,15,1983,15.5
02,16,1983,14.5
02,17,1983,14.0
02,18,1983,12.5
02,19,1983,14.0
02,20,1983,12.0
02,21,1983,15.5
02,22,1983,16.5
02,23,1983,14.5
02,24,1983,17.0
02,25,1983,13.5
02,26,1983,8.5
02,27,1983,12.5
02,28,1983,14.25
03,01,1983,16.0
03,02,1983,15.0
03,03,1983,13.5
03,04,1983,11.5
03,05,1983,10.5
03,06,1983,13.0
03,07,1983,15.5
03,08,1983,15.5
03,09,1983,13.0
03,10,1983,14.5
03,11,1983,12.0
03,12,1983,13.5
03,13,1983,15.5
03,14,1983,14.0
03,15,1983,15.0
03,16,1983,11.5
03,17,1983,13.0
03,18,1983,11.0
03,19,1983,13.0
03,20,1983,13.5
03,21,1983,13.0
03,22,1983,13.0
03,23,1983,15.0
03,24,1983,16.5
03,25,1983,11.0
03,26,1983,11.5
03,27,1983,12.5
03,28,1983,13.5
03,29,1983,11.0
03,30,1983,12.5
03,31,1983,13.5
04,01,1983,18.0
04,02,1983,15.5
04,03,1983,15.5
04,04,1983,19.0
04,05,1983,19.25
04,06,1983,20.0
04,07,1983,21.0
04,08,1983,19.0
04,09,1983,17.5
04,10,1983,17.0
04,11,1983,14.0
04,12,1983,14.5
04,13,1983,16.5
04,14,1983,16.0
04,15,1983,17.0
04,16,1983,16.5
04,17,1983,15.5
04,18,1983,17.5
04,19,1983,17.0
04,20,1983,14.0
04,21,1983,17.5
04,22,1983,16.0
04,23,1983,18.0
04,24,1983,20.0
04,25,1983,19.0
04,26,1983,20.0
04,27,1983,19.5
04,28,1983,18.25
04,29,1983,19.5
04,30,1983,21.5
05,01,1983,null
05,02,1983,null
05,03,1983,null
05,04,1983,null
05,05,1983,null
05,06,1983,null
05,07,1983,null
05,08,1983,null
05,09,1983,null
05,10,1983,null
05,11,1983,null
05,12,1983,null
05,13,1983,null
05,14,1983,null
05,15,1983,null
05,16,1983,null
05,17,1983,null
05,18,1983,null
05,19,1983,null
05,20,1983,null
05,21,1983,null
05,22,1983,null
05,23,1983,null
05,24,1983,null
05,25,1983,null
05,26,1983,null
05,27,1983,null
05,28,1983,null
05,29,1983,null
05,30,1983,null
05,31,1983,null
06,01,1983,null
06,02,1983,null
06,03,1983,null
06,04,1983,null
06,05,1983,null
06,06,1983,null
06,07,1983,null
06,08,1983,null
06,09,1983,null
06,10,1983,null
06,11,1983,null
06,12,1983,null
06,13,1983,null
06,14,1983,null
06,15,1983,null
06,16,1983,null
06,17,1983,null
06,18,1983,null
06,19,1983,null
06,20,1983,null
06,21,1983,null
06,22,1983,null
06,23,1983,null
06,24,1983,null
06,25,1983,null
06,26,1983,null
06,27,1983,null
06,28,1983,null
06,29,1983,null
06,30,1983,null
07,01,1983,null
07,02,1983,null
07,03,1983,null
07,04,1983,null
07,05,1983,null
07,06,1983,null
07,07,1983,null
07,08,1983,null
07,09,1983,null
07,10,1983,null
07,11,1983,null
07,12,1983,null
07,13,1983,null
07,14,1983,null
07,15,1983,null
07,16,1983,null
07,17,1983,null
07,18,1983,null
07,19,1983,null
07,20,1983,null
07,21,1983,null
07,22,1983,null
07,23,1983,null
07,24,1983,null
07,25,1983,null
07,26,1983,null
07,27,1983,null
07,28,1983,null
07,29,1983,null
07,30,1983,null
07,31,1983,null
08,01,1983,null
08,02,1983,null
08,03,1983,null
08,04,1983,null
08,05,1983,null
08,06,1983,null
08,07,1983,null
08,08,1983,null
08,09,1983,null
08,10,1983,null
08,11,1983,null
08,12,1983,null
08,13,1983,null
08,14,1983,null
