STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20120101,78,15,3,0,15,3,4,19,4,0,19,4,0,4,1,0,4,1,5,0,0,1,0,0,1,0,0,135.9,0,0,-9999,0,0,162.0,0,0,37.5,19,4,15.7,4,1,31.4,19,4,21.5,4,1,26.1,15,3
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20120201,84,12,3,0,12,3,2,13,3,0,13,3,0,4,2,0,4,2,7,0,0,4,0,0,4,0,0,88.9,0,0,-9999,0,0,246.7,0,0,35.0,13,3,15.4,4,2,28.8,13,3,20.3,4,2,24.3,12,3
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20120301,40,9,2,1,9,2,0,14,3,0,14,3,0,9,3,0,9,3,6,0,0,4,0,0,2,0,0,49.0,0,0,-9999,0,0,139.5,0,0,30.5,14,3,9.0,9,3,25.9,14,3,18.4,9,3,22.2,9,2
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20120401,22,9,2,22,9,2,0,11,2,0,11,2,0,7,2,0,7,2,4,0,0,1,0,0,1,0,0,34.0,0,0,-9999,0,0,51.2,0,0,29.1,11,2,8.0,7,2,22.2,11,2,15.2,7,2,18.3,9,2
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20120501,3,15,5,16,15,5,0,16,5,0,16,5,0,5,2,0,5,2,4,0,0,2,0,0,2,0,0,34.0,0,0,-9999,0,0,80.5,0,0,23.7,16,5,9.8,5,2,20.2,16,5,14.2,5,2,17.1,15,5
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20120601,0,14,2,68,14,2,0,14,2,0,14,2,0,8,2,0,8,2,0,0,0,0,0,0,0,0,0,1.0,0,0,-9999,0,0,1.8,0,0,22.0,14,2,1.5,8,2,17.4,14,2,7.8,8,2,12.1,14,2
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20120701,0,11,3,133,11,3,0,12,3,0,12,3,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,7.9,0,0,-9999,0,0,8.4,0,0,20.0,12,3,1.2,2,1,14.2,12,3,6.1,2,1,10.0,11,3
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20120801,0,6,2,54,6,2,0,12,3,0,12,3,0,7,1,0,7,1,10,0,0,4,0,0,4,0,0,69.1,0,0,-9999,0,0,235.7,0,0,26.5,12,3,5.3,7,1,16.9,12,3,10.3,7,1,12.3,6,2
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20120901,4,16,3,37,16,3,0,14,3,0,14,3,0,5,2,0,5,2,4,0,0,2,0,0,1,0,0,33.0,0,0,-9999,0,0,66.1,0,0,25.2,14,3,5.6,5,2,19.2,14,3,12.2,5,2,15.8,16,3
GHCND:ARM00087582,AEROPARQUE JORGE NEWBERY AR,5.5,-34.559,-58.416,20121001,16,13,3,12,13,3,0,13,3,0,13,3,0,2,1,0,2,1,10,0,0,6,0,0,4,0,0,104.9,0,0,-9999,0,0,267.5,0,0,26.2,13,3,8.6,2,1,22.1,13,3,15.0,2,1,18.6,13,3
