STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20100701,5,13,4,4,13,4,0,13,4,0,13,4,0,9,2,0,9,2,2,0,0,0,0,0,0,0,0,9.9,0,0,20.5,0,0,26.0,13,4,12.0,9,2,21.9,13,4,14.0,9,2,18.4,13,4
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20100801,30,10,4,1,10,4,0,16,5,0,16,5,0,6,2,0,6,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,29.4,16,5,7.5,6,2,26.3,16,5,13.2,6,2,20.7,10,4
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20100901,18,13,4,1,13,4,0,16,4,0,16,4,0,4,3,0,4,3,2,0,0,1,0,0,0,0,0,16.0,0,0,23.6,0,0,29.8,16,4,10.0,4,3,27.3,16,4,14.3,4,3,20.8,13,4
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20101001,32,9,3,5,9,3,0,15,6,0,15,6,0,4,3,0,4,3,6,0,0,3,0,0,2,0,0,33.0,0,0,105.1,0,0,29.4,15,6,9.6,4,3,26.4,15,6,14.6,4,3,20.4,9,3
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20101101,41,17,6,2,17,6,0,17,6,0,17,6,0,1,1,0,1,1,16,0,0,11,0,0,4,0,0,56.9,0,0,308.4,0,0,30.8,17,6,12.0,1,1,25.8,17,6,16.6,1,1,21.8,17,6
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20101201,82,11,4,0,11,4,0,13,4,0,13,4,0,6,3,0,6,3,18,0,0,13,0,0,7,0,0,64.0,0,0,475.5,0,0,31.8,13,4,16.5,6,3,29.0,13,4,18.6,6,3,23.8,11,4
GHCND:BRM00082361,TUCURUI BR,253,-3.786,-49.72,20100701,68,19,13,0,19,13,14,17,13,0,17,13,0,23,15,0,23,15,0,0,0,0,0,0,0,0,0,2.0,0,0,3.0,0,0,37.0,17,13,22.3,23,15,35.4,17,13,23.7,23,15,29.6,19,13
GHCND:BRM00082361,TUCURUI BR,253,-3.786,-49.72,20100801,92,11,3,0,11,3,24,4,2,0,4,2,0,10,3,0,10,3,1,0,0,0,0,0,0,0,0,6.1,0,0,9.1,0,0,37.8,4,2,21.3,10,3,36.5,4,2,23.1,10,3,29.9,11,3
GHCND:BRM00082361,TUCURUI BR,253,-3.786,-49.72,20100901,13,22,22,0,22,22,4,25,22,0,25,22,0,21,21,0,21,21,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,37.0,25,22,24.4,21,21,35.9,25,22,24.9,21,21,31.2,22,22
GHCND:BRM00082361,TUCURUI BR,253,-3.786,-49.72,20101001,22,10,9,0,10,9,21,10,2,0,10,2,0,20,9,0,20,9,9,0,0,3,0,0,0,0,0,23.1,0,0,97.2,0,0,37.8,10,2,23.0,20,9,35.9,10,2,24.0,20,9,29.4,10,9
