STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20160101,5,9,3,9,9,3,0,14,5,0,14,5,0,9,3,0,9,3,15,0,0,12,0,0,4,0,0,62.0,0,0,376.4,0,0,32.0,14,5,7.5,9,3,27.8,14,5,9.7,9,3,17.9,9,3
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20160201,8,18,11,0,18,11,2,14,3,0,14,3,0,19,11,0,19,11,8,0,0,6,0,0,3,0,0,74.9,0,0,220.2,0,0,33.8,14,3,7.0,19,11,30.9,14,3,9.4,19,11,19.5,18,11
GHCND:BR002143012,JUIZ DE FORA BR,911,-21.767,-43.35,20160301,5,13,3,4,13,3,0,15,3,0,15,3,0,7,3,0,7,3,7,0,0,3,0,0,1,0,0,42.9,0,0,106.4,0,0,30.2,15,3,7.5,7,3,28.3,15,3,10.3,7,3,18.4,13,3
GHCND:BR057324290,MONTES CLAROS BR,668,-16.717,-43.867,20160101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,21,7,0,21,7,19,0,0,11,0,0,7,0,0,80.0,0,0,466.7,0,0,-9999,0,0,18.9,21,7,-9999,0,0,20.8,21,7,-9999,0,0
GHCND:BR057324290,MONTES CLAROS BR,668,-16.717,-43.867,20160201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,16,5,0,16,5,1,0,0,0,0,0,0,0,0,7.1,0,0,7.4,0,0,-9999,0,0,19.0,16,5,-9999,0,0,20.9,16,5,-9999,0,0
GHCND:BR057324290,MONTES CLAROS BR,668,-16.717,-43.867,20160301,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,19,11,0,19,11,3,0,0,1,0,0,0,0,0,16.0,0,0,31.8,0,0,-9999,0,0,20.8,19,11,-9999,0,0,21.8,19,11,-9999,0,0
GHCND:BRM00082361,TUCURUI BR,253,-3.786,-49.72,20160101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,9,3,0,9,3,6,0,0,2,0,0,2,0,0,183.9,0,0,247.8,0,0,-9999,0,0,18.2,9,3,-9999,0,0,20.1,9,3,-9999,0,0
GHCND:BRM00082361,TUCURUI BR,253,-3.786,-49.72,20160201,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,9,2,0,9,2,11,0,0,1,0,0,0,0,0,13.0,0,0,78.6,0,0,-9999,0,0,18.6,9,2,-9999,0,0,19.9,9,2,-9999,0,0
GHCND:BRM00082361,TUCURUI BR,253,-3.786,-49.72,20160301,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,11,2,0,11,2,15,0,0,7,0,0,3,0,0,65.0,0,0,256.1,0,0,-9999,0,0,18.2,11,2,-9999,0,0,19.5,11,2,-9999,0,0
GHCND:BRM00082193,VAL DE CANS INTERNATIONAL BR,16.5,-1.379,-48.476,20160101,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,18,3,0,18,3,12,0,0,5,0,0,1,0,0,35.1,0,0,166.4,0,0,-9999,0,0,22.5,18,3,-9999,0,0,24.2,18,3,-9999,0,0
