STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20070101,71,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0,9,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,29.3,9,3,15.2,9,3,28.4,9,3,19.2,9,3,23.8,9,3
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20070301,130,10,1,0,10,1,2,10,1,0,10,1,0,10,1,0,10,1,1,0,0,0,0,0,0,0,0,2.8,0,0,2.8,0,0,32.4,10,1,15.2,10,1,31.0,10,1,18.6,10,1,24.8,10,1
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20070401,157,4,1,0,4,1,2,4,1,0,4,1,0,4,1,0,4,1,6,0,0,1,0,0,0,0,0,18.3,0,0,53.8,0,0,32.7,4,1,15.7,4,1,30.6,4,1,18.1,4,1,24.3,4,1
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20070501,118,8,2,0,8,2,0,8,2,0,8,2,0,8,2,0,8,2,13,0,0,3,0,0,2,0,0,29.7,0,0,142.9,0,0,31.6,8,2,17.6,8,2,29.2,8,2,18.6,8,2,23.9,8,2
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20070601,95,9,3,0,9,3,0,9,3,0,9,3,0,9,3,0,9,3,6,0,0,0,0,0,0,0,0,12.2,0,0,53.1,0,0,29.7,9,3,16.4,9,3,28.1,9,3,18.1,9,3,23.1,9,3
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20070701,106,10,2,0,10,2,0,10,2,0,10,2,0,10,2,0,10,2,7,0,0,3,0,0,1,0,0,29.5,0,0,92.1,0,0,31.7,10,2,13.9,10,2,28.5,10,2,18.2,10,2,23.3,10,2
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20070801,105,9,1,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1,12,0,0,5,0,0,4,0,0,68.1,0,0,234.6,0,0,31.2,9,1,16.7,9,1,28.1,9,1,18.0,9,1,23.1,9,1
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20070901,86,13,4,0,13,4,0,13,4,0,13,4,0,13,4,0,13,4,18,0,0,8,0,0,4,0,0,58.4,0,0,293.5,0,0,30.5,13,4,16.4,13,4,28.7,13,4,18.0,13,4,23.4,13,4
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20071001,97,6,2,0,6,2,0,6,2,0,6,2,0,6,2,0,6,2,19,0,0,10,0,0,3,0,0,71.6,0,0,376.4,0,0,29.3,6,2,15.5,6,2,26.8,6,2,17.6,6,2,22.2,6,2
GHCND:CSM00078762,JUAN SANTAMARIA INTERNATIONAL CS,920.8,9.994,-84.209,20071101,111,7,3,0,7,3,0,7,3,0,7,3,0,7,3,0,7,3,9,0,0,6,0,0,2,0,0,33.5,0,0,139.4,0,0,30.1,7,3,15.1,7,3,28.2,7,3,18.1,7,3,23.1,7,3
