STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:NU000069034,JUIGALPA NU,90,12.1,-85.367,20070101,18,24,24,0,24,24,0,24,24,0,24,24,0,24,24,0,24,24,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.0,24,24,21.8,24,24,31.5,24,24,22.9,24,24,27.2,24,24
GHCND:NU000069034,JUIGALPA NU,90,12.1,-85.367,20070301,9,18,18,0,18,18,0,18,18,0,18,18,0,18,18,0,18,18,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,31.9,18,18,23.0,18,18,31.9,18,18,23.0,18,18,27.5,18,18
GHCND:NU000069034,JUIGALPA NU,90,12.1,-85.367,20070401,12,27,27,0,27,27,1,27,27,0,27,27,0,27,27,0,27,27,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,34.5,27,27,26.1,27,27,34.5,27,27,26.1,27,27,30.3,27,27
GHCND:NU000069034,JUIGALPA NU,90,12.1,-85.367,20070701,10,22,22,0,22,22,1,22,22,0,22,22,0,22,22,0,22,22,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.6,22,22,23.6,22,22,32.6,22,22,23.6,22,22,28.1,22,22
GHCND:NU000069034,JUIGALPA NU,90,12.1,-85.367,20070801,20,13,12,0,13,12,1,13,12,0,13,12,0,13,12,0,13,12,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,33.0,13,12,22.5,13,12,32.2,13,12,24.1,13,12,28.1,13,12
GHCND:NU000069034,JUIGALPA NU,90,12.1,-85.367,20070901,9,16,16,0,16,16,0,16,16,0,16,16,0,16,16,0,16,16,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.0,16,16,23.0,16,16,32.0,16,16,23.0,16,16,27.5,16,16
GHCND:NU000069034,JUIGALPA NU,90,12.1,-85.367,20120301,10,8,8,0,8,8,1,8,8,0,8,8,0,8,8,0,8,8,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.6,8,8,23.0,8,8,32.6,8,8,23.0,8,8,27.8,8,8
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20070101,17,17,15,0,17,15,1,17,15,0,17,15,0,17,15,0,17,15,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.2,17,15,21.2,17,15,31.2,17,15,22.0,17,15,26.6,17,15
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20070301,10,9,9,0,9,9,1,9,9,0,9,9,0,9,9,0,9,9,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,35.1,9,9,21.0,9,9,35.1,9,9,21.0,9,9,28.1,9,9
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20070501,21,28,23,0,28,23,1,28,23,0,28,23,0,28,23,0,28,23,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,34.1,28,23,24.6,28,23,33.1,28,23,24.8,28,23,29.0,28,23
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20070601,32,20,18,0,20,18,3,20,18,0,20,18,0,20,18,0,20,18,1,0,0,0,0,0,0,0,0,6.1,0,0,6.1,0,0,34.5,20,18,23.7,20,18,33.7,20,18,24.4,20,18,29.0,20,18
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20070701,19,21,16,0,21,16,2,21,16,0,21,16,0,21,16,0,21,16,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,33.3,21,16,21.7,21,16,33.0,21,16,22.1,21,16,27.6,21,16
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20070801,39,17,9,0,17,9,3,17,9,0,17,9,0,17,9,0,17,9,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,34.1,17,9,23.0,17,9,32.8,17,9,23.1,17,9,28.0,17,9
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20070901,19,16,16,0,16,16,0,16,16,0,16,16,0,16,16,0,16,16,1,0,0,0,0,0,0,0,0,3.3,0,0,4.3,0,0,32.1,16,16,22.0,16,16,32.1,16,16,23.0,16,16,27.6,16,16
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20071001,19,4,4,0,4,4,2,4,4,0,4,4,0,4,4,0,4,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,32.9,4,4,23.0,4,4,32.7,4,4,23.0,4,4,27.9,4,4
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20140601,12,10,10,0,10,10,1,10,10,0,10,10,0,10,10,0,10,10,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,34.1,10,10,26.6,10,10,34.1,10,10,26.6,10,10,30.4,10,10
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20140801,22,15,15,0,15,15,2,15,15,0,15,15,0,15,15,0,15,15,1,0,0,0,0,0,0,0,0,3.0,0,0,4.8,0,0,35.0,15,15,24.4,15,15,34.2,15,15,24.5,15,15,29.3,15,15
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20140901,19,13,13,0,13,13,1,13,13,0,13,13,0,13,13,0,13,13,1,0,0,1,0,0,0,0,0,21.3,0,0,21.3,0,0,32.7,13,13,23.0,13,13,32.4,13,13,23.3,13,13,27.8,13,13
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20141001,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,1.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:NUM00078741,MANAGUA INTERNATIONAL NU,59.1,12.141,-86.168,20150701,10,14,14,0,14,14,1,14,14,0,14,14,0,14,14,0,14,14,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,33.1,14,14,23.6,14,14,33.1,14,14,23.6,14,14,28.4,14,14
