ARGENTINA													
ELEVATION (m)	LATITUDE	LONGITUDE	DATE	"TPCP (total precipitation amout per month, mm)"	MNTM (mean monthly temp C)	YEAR (aegypti locations)	"ELEVATION (m, 5km x 5km)"	LAT	LONG	YEAR (albopictus)	"ELEVATION (m, 5km x 5km)"	LAT	LONG
5.5	-34.559	-58.416	20150101	209.3	24.2	0	1197	-24.77	-65.4	1998	548	-26.06	-53.74
5.5	-34.559	-58.416	20150201	31.9	25.1	0	1193	-24.78	-65.42	1998	221	-26.41	-54.58
5.5	-34.559	-58.416	20150301	1.3	22.5	0	806	-26.25	-53.65				
5.5	-34.559	-58.416	20150401	74.2	20.9	0	625	-22.02	-63.68				
5.5	-34.559	-58.416	20150501	38.4	18.4	0	611	-22.03	-63.68				
5.5	-34.559	-58.416	20150601	67.3	13.9	0	594	-22.05	-63.69				
5.5	-34.559	-58.416	20150701	55.9	12.2	0	552	-28.47	-65.78				
5.5	-34.559	-58.416	20150801	216.6	14.4	0	552	-28.47	-65.78				
5.5	-34.559	-58.416	20150901	27.8	15.7	0	542	-28.45	-65.78				
5.5	-34.559	-58.416	20151001	62.7	15	0	540	-29.41	-66.86				
5.5	-34.559	-58.416	20151101	205.9	20.9	0	514	-29.42	-66.85				
5.5	-34.559	-58.416	20151201	54.6	24.3	0	512	-22.52	-63.81				
449	-22.62	-63.794	20150101	198.8	27.2	0	512	-22.55	-63.81				
449	-22.62	-63.794	20150201	105.4	27.3	0	485	-26.8	-65.22				
449	-22.62	-63.794	20150301	58.6	26.5	0	477	-22.52	-63.78				
449	-22.62	-63.794	20150401	196.4	24.1	0	466	-26.81	-65.22				
449	-22.62	-63.794	20150501	26.1	20.4	0	451	-23.83	-64.79				
449	-22.62	-63.794	20150601	16.8	17.8	0	438	-31.37	-64.2				
449	-22.62	-63.794	20150701	12	16.6	0	432	-31.38	-64.17				
449	-22.62	-63.794	20150801	21.4	20.5	0	423	-31.4	-64.18				
449	-22.62	-63.794	20150901	3	23.2	0	417	-31.4	-64.19				
449	-22.62	-63.794	20151001	2.3	26	0	412	-31.42	-64.18				
449	-22.62	-63.794	20151101	59.3	24.8	0	406	-22.74	-64.35				
449	-22.62	-63.794	20151201	77	27.4	0	360	-23.13	-64.33				
463.9	-28.596	-65.752	20150101	177.2	29	0	357	-23.13	-64.32				
463.9	-28.596	-65.752	20150201	112.3	27.1	0	227	-25.92	-54.59				
463.9	-28.596	-65.752	20150301	47.1	27.5	0	220	-25.92	-54.6				
463.9	-28.596	-65.752	20150401	11.9	24.9	0	202	-32.4	-63.23				
463.9	-28.596	-65.752	20150501	7	19.4	0	192	-27.78	-64.27				
463.9	-28.596	-65.752	20150601	-9999	15.2	0	192	-27.78	-64.27				
463.9	-28.596	-65.752	20150701	3.3	14.3	0	188	-25.61	-54.58				
463.9	-28.596	-65.752	20150801	23	19.1	0	184	-23.88	-61.85				
463.9	-28.596	-65.752	20150901	3	20.9	0	179	-25.97	-54.58				
463.9	-28.596	-65.752	20151001	17.5	23.4	0	151	-25.6	-54.58				
463.9	-28.596	-65.752	20151101	69.8	24.2	0	137	-27.4	-55.91				
463.9	-28.596	-65.752	20151201	74.7	29.5	0	137	-27.4	-55.91				
20	-40.783	-65.1	20150101	22.1	22.7	0	116	-27.36	-55.9				
20	-40.783	-65.1	20150201	27.2	22.3	0	116	-27.36	-55.9				
20	-40.783	-65.1	20150301	4.6	20.3	0	103	-31.25	-61.49				
20	-40.783	-65.1	20150401	81.1	16.5	0	95	-27.87	-55.13				
20	-40.783	-65.1	20150501	0.5	12.7	0	94	-27.88	-55.13				
20	-40.783	-65.1	20150601	3.3	10.2	0	85	-26.92	-60.05				
20	-40.783	-65.1	20150701	0	7.6	0	80	-27.37	-55.88				
20	-40.783	-65.1	20150801	15.5	10.7	0	65	-25.29	-57.72				
20	-40.783	-65.1	20150901	20.1	10	0	64	-27.47	-58.83				
20	-40.783	-65.1	20151001	45	11.9	0	64	-25.28	-57.72				
20	-40.783	-65.1	20151101	8.9	20.1	0	64	-31.74	-60.51				
20	-40.783	-65.1	20151201	3	22.4	0	62	-27.47	-58.84				
74	-31.783	-60.483	20150101	200.2	26.1	0	60	-25.85	-57.9				
74	-31.783	-60.483	20150201	163.4	25.5	0	56	-27.45	-58.99				
74	-31.783	-60.483	20150301	110.5	23.9	0	48	-29.12	-59.66				
74	-31.783	-60.483	20150401	249.2	21.6	0	45	-31.73	-60.5				
74	-31.783	-60.483	20150501	73.9	17.3	0	36	-34.6	-58.38				
74	-31.783	-60.483	20150601	30.9	14.8	0	32	-34.63	-58.46				
74	-31.783	-60.483	20150701	11.2	12.8	0	26	-34.6	-58.42				
74	-31.783	-60.483	20150801	118	15.9	0	26	-34.61	-58.37				
74	-31.783	-60.483	20150901	26.8	16.8	0	25	-34.92	-57.95				
74	-31.783	-60.483	20151001	80.2	17.6	0	25	-34.92	-57.95				
74	-31.783	-60.483	20151101	104.3	21.9	0	14	-34.93	-57.96				
74	-31.783	-60.483	20151201	95	24.5	0	9	-33.01	-58.51				
22	-37.933	-57.583	20150101	60.9	19.4	1995	402	-31.41	-64.19				
22	-37.933	-57.583	20150201	40.1	21.7	1995	204	-32.43	-63.25				
22	-37.933	-57.583	20150301	10.7	20.4	1996	1183	-24.79	-65.41				
22	-37.933	-57.583	20150401	78.5	17.4	1996	534	-30.98	-64.09				
22	-37.933	-57.583	20150501	40.1	14.1	1996	493	-31.27	-64.17				
22	-37.933	-57.583	20150601	37.1	9.8	1996	432	-31.38	-64.18				
22	-37.933	-57.583	20150701	49.9	9.1	1996	431	-31.42	-64.2				
22	-37.933	-57.583	20150801	153.4	11.5	1996	430	-31.38	-64.21				
22	-37.933	-57.583	20150901	12.7	11.3	1996	419	-31.47	-64.13				
22	-37.933	-57.583	20151001	95.9	11.6	1996	417	-31.4	-64.19				
22	-37.933	-57.583	20151101	52.4	16.7	1996	357	-23.14	-64.32				
22	-37.933	-57.583	20151201	10.7	22.4	1996	207	-32.4	-63.26				
75	-38.733	-62.167	20150101	109.9	24.7	1996	207	-32.41	-63.26				
75	-38.733	-62.167	20150201	106.2	23.2	1996	205	-32.41	-63.25				
75	-38.733	-62.167	20150301	69.5	21.9	1996	137	-27.4	-55.91				
75	-38.733	-62.167	20150401	73.1	16.7	1996	36	-34.6	-58.38				
75	-38.733	-62.167	20150501	42.9	13.5	1996	32	-34.61	-58.38				
75	-38.733	-62.167	20150601	0.5	10.2	1996	25	-34.09	-59.04				
75	-38.733	-62.167	20150701	24.1	9.3	1998	757	-22.06	-63.71				
75	-38.733	-62.167	20150801	43.7	11.9	1998	508	-22.53	-63.81				
75	-38.733	-62.167	20150901	4.3	10.8	1998	360	-23.13	-64.33				
75	-38.733	-62.167	20151001	60.2	13.2	1998	289	-23.21	-64.1				
75	-38.733	-62.167	20151101	44.1	19.8	1998	221	-26.41	-54.58				
75	-38.733	-62.167	20151201	28.7	23.6	1999	417	-31.4	-64.19				
200	-27.767	-64.3	20150101	49.4	28.5	1999	417	-31.4	-64.19				
200	-27.767	-64.3	20150201	102.3	27.9	1999	417	-31.4	-64.19				
200	-27.767	-64.3	20150301	204.1	26	1999	96	-26.79	-60.44				
